"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabm_MUL_TEXT_WINE_REVIEW_4","0.983838163984338","4","ft","n311","TabM Ⓜ️","2026-04-03T03:44:36.000Z","MUL_TEXT_WINE_REVIEW","2770","finished"
"tabm_MUL_TEXT_WINE_REVIEW_2","0.9836900786038568","2","ft","n307","TabM Ⓜ️","2026-04-03T03:05:00.000Z","MUL_TEXT_WINE_REVIEW","2659","finished"
"cat_MUL_TEXT_WINE_REVIEW_4","0.9826700712936774","4","ft","n307","CatBoost 😸","2026-04-03T03:38:07.000Z","MUL_TEXT_WINE_REVIEW","3087","finished"
"tabm_MUL_TEXT_WINE_REVIEW_3","0.9824613908370916","3","ft","n306","TabM Ⓜ️","2026-04-03T03:18:09.000Z","MUL_TEXT_WINE_REVIEW","2086","finished"
"cat_MUL_TEXT_WINE_REVIEW_3","0.9820413538206678","3","ft","n311","CatBoost 😸","2026-04-03T03:12:57.000Z","MUL_TEXT_WINE_REVIEW","2564","finished"
"cat_MUL_TEXT_WINE_REVIEW_2","0.9817398341896002","2","ft","n312","CatBoost 😸","2026-04-03T03:02:57.000Z","MUL_TEXT_WINE_REVIEW","2949","finished"
"tabm_MUL_TEXT_WINE_REVIEW_1","0.9817058131992138","1","ft","n311","TabM Ⓜ️","2026-04-03T02:54:50.000Z","MUL_TEXT_WINE_REVIEW","2755","finished"
"cat_MUL_TEXT_WINE_REVIEW_1","0.9808372086998622","1","ft","n307","CatBoost 😸","2026-04-03T02:47:04.000Z","MUL_TEXT_WINE_REVIEW","3058","finished"
"tabm_MUL_TEXT_WINE_REVIEW_0","0.9807050834286398","0","ft","n311","TabM Ⓜ️","2026-04-03T02:23:30.000Z","MUL_TEXT_WINE_REVIEW","2758","finished"
"tabm_MUL_TEXT_WINE_REVIEW_2","0.98035016159972","2","all","n311","TabM Ⓜ️","2026-04-03T03:04:44.000Z","MUL_TEXT_WINE_REVIEW","156","finished"
"cat_MUL_TEXT_WINE_REVIEW_0","0.9800370471049392","0","ft","n311","CatBoost 😸","2026-04-03T02:17:37.000Z","MUL_TEXT_WINE_REVIEW","3183","finished"
"tabm_MUL_TEXT_WINE_REVIEW_4","0.9793748921820786","4","all","n311","TabM Ⓜ️","2026-04-03T03:41:34.000Z","MUL_TEXT_WINE_REVIEW","155","finished"
"light_MUL_TEXT_WINE_REVIEW_4","0.9789239145482108","4","ft","n306","LightGBM 💡","2026-04-03T03:27:34.000Z","MUL_TEXT_WINE_REVIEW","2766","finished"
"tabm_MUL_TEXT_WINE_REVIEW_2","0.977855812189902","2","text_only","nlp-srv2.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T11:31:34.000Z","MUL_TEXT_WINE_REVIEW","153","finished"
"tabm_MUL_TEXT_WINE_REVIEW_4","0.9774955146897372","4","text_only","nlp19.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T11:43:38.000Z","MUL_TEXT_WINE_REVIEW","175","finished"
"tabm_MUL_TEXT_WINE_REVIEW_3","0.977417344001722","3","text_only","nlp20.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T11:36:51.000Z","MUL_TEXT_WINE_REVIEW","218","finished"
"tabm_MUL_TEXT_WINE_REVIEW_3","0.977036833068626","3","all","n306","TabM Ⓜ️","2026-04-03T03:15:27.000Z","MUL_TEXT_WINE_REVIEW","159","finished"
"tabm_MUL_TEXT_WINE_REVIEW_0","0.9768339912057944","0","all","n311","TabM Ⓜ️","2026-04-03T02:20:47.000Z","MUL_TEXT_WINE_REVIEW","156","finished"
"tabm_MUL_TEXT_WINE_REVIEW_1","0.9768070746316913","1","all","n311","TabM Ⓜ️","2026-04-03T02:52:08.000Z","MUL_TEXT_WINE_REVIEW","158","finished"
"cat_MUL_TEXT_WINE_REVIEW_2","0.976299538474834","2","all","n306","CatBoost 😸","2026-04-03T03:01:53.000Z","MUL_TEXT_WINE_REVIEW","674","finished"
"light_MUL_TEXT_WINE_REVIEW_3","0.9759549072859462","3","ft","n311","LightGBM 💡","2026-04-03T03:10:47.000Z","MUL_TEXT_WINE_REVIEW","2085","finished"
"cat_MUL_TEXT_WINE_REVIEW_4","0.9754405838394404","4","all","n311","CatBoost 😸","2026-04-03T03:32:18.000Z","MUL_TEXT_WINE_REVIEW","734","finished"
"tabm_MUL_TEXT_WINE_REVIEW_1","0.9753673950496664","1","text_only","nlp19.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T11:23:08.000Z","MUL_TEXT_WINE_REVIEW","177","finished"
"light_MUL_TEXT_WINE_REVIEW_2","0.9751581887130264","2","ft","n307","LightGBM 💡","2026-04-03T03:00:34.000Z","MUL_TEXT_WINE_REVIEW","2657","finished"
