"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabpfnv2_MUL_TEXT_WOMEN_CLOTHING_REVIEW_2","0.9185869737564204","2","ft","n311","TabPFN-v2 🤯","2026-04-03T00:45:11.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","1231","finished"
"tabpfnv2p5_MUL_TEXT_WOMEN_CLOTHING_REVIEW_2","0.9182704900336476","2","ft","n306","TabPFN-v2p5 🇩🇪","2026-04-03T00:42:10.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","1206","finished"
"tabm_MUL_TEXT_WOMEN_CLOTHING_REVIEW_2","0.9171235272222348","2","ft","n306","TabM Ⓜ️","2026-04-03T00:39:55.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","941","finished"
"tabpfnv2p5_MUL_TEXT_WOMEN_CLOTHING_REVIEW_2","0.9145653350288668","2","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T00:40:45.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","164","finished"
"cat_MUL_TEXT_WOMEN_CLOTHING_REVIEW_2","0.914315039362484","2","ft","n311","CatBoost 😸","2026-04-03T00:38:50.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","975","finished"
"tabpfnv2p5_MUL_TEXT_WOMEN_CLOTHING_REVIEW_0","0.913786128054902","0","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T00:33:34.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","1147","finished"
"tabm_MUL_TEXT_WOMEN_CLOTHING_REVIEW_0","0.9135581238752526","0","ft","n311","TabM Ⓜ️","2026-04-03T00:33:04.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","993","finished"
"tabpfnv2_MUL_TEXT_WOMEN_CLOTHING_REVIEW_0","0.913437295204216","0","ft","n311","TabPFN-v2 🤯","2026-04-03T00:33:59.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","1150","finished"
"tabpfnv2_MUL_TEXT_WOMEN_CLOTHING_REVIEW_2","0.9130928274573364","2","all","n307","TabPFN-v2 🤯","2026-04-03T00:44:23.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","164","finished"
"tabpfnv2_MUL_TEXT_WOMEN_CLOTHING_REVIEW_1","0.9125078237676584","1","ft","n311","TabPFN-v2 🤯","2026-04-03T00:36:57.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","981","finished"
