"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabpfnv2p5_REG_TEXT_BABIES_PRICES_1","0.9479998787792464","1","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T10:59:09.000Z","REG_TEXT_BABIES_PRICES","141","finished"
"tabpfnv2p5_REG_TEXT_BABIES_PRICES_1","0.9478234218048318","1","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T11:00:03.000Z","REG_TEXT_BABIES_PRICES","2776","finished"
"tabm_REG_TEXT_BABIES_PRICES_1","0.9419306667920456","1","ft","n306","TabM Ⓜ️","2026-04-03T10:58:04.000Z","REG_TEXT_BABIES_PRICES","2537","finished"
"tabm_REG_TEXT_BABIES_PRICES_1","0.9407279757602522","1","all","n311","TabM Ⓜ️","2026-04-03T10:57:36.000Z","REG_TEXT_BABIES_PRICES","141","finished"
"tabpfnv2_REG_TEXT_BABIES_PRICES_1","0.9352735342938986","1","all","n311","TabPFN-v2 🤯","2026-04-03T11:01:58.000Z","REG_TEXT_BABIES_PRICES","149","finished"
"cat_REG_TEXT_BABIES_PRICES_1","0.934436444736227","1","ft","n307","CatBoost 😸","2026-04-03T10:53:43.000Z","REG_TEXT_BABIES_PRICES","2559","finished"
"tabpfnv2p5_REG_TEXT_BABIES_PRICES_0","0.9298723531476716","0","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T10:43:41.000Z","REG_TEXT_BABIES_PRICES","2780","finished"
"tabpfnv2p5_REG_TEXT_BABIES_PRICES_1","0.9260298078482996","1","text_only","nlp-srv2.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T17:30:06.000Z","REG_TEXT_BABIES_PRICES","144","finished"
"tabpfnv2_REG_TEXT_BABIES_PRICES_1","0.9253309438182868","1","ft","n306","TabPFN-v2 🤯","2026-04-03T11:02:05.000Z","REG_TEXT_BABIES_PRICES","2788","finished"
"tabpfnv2p5_REG_TEXT_BABIES_PRICES_3","0.924273662322556","3","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T11:33:56.000Z","REG_TEXT_BABIES_PRICES","2778","finished"
"tabm_REG_TEXT_BABIES_PRICES_0","0.9227178130958448","0","ft","n306","TabM Ⓜ️","2026-04-03T10:42:14.000Z","REG_TEXT_BABIES_PRICES","2525","finished"
"tabpfnv2p5_REG_TEXT_BABIES_PRICES_2","0.9210191525922108","2","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T11:20:38.000Z","REG_TEXT_BABIES_PRICES","2781","finished"
"tabm_REG_TEXT_BABIES_PRICES_1","0.9194205625733244","1","text_only","nlp19.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T17:28:44.000Z","REG_TEXT_BABIES_PRICES","160","finished"
"light_REG_TEXT_BABIES_PRICES_1","0.9188615175561304","1","ft","n311","LightGBM 💡","2026-04-03T10:52:04.000Z","REG_TEXT_BABIES_PRICES","2508","finished"
"tabpfnv2p5_REG_TEXT_BABIES_PRICES_2","0.9140259195384354","2","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T11:20:25.000Z","REG_TEXT_BABIES_PRICES","140","finished"
"tabm_REG_TEXT_BABIES_PRICES_3","0.9136556274385425","3","all","n307","TabM Ⓜ️","2026-04-03T11:31:10.000Z","REG_TEXT_BABIES_PRICES","134","finished"
"cat_REG_TEXT_BABIES_PRICES_1","0.9133264565083082","1","all","n311","CatBoost 😸","2026-04-03T10:52:57.000Z","REG_TEXT_BABIES_PRICES","169","finished"
"tabpfnv2p5_REG_TEXT_BABIES_PRICES_4","0.9124354754014744","4","ft","n307","TabPFN-v2p5 🇩🇪","2026-04-03T11:46:26.000Z","REG_TEXT_BABIES_PRICES","2776","finished"
