"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_0","0.6199794936149778","0","all","n306","TabPFN-v2p5 🇩🇪","2026-04-03T12:04:09.000Z","REG_TEXT_BOOK_PRICE","178","finished"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_0","0.5994254979004514","0","text_only","nlp20.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T17:51:51.000Z","REG_TEXT_BOOK_PRICE","250","finished"
"tabm_REG_TEXT_BOOK_PRICE_1","0.5857410213094272","1","ft","n306","TabM Ⓜ️","2026-04-03T12:13:22.000Z","REG_TEXT_BOOK_PRICE","1414","finished"
"tabm_REG_TEXT_BOOK_PRICE_0","0.5834345928630047","0","all","n306","TabM Ⓜ️","2026-04-03T12:00:33.000Z","REG_TEXT_BOOK_PRICE","169","finished"
"cat_REG_TEXT_BOOK_PRICE_1","0.5799502074859735","1","ft","n311","CatBoost 😸","2026-04-03T12:11:32.000Z","REG_TEXT_BOOK_PRICE","1428","finished"
"tabm_REG_TEXT_BOOK_PRICE_1","0.5796717826582629","1","all","n307","TabM Ⓜ️","2026-04-03T12:12:23.000Z","REG_TEXT_BOOK_PRICE","168","finished"
"cat_REG_TEXT_BOOK_PRICE_1","0.5796265495618038","1","all","n311","CatBoost 😸","2026-04-03T12:11:32.000Z","REG_TEXT_BOOK_PRICE","300","finished"
"cat_REG_TEXT_BOOK_PRICE_0","0.5792585140353868","0","ft","n311","CatBoost 😸","2026-04-03T11:57:36.000Z","REG_TEXT_BOOK_PRICE","1194","finished"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_1","0.5785800699532881","1","text_only","nlp19.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T17:57:44.000Z","REG_TEXT_BOOK_PRICE","203","finished"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_1","0.5758102084205341","1","all","n307","TabPFN-v2p5 🇩🇪","2026-04-03T12:14:04.000Z","REG_TEXT_BOOK_PRICE","181","finished"
"tabm_REG_TEXT_BOOK_PRICE_1","0.5749652593243215","1","text_only","nlp20.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T17:56:24.000Z","REG_TEXT_BOOK_PRICE","223","finished"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_2","0.5712832279232751","2","all","n306","TabPFN-v2p5 🇩🇪","2026-04-03T12:21:52.000Z","REG_TEXT_BOOK_PRICE","177","finished"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_2","0.5701289561015531","2","text_only","nlp20.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T18:04:36.000Z","REG_TEXT_BOOK_PRICE","240","finished"
"cat_REG_TEXT_BOOK_PRICE_1","0.5691865552366293","1","text_only","nlp-srv2.iem.technion.ac.il","CatBoost 😸","2026-04-05T17:55:54.000Z","REG_TEXT_BOOK_PRICE","167","finished"
"cat_REG_TEXT_BOOK_PRICE_2","0.568201935447767","2","ft","n307","CatBoost 😸","2026-04-03T12:20:21.000Z","REG_TEXT_BOOK_PRICE","1209","finished"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_0","0.5624856053891091","0","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T12:07:02.000Z","REG_TEXT_BOOK_PRICE","1281","finished"
"tabm_REG_TEXT_BOOK_PRICE_0","0.5617441679525167","0","text_only","nlp19.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T17:50:55.000Z","REG_TEXT_BOOK_PRICE","190","finished"
"tabm_REG_TEXT_BOOK_PRICE_2","0.5607380188263659","2","all","n307","TabM Ⓜ️","2026-04-03T12:20:51.000Z","REG_TEXT_BOOK_PRICE","183","finished"
"tabpfnv2_REG_TEXT_BOOK_PRICE_0","0.5581469927896094","0","all","n311","TabPFN-v2 🤯","2026-04-03T12:08:18.000Z","REG_TEXT_BOOK_PRICE","187","finished"
"tabm_REG_TEXT_BOOK_PRICE_3","0.5578273824607862","3","ft","n307","TabM Ⓜ️","2026-04-03T12:32:49.000Z","REG_TEXT_BOOK_PRICE","1164","finished"
"light_REG_TEXT_BOOK_PRICE_1","0.5556948549601202","1","ft","n311","LightGBM 💡","2026-04-03T12:11:04.000Z","REG_TEXT_BOOK_PRICE","1391","finished"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_3","0.5551102379880121","3","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T12:34:19.000Z","REG_TEXT_BOOK_PRICE","2118","finished"
"cat_REG_TEXT_BOOK_PRICE_0","0.5550532693888099","0","all","n306","CatBoost 😸","2026-04-03T11:56:11.000Z","REG_TEXT_BOOK_PRICE","215","finished"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_2","0.5550382934539773","2","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T12:23:41.000Z","REG_TEXT_BOOK_PRICE","1344","finished"
"tabpfnv2_REG_TEXT_BOOK_PRICE_0","0.5548748216810102","0","text_only","nlp-srv2.iem.technion.ac.il","TabPFN-v2 🤯","2026-04-05T17:52:29.000Z","REG_TEXT_BOOK_PRICE","181","finished"
"tabm_REG_TEXT_BOOK_PRICE_0","0.5548340307258552","0","ft","n306","TabM Ⓜ️","2026-04-03T12:01:38.000Z","REG_TEXT_BOOK_PRICE","1167","finished"
"light_REG_TEXT_BOOK_PRICE_0","0.5520792385858688","0","ft","n311","LightGBM 💡","2026-04-03T11:51:51.000Z","REG_TEXT_BOOK_PRICE","1157","finished"
"cat_REG_TEXT_BOOK_PRICE_3","0.5513349238898865","3","ft","n306","CatBoost 😸","2026-04-03T12:30:36.000Z","REG_TEXT_BOOK_PRICE","1196","finished"
"tabm_REG_TEXT_BOOK_PRICE_3","0.5506775531929371","3","all","n311","TabM Ⓜ️","2026-04-03T12:31:24.000Z","REG_TEXT_BOOK_PRICE","164","finished"
"tabm_REG_TEXT_BOOK_PRICE_4","0.5493706336209687","4","ft","n307","TabM Ⓜ️","2026-04-03T12:40:34.000Z","REG_TEXT_BOOK_PRICE","1462","finished"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_1","0.5491750025343181","1","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T12:14:10.000Z","REG_TEXT_BOOK_PRICE","1816","finished"
"light_REG_TEXT_BOOK_PRICE_2","0.5483029479959846","2","ft","n311","LightGBM 💡","2026-04-03T12:18:25.000Z","REG_TEXT_BOOK_PRICE","1175","finished"
"tabm_REG_TEXT_BOOK_PRICE_2","0.5479770553565899","2","ft","n311","TabM Ⓜ️","2026-04-03T12:21:04.000Z","REG_TEXT_BOOK_PRICE","1161","finished"
"cat_REG_TEXT_BOOK_PRICE_4","0.5455773688499318","4","ft","n311","CatBoost 😸","2026-04-03T12:38:06.000Z","REG_TEXT_BOOK_PRICE","1484","finished"
"tabm_REG_TEXT_BOOK_PRICE_2","0.5452238042930431","2","text_only","nlp-srv2.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T18:02:32.000Z","REG_TEXT_BOOK_PRICE","166","finished"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_4","0.5436932732669211","4","all","n306","TabPFN-v2p5 🇩🇪","2026-04-03T12:41:18.000Z","REG_TEXT_BOOK_PRICE","176","finished"
"cat_REG_TEXT_BOOK_PRICE_0","0.5378356870088219","0","text_only","nlp-srv2.iem.technion.ac.il","CatBoost 😸","2026-04-05T17:48:53.000Z","REG_TEXT_BOOK_PRICE","167","finished"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_3","0.5374772903804163","3","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T12:34:11.000Z","REG_TEXT_BOOK_PRICE","175","finished"
"tabpfnv2_REG_TEXT_BOOK_PRICE_0","0.5373785276610592","0","ft","n306","TabPFN-v2 🤯","2026-04-03T12:08:43.000Z","REG_TEXT_BOOK_PRICE","1310","finished"
"cat_REG_TEXT_BOOK_PRICE_2","0.5350050182155878","2","all","n311","CatBoost 😸","2026-04-03T12:20:17.000Z","REG_TEXT_BOOK_PRICE","197","finished"
"light_REG_TEXT_BOOK_PRICE_4","0.534385115504169","4","ft","n306","LightGBM 💡","2026-04-03T12:37:07.000Z","REG_TEXT_BOOK_PRICE","1453","finished"
"light_REG_TEXT_BOOK_PRICE_3","0.5333497744699142","3","ft","n307","LightGBM 💡","2026-04-03T12:27:34.000Z","REG_TEXT_BOOK_PRICE","1157","finished"
"light_REG_TEXT_BOOK_PRICE_2","0.532525105238161","2","all","n311","LightGBM 💡","2026-04-03T12:17:34.000Z","REG_TEXT_BOOK_PRICE","161","finished"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_4","0.5322881015394589","4","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T12:42:17.000Z","REG_TEXT_BOOK_PRICE","1650","finished"
"tabpfnv2_REG_TEXT_BOOK_PRICE_2","0.531526509467665","2","all","n307","TabPFN-v2 🤯","2026-04-03T12:24:20.000Z","REG_TEXT_BOOK_PRICE","186","finished"
