"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabpfnv2p5_REG_TEXT_BOOK_READABILITY_2","0.8674802455637449","2","ft","n307","TabPFN-v2p5 🇩🇪","2026-04-03T23:59:49.000Z","REG_TEXT_BOOK_READABILITY","2330","finished"
"light_REG_TEXT_BOOK_READABILITY_2","0.8630503527393897","2","ft","n306","LightGBM 💡","2026-04-03T23:48:19.000Z","REG_TEXT_BOOK_READABILITY","2971","finished"
"tabpfnv2_REG_TEXT_BOOK_READABILITY_2","0.8604841797199341","2","ft","n307","TabPFN-v2 🤯","2026-04-04T00:03:11.000Z","REG_TEXT_BOOK_READABILITY","2432","finished"
"cat_REG_TEXT_BOOK_READABILITY_4","0.8550997534854278","4","ft","n306","CatBoost 😸","2026-04-04T00:37:08.000Z","REG_TEXT_BOOK_READABILITY","1943","finished"
"tabpfnv2p5_REG_TEXT_BOOK_READABILITY_2","0.8543824796150183","2","all","n307","TabPFN-v2p5 🇩🇪","2026-04-03T23:59:42.000Z","REG_TEXT_BOOK_READABILITY","205","finished"
"cat_REG_TEXT_BOOK_READABILITY_2","0.8489552253123811","2","ft","n307","CatBoost 😸","2026-04-03T23:53:41.000Z","REG_TEXT_BOOK_READABILITY","2997","finished"
"tabm_REG_TEXT_BOOK_READABILITY_4","0.8481107329580813","4","ft","n307","TabM Ⓜ️","2026-04-04T00:40:20.000Z","REG_TEXT_BOOK_READABILITY","1930","finished"
"light_REG_TEXT_BOOK_READABILITY_4","0.844930067013647","4","ft","n307","LightGBM 💡","2026-04-04T00:31:42.000Z","REG_TEXT_BOOK_READABILITY","1926","finished"
"tabpfnv2p5_REG_TEXT_BOOK_READABILITY_4","0.8445677968642666","4","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-04T00:43:17.000Z","REG_TEXT_BOOK_READABILITY","1667","finished"
"tabm_REG_TEXT_BOOK_READABILITY_2","0.8434328662481309","2","ft","n307","TabM Ⓜ️","2026-04-03T23:55:41.000Z","REG_TEXT_BOOK_READABILITY","2965","finished"
"tabpfnv2_REG_TEXT_BOOK_READABILITY_2","0.8428314574969895","2","all","n311","TabPFN-v2 🤯","2026-04-04T00:01:42.000Z","REG_TEXT_BOOK_READABILITY","209","finished"
"cat_REG_TEXT_BOOK_READABILITY_4","0.8409454062291742","4","all","n311","CatBoost 😸","2026-04-04T00:36:02.000Z","REG_TEXT_BOOK_READABILITY","233","finished"
"tabpfnv2_REG_TEXT_BOOK_READABILITY_1","0.8399246321620599","1","ft","n307","TabPFN-v2 🤯","2026-04-03T23:44:24.000Z","REG_TEXT_BOOK_READABILITY","2102","finished"
"cat_REG_TEXT_BOOK_READABILITY_2","0.8398999010276287","2","all","n311","CatBoost 😸","2026-04-03T23:51:46.000Z","REG_TEXT_BOOK_READABILITY","233","finished"
"tabpfnv2p5_REG_TEXT_BOOK_READABILITY_1","0.8393921491422935","1","all","n307","TabPFN-v2p5 🇩🇪","2026-04-03T23:37:23.000Z","REG_TEXT_BOOK_READABILITY","199","finished"
"tabpfnv2_REG_TEXT_BOOK_READABILITY_4","0.8383754416209267","4","ft","n307","TabPFN-v2 🤯","2026-04-04T00:44:11.000Z","REG_TEXT_BOOK_READABILITY","1684","finished"
