"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabpfnv2p5_REG_TEXT_MERCARI_MARKETPLACE_2","0.5101520160939668","2","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T13:18:35.000Z","REG_TEXT_MERCARI_MARKETPLACE","432","finished"
"tabpfnv2p5_REG_TEXT_MERCARI_MARKETPLACE_2","0.500563164001892","2","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T13:19:07.000Z","REG_TEXT_MERCARI_MARKETPLACE","2319","finished"
"tabm_REG_TEXT_MERCARI_MARKETPLACE_2","0.5002526022832186","2","ft","n311","TabM Ⓜ️","2026-04-03T13:13:56.000Z","REG_TEXT_MERCARI_MARKETPLACE","2255","finished"
"tabpfnv2p5_REG_TEXT_MERCARI_MARKETPLACE_4","0.4940897950285157","4","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T13:52:22.000Z","REG_TEXT_MERCARI_MARKETPLACE","430","finished"
"tabm_REG_TEXT_MERCARI_MARKETPLACE_2","0.48569869583844183","2","all","n307","TabM Ⓜ️","2026-04-03T13:13:53.000Z","REG_TEXT_MERCARI_MARKETPLACE","400","finished"
"tabm_REG_TEXT_MERCARI_MARKETPLACE_4","0.48564759358916054","4","ft","n311","TabM Ⓜ️","2026-04-03T13:51:06.000Z","REG_TEXT_MERCARI_MARKETPLACE","3027","finished"
"cat_REG_TEXT_MERCARI_MARKETPLACE_2","0.4833542965093771","2","ft","n311","CatBoost 😸","2026-04-03T13:11:36.000Z","REG_TEXT_MERCARI_MARKETPLACE","2279","finished"
"tabpfnv2p5_REG_TEXT_MERCARI_MARKETPLACE_4","0.4812396278234032","4","ft","n306","TabPFN-v2p5 🇩🇪","2026-04-03T13:52:24.000Z","REG_TEXT_MERCARI_MARKETPLACE","2487","finished"
"tabm_REG_TEXT_MERCARI_MARKETPLACE_0","0.4764591519720536","0","ft","n307","TabM Ⓜ️","2026-04-03T12:47:37.000Z","REG_TEXT_MERCARI_MARKETPLACE","3009","finished"
"tabpfnv2p5_REG_TEXT_MERCARI_MARKETPLACE_2","0.4734426423254171","2","text_only","nlp19.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T18:58:20.000Z","REG_TEXT_MERCARI_MARKETPLACE","560","finished"
"tabm_REG_TEXT_MERCARI_MARKETPLACE_4","0.47193001665143985","4","all","n307","TabM Ⓜ️","2026-04-03T13:50:05.000Z","REG_TEXT_MERCARI_MARKETPLACE","396","finished"
"tabpfnv2p5_REG_TEXT_MERCARI_MARKETPLACE_0","0.4695395516651952","0","ft","n306","TabPFN-v2p5 🇩🇪","2026-04-03T12:50:38.000Z","REG_TEXT_MERCARI_MARKETPLACE","3190","finished"
"tabpfnv2p5_REG_TEXT_MERCARI_MARKETPLACE_0","0.46931580603080303","0","all","n307","TabPFN-v2p5 🇩🇪","2026-04-03T12:48:24.000Z","REG_TEXT_MERCARI_MARKETPLACE","430","finished"
"cat_REG_TEXT_MERCARI_MARKETPLACE_2","0.4674362776138222","2","all","n311","CatBoost 😸","2026-04-03T13:11:16.000Z","REG_TEXT_MERCARI_MARKETPLACE","435","finished"
"light_REG_TEXT_MERCARI_MARKETPLACE_2","0.461253252320051","2","ft","n311","LightGBM 💡","2026-04-03T13:10:17.000Z","REG_TEXT_MERCARI_MARKETPLACE","2243","finished"
"cat_REG_TEXT_MERCARI_MARKETPLACE_0","0.46121869134711146","0","ft","n306","CatBoost 😸","2026-04-03T12:46:46.000Z","REG_TEXT_MERCARI_MARKETPLACE","3060","finished"
"tabpfnv2p5_REG_TEXT_MERCARI_MARKETPLACE_4","0.46037558840826953","4","text_only","nlp20.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T19:22:25.000Z","REG_TEXT_MERCARI_MARKETPLACE","469","finished"
"tabm_REG_TEXT_MERCARI_MARKETPLACE_0","0.46031686359779456","0","all","n311","TabM Ⓜ️","2026-04-03T12:47:18.000Z","REG_TEXT_MERCARI_MARKETPLACE","407","finished"
"tabpfnv2_REG_TEXT_MERCARI_MARKETPLACE_2","0.45929540516183887","2","ft","n311","TabPFN-v2 🤯","2026-04-03T13:25:55.000Z","REG_TEXT_MERCARI_MARKETPLACE","2355","finished"
"cat_REG_TEXT_MERCARI_MARKETPLACE_4","0.4589183211004453","4","ft","n311","CatBoost 😸","2026-04-03T13:48:06.000Z","REG_TEXT_MERCARI_MARKETPLACE","3051","finished"
