"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_2","0.9885803464047728","2","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T19:38:30.000Z","REG_TEXT_MONTGOMERY_SALARIES","2705","finished"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_3","0.9884818747130756","3","ft","n306","TabPFN-v2p5 🇩🇪","2026-04-03T20:01:13.000Z","REG_TEXT_MONTGOMERY_SALARIES","3481","finished"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_3","0.9883011409454716","3","ft","n311","TabPFN-v2 🤯","2026-04-03T20:03:28.000Z","REG_TEXT_MONTGOMERY_SALARIES","3480","finished"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_2","0.9882653495207798","2","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T19:38:28.000Z","REG_TEXT_MONTGOMERY_SALARIES","238","finished"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_0","0.988012525703326","0","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T19:10:19.000Z","REG_TEXT_MONTGOMERY_SALARIES","2987","finished"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_3","0.986542233928404","3","all","n307","TabPFN-v2 🤯","2026-04-03T20:02:26.000Z","REG_TEXT_MONTGOMERY_SALARIES","254","finished"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_2","0.9864863720948286","2","ft","n306","TabM Ⓜ️","2026-04-03T19:35:23.000Z","REG_TEXT_MONTGOMERY_SALARIES","2879","finished"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_3","0.9857046702375942","3","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T20:00:57.000Z","REG_TEXT_MONTGOMERY_SALARIES","238","finished"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_0","0.985447214672531","0","all","n307","TabPFN-v2p5 🇩🇪","2026-04-03T19:07:05.000Z","REG_TEXT_MONTGOMERY_SALARIES","262","finished"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_0","0.9850003224975616","0","ft","n307","TabPFN-v2 🤯","2026-04-03T19:13:51.000Z","REG_TEXT_MONTGOMERY_SALARIES","3034","finished"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_0","0.9849829822137172","0","ft","n311","TabM Ⓜ️","2026-04-03T19:06:14.000Z","REG_TEXT_MONTGOMERY_SALARIES","1884","finished"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_2","0.9848453890334248","2","all","n311","TabM Ⓜ️","2026-04-03T19:34:38.000Z","REG_TEXT_MONTGOMERY_SALARIES","227","finished"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_3","0.9845575000501616","3","ft","n307","TabM Ⓜ️","2026-04-03T19:59:59.000Z","REG_TEXT_MONTGOMERY_SALARIES","3159","finished"
"cat_REG_TEXT_MONTGOMERY_SALARIES_0","0.9839557078860668","0","ft","n311","CatBoost 😸","2026-04-03T19:02:02.000Z","REG_TEXT_MONTGOMERY_SALARIES","1910","finished"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_0","0.9835949532961082","0","all","n311","TabM Ⓜ️","2026-04-03T19:06:08.000Z","REG_TEXT_MONTGOMERY_SALARIES","244","finished"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_0","0.9830788556147724","0","all","n311","TabPFN-v2 🤯","2026-04-03T19:13:27.000Z","REG_TEXT_MONTGOMERY_SALARIES","251","finished"
"cat_REG_TEXT_MONTGOMERY_SALARIES_3","0.9829117872130656","3","ft","n307","CatBoost 😸","2026-04-03T19:56:00.000Z","REG_TEXT_MONTGOMERY_SALARIES","3166","finished"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_3","0.9821304144972663","3","all","n311","TabM Ⓜ️","2026-04-03T19:59:33.000Z","REG_TEXT_MONTGOMERY_SALARIES","232","finished"
"cat_REG_TEXT_MONTGOMERY_SALARIES_0","0.9814263322193396","0","all","n307","CatBoost 😸","2026-04-03T19:01:28.000Z","REG_TEXT_MONTGOMERY_SALARIES","288","finished"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_2","0.9811657129425684","2","no_text","nlp20.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T21:25:20.000Z","REG_TEXT_MONTGOMERY_SALARIES","16","finished"
"light_REG_TEXT_MONTGOMERY_SALARIES_0","0.9811580717218736","0","ft","n306","LightGBM 💡","2026-04-03T18:59:28.000Z","REG_TEXT_MONTGOMERY_SALARIES","1843","finished"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_4","0.9803230074052904","4","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T20:17:06.000Z","REG_TEXT_MONTGOMERY_SALARIES","3647","finished"
"light_REG_TEXT_MONTGOMERY_SALARIES_0","0.9790721300098124","0","all","n311","LightGBM 💡","2026-04-03T18:59:15.000Z","REG_TEXT_MONTGOMERY_SALARIES","215","finished"
"light_REG_TEXT_MONTGOMERY_SALARIES_3","0.9789370260381391","3","ft","n311","LightGBM 💡","2026-04-03T19:53:48.000Z","REG_TEXT_MONTGOMERY_SALARIES","3121","finished"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_2","0.978750573462152","2","no_text","nlp19.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T21:23:52.000Z","REG_TEXT_MONTGOMERY_SALARIES","20","finished"
"cat_REG_TEXT_MONTGOMERY_SALARIES_3","0.9786893870889656","3","all","n307","CatBoost 😸","2026-04-03T19:55:11.000Z","REG_TEXT_MONTGOMERY_SALARIES","281","finished"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_4","0.978104777580418","4","ft","n311","TabPFN-v2 🤯","2026-04-03T20:20:50.000Z","REG_TEXT_MONTGOMERY_SALARIES","3669","finished"
"light_REG_TEXT_MONTGOMERY_SALARIES_3","0.9769851821087272","3","all","n311","LightGBM 💡","2026-04-03T19:50:07.000Z","REG_TEXT_MONTGOMERY_SALARIES","215","finished"
"cat_REG_TEXT_MONTGOMERY_SALARIES_2","0.9761519789379802","2","ft","n306","CatBoost 😸","2026-04-03T19:32:27.000Z","REG_TEXT_MONTGOMERY_SALARIES","2907","finished"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_4","0.9754361203556714","4","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T20:16:44.000Z","REG_TEXT_MONTGOMERY_SALARIES","240","finished"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_4","0.9745998095451632","4","ft","n311","TabM Ⓜ️","2026-04-03T20:15:14.000Z","REG_TEXT_MONTGOMERY_SALARIES","3656","finished"
