"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_1","0.6161363454477351","1","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-04T01:14:17.000Z","REG_TEXT_ROTTEN_TOMATOES","3182","finished"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_1","0.61188797957248","1","all","n311","TabPFN-v2p5 🇩🇪","2026-04-04T01:13:56.000Z","REG_TEXT_ROTTEN_TOMATOES","560","finished"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_1","0.6006219150751374","1","ft","n307","TabPFN-v2 🤯","2026-04-04T01:18:47.000Z","REG_TEXT_ROTTEN_TOMATOES","3401","finished"
"tabm_REG_TEXT_ROTTEN_TOMATOES_1","0.599824636089423","1","ft","n307","TabM Ⓜ️","2026-04-04T01:12:37.000Z","REG_TEXT_ROTTEN_TOMATOES","2470","finished"
"tabm_REG_TEXT_ROTTEN_TOMATOES_1","0.5929092399389077","1","all","n307","TabM Ⓜ️","2026-04-04T01:12:22.000Z","REG_TEXT_ROTTEN_TOMATOES","522","finished"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_0","0.5906335449505111","0","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-04T00:58:11.000Z","REG_TEXT_ROTTEN_TOMATOES","3666","finished"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_1","0.5886473548136051","1","all","n311","TabPFN-v2 🤯","2026-04-04T01:18:10.000Z","REG_TEXT_ROTTEN_TOMATOES","601","finished"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_1","0.5886172120547897","1","text_only","n311","TabPFN-v2p5 🇩🇪","2026-04-04T01:15:52.000Z","REG_TEXT_ROTTEN_TOMATOES","562","finished"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_2","0.5845261812618856","2","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-04T01:41:06.000Z","REG_TEXT_ROTTEN_TOMATOES","4135","finished"
"cat_REG_TEXT_ROTTEN_TOMATOES_1","0.5769222454363132","1","ft","n311","CatBoost 😸","2026-04-04T01:08:59.000Z","REG_TEXT_ROTTEN_TOMATOES","2534","finished"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_2","0.5682808023882957","2","ft","n311","TabPFN-v2 🤯","2026-04-04T01:46:40.000Z","REG_TEXT_ROTTEN_TOMATOES","4200","finished"
"tabm_REG_TEXT_ROTTEN_TOMATOES_1","0.5675390039152859","1","text_only","n307","TabM Ⓜ️","2026-04-04T01:13:00.000Z","REG_TEXT_ROTTEN_TOMATOES","587","finished"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_0","0.562262776013584","0","ft","n311","TabPFN-v2 🤯","2026-04-04T01:01:54.000Z","REG_TEXT_ROTTEN_TOMATOES","3723","finished"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_2","0.5621416764897117","2","all","n306","TabPFN-v2p5 🇩🇪","2026-04-04T01:39:51.000Z","REG_TEXT_ROTTEN_TOMATOES","559","finished"
"cat_REG_TEXT_ROTTEN_TOMATOES_1","0.560818438947507","1","all","n311","CatBoost 😸","2026-04-04T01:08:25.000Z","REG_TEXT_ROTTEN_TOMATOES","582","finished"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_1","0.5604588663171199","1","text_only","n306","TabPFN-v2 🤯","2026-04-04T01:19:27.000Z","REG_TEXT_ROTTEN_TOMATOES","600","finished"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_3","0.5599059288000197","3","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-04T02:04:01.000Z","REG_TEXT_ROTTEN_TOMATOES","2475","finished"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_0","0.5579760128568851","0","all","n311","TabPFN-v2p5 🇩🇪","2026-04-04T00:57:40.000Z","REG_TEXT_ROTTEN_TOMATOES","562","finished"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_2","0.5483480831310406","2","text_only","n311","TabPFN-v2p5 🇩🇪","2026-04-04T01:45:17.000Z","REG_TEXT_ROTTEN_TOMATOES","564","finished"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_0","0.5463209949622515","0","all","n307","TabPFN-v2 🤯","2026-04-04T01:01:24.000Z","REG_TEXT_ROTTEN_TOMATOES","692","finished"
"light_REG_TEXT_ROTTEN_TOMATOES_1","0.5451903023241171","1","ft","n307","LightGBM 💡","2026-04-04T01:05:41.000Z","REG_TEXT_ROTTEN_TOMATOES","2455","finished"
"cat_REG_TEXT_ROTTEN_TOMATOES_1","0.5420960783834372","1","text_only","n306","CatBoost 😸","2026-04-04T01:09:37.000Z","REG_TEXT_ROTTEN_TOMATOES","587","finished"
"tabm_REG_TEXT_ROTTEN_TOMATOES_2","0.5411661008648139","2","text_only","n311","TabM Ⓜ️","2026-04-04T01:37:10.000Z","REG_TEXT_ROTTEN_TOMATOES","540","finished"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_3","0.5399736080888238","3","all","n307","TabPFN-v2p5 🇩🇪","2026-04-04T02:03:00.000Z","REG_TEXT_ROTTEN_TOMATOES","562","finished"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_3","0.5399574090779562","3","ft","n307","TabPFN-v2 🤯","2026-04-04T02:07:08.000Z","REG_TEXT_ROTTEN_TOMATOES","2545","finished"
"tabm_REG_TEXT_ROTTEN_TOMATOES_2","0.5391473107868652","2","all","n311","TabM Ⓜ️","2026-04-04T01:32:24.000Z","REG_TEXT_ROTTEN_TOMATOES","518","finished"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_2","0.5374986888880549","2","all","n307","TabPFN-v2 🤯","2026-04-04T01:46:39.000Z","REG_TEXT_ROTTEN_TOMATOES","604","finished"
