"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_1","0.906701683998108","1","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T21:13:20.000Z","REG_TEXT_SCIMAGOJR_IMPACT","6372","finished"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_1","0.9052921533584596","1","all","n307","TabPFN-v2p5 🇩🇪","2026-04-03T21:12:30.000Z","REG_TEXT_SCIMAGOJR_IMPACT","696","finished"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_0","0.9023543000221252","0","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T20:43:10.000Z","REG_TEXT_SCIMAGOJR_IMPACT","6099","finished"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_0","0.9007797837257384","0","ft","n307","TabPFN-v2 🤯","2026-04-03T20:48:51.000Z","REG_TEXT_SCIMAGOJR_IMPACT","6123","finished"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8962192535400391","0","all","n306","TabPFN-v2 🤯","2026-04-03T20:47:27.000Z","REG_TEXT_SCIMAGOJR_IMPACT","745","finished"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8951468467712402","0","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T20:42:08.000Z","REG_TEXT_SCIMAGOJR_IMPACT","720","finished"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8910460472106934","4","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T22:53:19.000Z","REG_TEXT_SCIMAGOJR_IMPACT","696","finished"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8902333974838257","0","all","n311","TabM Ⓜ️","2026-04-03T20:33:30.000Z","REG_TEXT_SCIMAGOJR_IMPACT","575","finished"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8895706534385681","1","ft","n311","TabM Ⓜ️","2026-04-03T21:06:49.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4734","finished"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8883265288232477","0","ft","n307","CatBoost 😸","2026-04-03T20:27:04.000Z","REG_TEXT_SCIMAGOJR_IMPACT","5046","finished"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8869866132736206","4","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T22:54:35.000Z","REG_TEXT_SCIMAGOJR_IMPACT","7492","finished"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8857244253158569","2","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T21:42:31.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4207","finished"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8854573965072632","1","all","n307","TabM Ⓜ️","2026-04-03T21:06:36.000Z","REG_TEXT_SCIMAGOJR_IMPACT","640","finished"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8845929885909122","0","all","n306","CatBoost 😸","2026-04-03T20:26:31.000Z","REG_TEXT_SCIMAGOJR_IMPACT","644","finished"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8831735849380493","2","all","n306","TabPFN-v2p5 🇩🇪","2026-04-03T21:42:12.000Z","REG_TEXT_SCIMAGOJR_IMPACT","630","finished"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8827437162399292","4","ft","n311","TabM Ⓜ️","2026-04-03T22:49:25.000Z","REG_TEXT_SCIMAGOJR_IMPACT","5734","finished"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8820919394493103","0","ft","n306","TabM Ⓜ️","2026-04-03T20:35:14.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4959","finished"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8810123205184937","3","ft","n307","TabPFN-v2 🤯","2026-04-03T22:31:01.000Z","REG_TEXT_SCIMAGOJR_IMPACT","8099","finished"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8807348608970642","4","all","n311","TabM Ⓜ️","2026-04-03T22:48:15.000Z","REG_TEXT_SCIMAGOJR_IMPACT","645","finished"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8803044356444832","1","ft","n306","CatBoost 😸","2026-04-03T21:01:43.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4810","finished"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8801622787154907","4","ft","n306","CatBoost 😸","2026-04-03T22:45:03.000Z","REG_TEXT_SCIMAGOJR_IMPACT","5802","finished"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8774994611740112","1","ft","n307","TabPFN-v2 🤯","2026-04-03T21:17:51.000Z","REG_TEXT_SCIMAGOJR_IMPACT","6481","finished"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8769735097885132","3","ft","n307","TabM Ⓜ️","2026-04-03T22:18:23.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4481","finished"
"light_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8766275432996259","0","ft","n311","LightGBM 💡","2026-04-03T20:23:43.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4938","finished"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8764578700065613","3","all","n311","TabPFN-v2 🤯","2026-04-03T22:29:50.000Z","REG_TEXT_SCIMAGOJR_IMPACT","748","finished"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8759537935256958","2","all","n311","TabM Ⓜ️","2026-04-03T21:32:51.000Z","REG_TEXT_SCIMAGOJR_IMPACT","575","finished"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_2","0.874548077583313","2","all","n311","TabPFN-v2 🤯","2026-04-03T21:51:13.000Z","REG_TEXT_SCIMAGOJR_IMPACT","679","finished"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8744851350784302","1","all","n307","TabPFN-v2 🤯","2026-04-03T21:17:35.000Z","REG_TEXT_SCIMAGOJR_IMPACT","747","finished"
"light_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8738286471337704","0","all","n306","LightGBM 💡","2026-04-03T20:23:28.000Z","REG_TEXT_SCIMAGOJR_IMPACT","577","finished"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8732097148895264","4","ft","n311","TabPFN-v2 🤯","2026-04-03T23:00:09.000Z","REG_TEXT_SCIMAGOJR_IMPACT","7555","finished"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_1","0.872139025378756","1","all","n311","CatBoost 😸","2026-04-03T21:01:34.000Z","REG_TEXT_SCIMAGOJR_IMPACT","702","finished"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8698424548661965","4","all","n311","CatBoost 😸","2026-04-03T22:42:49.000Z","REG_TEXT_SCIMAGOJR_IMPACT","703","finished"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8681476712226868","4","all","n307","TabPFN-v2 🤯","2026-04-03T22:59:57.000Z","REG_TEXT_SCIMAGOJR_IMPACT","869","finished"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8674246072769165","2","ft","n307","TabM Ⓜ️","2026-04-03T21:36:15.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4489","finished"
"light_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8664949752982862","1","ft","n311","LightGBM 💡","2026-04-03T20:57:29.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4720","finished"
