"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_4","0.819962938599664","4","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T18:56:57.000Z","REG_TEXT_VANCOUVER_SALARIES","1563","finished"
"cat_REG_TEXT_VANCOUVER_SALARIES_4","0.8167482440992839","4","ft","n306","CatBoost 😸","2026-04-03T18:53:34.000Z","REG_TEXT_VANCOUVER_SALARIES","1382","finished"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_0","0.8147933190727935","0","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T17:55:39.000Z","REG_TEXT_VANCOUVER_SALARIES","1598","finished"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_4","0.8101070190476496","4","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T18:56:32.000Z","REG_TEXT_VANCOUVER_SALARIES","156","finished"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_0","0.8051551460174036","0","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T17:52:56.000Z","REG_TEXT_VANCOUVER_SALARIES","158","finished"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_3","0.7999167102962065","3","all","n306","TabPFN-v2p5 🇩🇪","2026-04-03T18:46:02.000Z","REG_TEXT_VANCOUVER_SALARIES","157","finished"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_3","0.7992910331091005","3","ft","n307","TabPFN-v2p5 🇩🇪","2026-04-03T18:48:19.000Z","REG_TEXT_VANCOUVER_SALARIES","1543","finished"
"tabm_REG_TEXT_VANCOUVER_SALARIES_4","0.7973307167393286","4","ft","n306","TabM Ⓜ️","2026-04-03T18:54:55.000Z","REG_TEXT_VANCOUVER_SALARIES","1357","finished"
"light_REG_TEXT_VANCOUVER_SALARIES_4","0.7966264677346306","4","ft","n311","LightGBM 💡","2026-04-03T18:50:59.000Z","REG_TEXT_VANCOUVER_SALARIES","1341","finished"
"cat_REG_TEXT_VANCOUVER_SALARIES_0","0.7964217990461979","0","ft","n307","CatBoost 😸","2026-04-03T17:44:31.000Z","REG_TEXT_VANCOUVER_SALARIES","1420","finished"
"tabm_REG_TEXT_VANCOUVER_SALARIES_3","0.7919885468598761","3","ft","n311","TabM Ⓜ️","2026-04-03T18:44:34.000Z","REG_TEXT_VANCOUVER_SALARIES","1147","finished"
"tabm_REG_TEXT_VANCOUVER_SALARIES_0","0.7891948405261979","0","ft","n306","TabM Ⓜ️","2026-04-03T17:51:06.000Z","REG_TEXT_VANCOUVER_SALARIES","1405","finished"
"light_REG_TEXT_VANCOUVER_SALARIES_0","0.788298243267078","0","ft","n311","LightGBM 💡","2026-04-03T17:42:10.000Z","REG_TEXT_VANCOUVER_SALARIES","1394","finished"
"cat_REG_TEXT_VANCOUVER_SALARIES_3","0.7881958632925768","3","ft","n306","CatBoost 😸","2026-04-03T18:38:09.000Z","REG_TEXT_VANCOUVER_SALARIES","1156","finished"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_4","0.7875702119689869","4","ft","n307","TabPFN-v2 🤯","2026-04-03T18:58:05.000Z","REG_TEXT_VANCOUVER_SALARIES","1555","finished"
"cat_REG_TEXT_VANCOUVER_SALARIES_0","0.785138046706261","0","all","n311","CatBoost 😸","2026-04-03T17:44:08.000Z","REG_TEXT_VANCOUVER_SALARIES","167","finished"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_0","0.7824763188794008","0","ft","n306","TabPFN-v2 🤯","2026-04-03T18:02:28.000Z","REG_TEXT_VANCOUVER_SALARIES","1610","finished"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_1","0.7820993358759007","1","ft","n307","TabPFN-v2p5 🇩🇪","2026-04-03T18:15:51.000Z","REG_TEXT_VANCOUVER_SALARIES","1943","finished"
"cat_REG_TEXT_VANCOUVER_SALARIES_4","0.7799673815845569","4","all","n307","CatBoost 😸","2026-04-03T18:52:59.000Z","REG_TEXT_VANCOUVER_SALARIES","165","finished"
"tabm_REG_TEXT_VANCOUVER_SALARIES_4","0.7783972652180329","4","all","n311","TabM Ⓜ️","2026-04-03T18:54:39.000Z","REG_TEXT_VANCOUVER_SALARIES","155","finished"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_1","0.7775963037460546","1","all","n307","TabPFN-v2p5 🇩🇪","2026-04-03T18:15:23.000Z","REG_TEXT_VANCOUVER_SALARIES","157","finished"
"tabm_REG_TEXT_VANCOUVER_SALARIES_0","0.7763763012102297","0","all","n311","TabM Ⓜ️","2026-04-03T17:47:44.000Z","REG_TEXT_VANCOUVER_SALARIES","151","finished"
"cat_REG_TEXT_VANCOUVER_SALARIES_1","0.7740691451464219","1","ft","n306","CatBoost 😸","2026-04-03T18:09:49.000Z","REG_TEXT_VANCOUVER_SALARIES","1433","finished"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_4","0.7727868149127939","4","all","n311","TabPFN-v2 🤯","2026-04-03T18:57:47.000Z","REG_TEXT_VANCOUVER_SALARIES","165","finished"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_2","0.7721658766513023","2","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T18:30:43.000Z","REG_TEXT_VANCOUVER_SALARIES","1498","finished"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_0","0.7719769197086663","0","all","n306","TabPFN-v2 🤯","2026-04-03T17:59:19.000Z","REG_TEXT_VANCOUVER_SALARIES","186","finished"
"tabm_REG_TEXT_VANCOUVER_SALARIES_3","0.7706594625968683","3","all","n306","TabM Ⓜ️","2026-04-03T18:42:41.000Z","REG_TEXT_VANCOUVER_SALARIES","152","finished"
"light_REG_TEXT_VANCOUVER_SALARIES_3","0.7703657895758572","3","ft","n311","LightGBM 💡","2026-04-03T18:35:17.000Z","REG_TEXT_VANCOUVER_SALARIES","1135","finished"
"cat_REG_TEXT_VANCOUVER_SALARIES_3","0.7703527630771544","3","all","n306","CatBoost 😸","2026-04-03T18:37:38.000Z","REG_TEXT_VANCOUVER_SALARIES","166","finished"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_2","0.7693000555576311","2","all","n307","TabPFN-v2p5 🇩🇪","2026-04-03T18:30:29.000Z","REG_TEXT_VANCOUVER_SALARIES","157","finished"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_3","0.7662555360634307","3","ft","n307","TabPFN-v2 🤯","2026-04-03T18:49:21.000Z","REG_TEXT_VANCOUVER_SALARIES","1548","finished"
"tabm_REG_TEXT_VANCOUVER_SALARIES_1","0.7646834752475918","1","ft","n306","TabM Ⓜ️","2026-04-03T18:14:38.000Z","REG_TEXT_VANCOUVER_SALARIES","1408","finished"
"cat_REG_TEXT_VANCOUVER_SALARIES_2","0.7631226369373876","2","ft","n307","CatBoost 😸","2026-04-03T18:23:13.000Z","REG_TEXT_VANCOUVER_SALARIES","1542","finished"
"light_REG_TEXT_VANCOUVER_SALARIES_4","0.7602483831543013","4","all","n307","LightGBM 💡","2026-04-03T18:50:11.000Z","REG_TEXT_VANCOUVER_SALARIES","142","finished"
"light_REG_TEXT_VANCOUVER_SALARIES_2","0.7590916654526491","2","ft","n311","LightGBM 💡","2026-04-03T18:19:35.000Z","REG_TEXT_VANCOUVER_SALARIES","1495","finished"
"tabm_REG_TEXT_VANCOUVER_SALARIES_1","0.7566825516906635","1","all","n307","TabM Ⓜ️","2026-04-03T18:14:10.000Z","REG_TEXT_VANCOUVER_SALARIES","153","finished"
"light_REG_TEXT_VANCOUVER_SALARIES_1","0.7561321006204582","1","ft","n311","LightGBM 💡","2026-04-03T18:06:13.000Z","REG_TEXT_VANCOUVER_SALARIES","1394","finished"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_3","0.7540889515004642","3","all","n306","TabPFN-v2 🤯","2026-04-03T18:49:06.000Z","REG_TEXT_VANCOUVER_SALARIES","166","finished"
"tabm_REG_TEXT_VANCOUVER_SALARIES_2","0.7526343206015751","2","ft","n306","TabM Ⓜ️","2026-04-03T18:29:23.000Z","REG_TEXT_VANCOUVER_SALARIES","1505","finished"
"light_REG_TEXT_VANCOUVER_SALARIES_0","0.7523879550617134","0","all","n307","LightGBM 💡","2026-04-03T17:42:04.000Z","REG_TEXT_VANCOUVER_SALARIES","142","finished"
