"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_1","0.629651967781028","1","ft","n311","TabM Ⓜ️","2026-04-04T02:59:37.000Z","REG_TEXT_VIDEO_GAMES_SALES","1143","finished"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_1","0.5976109360244635","1","all","n307","TabM Ⓜ️","2026-04-04T02:58:33.000Z","REG_TEXT_VIDEO_GAMES_SALES","173","finished"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_2","0.5931691629626157","2","all","n311","TabM Ⓜ️","2026-04-04T03:08:27.000Z","REG_TEXT_VIDEO_GAMES_SALES","155","finished"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_2","0.5803130224177016","2","ft","n306","TabM Ⓜ️","2026-04-04T03:11:00.000Z","REG_TEXT_VIDEO_GAMES_SALES","929","finished"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_0","0.5631043158447895","0","all","n307","TabM Ⓜ️","2026-04-04T02:43:28.000Z","REG_TEXT_VIDEO_GAMES_SALES","166","finished"
"light_REG_TEXT_VIDEO_GAMES_SALES_0","0.5587081782121397","0","ft","n306","LightGBM 💡","2026-04-04T02:36:52.000Z","REG_TEXT_VIDEO_GAMES_SALES","1598","finished"
"light_REG_TEXT_VIDEO_GAMES_SALES_1","0.5188510761054654","1","ft","n311","LightGBM 💡","2026-04-04T02:55:06.000Z","REG_TEXT_VIDEO_GAMES_SALES","1151","finished"
"cat_REG_TEXT_VIDEO_GAMES_SALES_0","0.4998599134924911","0","ft","n311","CatBoost 😸","2026-04-04T02:40:15.000Z","REG_TEXT_VIDEO_GAMES_SALES","1627","finished"
"cat_REG_TEXT_VIDEO_GAMES_SALES_3","0.4984691242327717","3","ft","n311","CatBoost 😸","2026-04-04T03:19:34.000Z","REG_TEXT_VIDEO_GAMES_SALES","1158","finished"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_0","0.4920154120434051","0","ft","n306","TabM Ⓜ️","2026-04-04T02:44:13.000Z","REG_TEXT_VIDEO_GAMES_SALES","1600","finished"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_1","0.4896869176725483","1","ft","n307","TabPFN-v2p5 🇩🇪","2026-04-04T03:00:45.000Z","REG_TEXT_VIDEO_GAMES_SALES","1834","finished"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_1","0.47072787932482185","1","all","n311","TabPFN-v2p5 🇩🇪","2026-04-04T03:00:40.000Z","REG_TEXT_VIDEO_GAMES_SALES","155","finished"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_0","0.4680111959141602","0","text_only","n311","TabM Ⓜ️","2026-04-04T02:45:21.000Z","REG_TEXT_VIDEO_GAMES_SALES","144","finished"
"cat_REG_TEXT_VIDEO_GAMES_SALES_2","0.4626123984096133","2","ft","n307","CatBoost 😸","2026-04-04T03:07:18.000Z","REG_TEXT_VIDEO_GAMES_SALES","956","finished"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_0","0.4589880887046289","0","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-04T02:49:17.000Z","REG_TEXT_VIDEO_GAMES_SALES","1444","finished"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_3","0.45039589734148033","3","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-04T03:23:34.000Z","REG_TEXT_VIDEO_GAMES_SALES","1080","finished"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_0","0.4474860582123852","0","all","n307","TabPFN-v2p5 🇩🇪","2026-04-04T02:46:52.000Z","REG_TEXT_VIDEO_GAMES_SALES","167","finished"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_4","0.4421207178892613","4","ft","n307","TabM Ⓜ️","2026-04-04T03:40:21.000Z","REG_TEXT_VIDEO_GAMES_SALES","1831","finished"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_3","0.4398539331217718","3","all","n307","TabPFN-v2p5 🇩🇪","2026-04-04T03:22:43.000Z","REG_TEXT_VIDEO_GAMES_SALES","155","finished"
