"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8707053417199868","4","all","n307","TabPFN-v2p5 🇩🇪","2026-04-03T17:27:35.000Z","REG_TEXT_ZOMATO_RESTAURANTS","864","finished"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8703799477098149","4","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T17:28:08.000Z","REG_TEXT_ZOMATO_RESTAURANTS","9078","finished"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8689938950609163","3","all","n307","TabPFN-v2p5 🇩🇪","2026-04-03T16:42:32.000Z","REG_TEXT_ZOMATO_RESTAURANTS","871","finished"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8682869439055787","1","all","n306","TabPFN-v2p5 🇩🇪","2026-04-03T14:37:12.000Z","REG_TEXT_ZOMATO_RESTAURANTS","880","finished"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_1","0.868122413702469","1","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T14:37:23.000Z","REG_TEXT_ZOMATO_RESTAURANTS","10871","finished"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8660369014714351","0","ft","n307","TabPFN-v2p5 🇩🇪","2026-04-03T14:11:20.000Z","REG_TEXT_ZOMATO_RESTAURANTS","8106","finished"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8593890501234929","0","all","n307","TabPFN-v2p5 🇩🇪","2026-04-03T14:10:21.000Z","REG_TEXT_ZOMATO_RESTAURANTS","869","finished"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8592765818154171","3","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T16:42:53.000Z","REG_TEXT_ZOMATO_RESTAURANTS","10854","finished"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8581248546842613","2","all","n307","TabPFN-v2p5 🇩🇪","2026-04-03T14:59:21.000Z","REG_TEXT_ZOMATO_RESTAURANTS","886","finished"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_0","0.855841305979272","0","ft","n311","TabM Ⓜ️","2026-04-03T14:05:16.000Z","REG_TEXT_ZOMATO_RESTAURANTS","9478","finished"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8550077440113305","3","ft","n311","TabM Ⓜ️","2026-04-03T16:38:31.000Z","REG_TEXT_ZOMATO_RESTAURANTS","8210","finished"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8526751128202702","4","ft","n307","TabM Ⓜ️","2026-04-03T17:15:24.000Z","REG_TEXT_ZOMATO_RESTAURANTS","4477","finished"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8503801520040002","3","all","n307","TabM Ⓜ️","2026-04-03T16:37:37.000Z","REG_TEXT_ZOMATO_RESTAURANTS","828","finished"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8500838498566949","1","ft","n306","TabM Ⓜ️","2026-04-03T14:34:10.000Z","REG_TEXT_ZOMATO_RESTAURANTS","8623","finished"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8494011904109917","1","all","n306","TabM Ⓜ️","2026-04-03T14:33:58.000Z","REG_TEXT_ZOMATO_RESTAURANTS","826","finished"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8479298555141354","1","text_only","nlp20.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T19:51:58.000Z","REG_TEXT_ZOMATO_RESTAURANTS","674","finished"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8474635272479559","3","text_only","nlp19.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T20:20:34.000Z","REG_TEXT_ZOMATO_RESTAURANTS","818","finished"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_4","0.846079622345404","4","text_only","nlp20.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T20:35:56.000Z","REG_TEXT_ZOMATO_RESTAURANTS","683","finished"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8452047869639638","2","ft","n311","TabM Ⓜ️","2026-04-03T14:56:43.000Z","REG_TEXT_ZOMATO_RESTAURANTS","9859","finished"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8451727351021248","4","ft","n311","CatBoost 😸","2026-04-03T17:01:11.000Z","REG_TEXT_ZOMATO_RESTAURANTS","4486","finished"
