"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabpfnv2_BIN_TEXT_FAKE_JOB_POSTING_4","0.9115586818609024","4","ft","TabPFN-v2 🤯","2026-04-04T21:31:06.000Z","BIN_TEXT_FAKE_JOB_POSTING","11211","e5-large"
"tabpfnv2_BIN_TEXT_FAKE_JOB_POSTING_4","0.8620036419172932","4","all","TabPFN-v2 🤯","2026-04-04T21:17:25.000Z","BIN_TEXT_FAKE_JOB_POSTING","1309","e5-large"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_4","0.9181449718045112","4","ft","TabPFN-v2p5 🇩🇪","2026-04-04T21:10:28.000Z","BIN_TEXT_FAKE_JOB_POSTING","11239","e5-large"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_4","0.9195106907894736","4","all","TabPFN-v2p5 🇩🇪","2026-04-04T21:09:54.000Z","BIN_TEXT_FAKE_JOB_POSTING","1313","e5-large"
"tabm_BIN_TEXT_FAKE_JOB_POSTING_4","0.86765742481203","4","ft","TabM Ⓜ️","2026-04-04T20:56:46.000Z","BIN_TEXT_FAKE_JOB_POSTING","7201","e5-large"
"tabm_BIN_TEXT_FAKE_JOB_POSTING_4","0.8892739661654134","4","all","TabM Ⓜ️","2026-04-04T20:56:36.000Z","BIN_TEXT_FAKE_JOB_POSTING","1241","e5-large"
"cat_BIN_TEXT_FAKE_JOB_POSTING_4","0.8685385338345865","4","ft","CatBoost 😸","2026-04-04T20:51:52.000Z","BIN_TEXT_FAKE_JOB_POSTING","7214","e5-large"
"cat_BIN_TEXT_FAKE_JOB_POSTING_4","0.8671581296992482","4","all","CatBoost 😸","2026-04-04T20:48:01.000Z","BIN_TEXT_FAKE_JOB_POSTING","1258","e5-large"
"light_BIN_TEXT_FAKE_JOB_POSTING_4","0.8637952302631579","4","ft","LightGBM 💡","2026-04-04T20:38:49.000Z","BIN_TEXT_FAKE_JOB_POSTING","7193","e5-large"
"light_BIN_TEXT_FAKE_JOB_POSTING_4","0.8507254464285714","4","all","LightGBM 💡","2026-04-04T20:36:08.000Z","BIN_TEXT_FAKE_JOB_POSTING","1231","e5-large"
"tabpfnv2_BIN_TEXT_FAKE_JOB_POSTING_3","0.9366482612781954","3","ft","TabPFN-v2 🤯","2026-04-04T20:32:01.000Z","BIN_TEXT_FAKE_JOB_POSTING","8578","e5-large"
"tabpfnv2_BIN_TEXT_FAKE_JOB_POSTING_3","0.9326759281015036","3","all","TabPFN-v2 🤯","2026-04-04T20:30:02.000Z","BIN_TEXT_FAKE_JOB_POSTING","1305","e5-large"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_3","0.95601797462406","3","ft","TabPFN-v2p5 🇩🇪","2026-04-04T20:26:34.000Z","BIN_TEXT_FAKE_JOB_POSTING","8596","e5-large"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_3","0.9588668937969924","3","all","TabPFN-v2p5 🇩🇪","2026-04-04T20:26:16.000Z","BIN_TEXT_FAKE_JOB_POSTING","1299","e5-large"
"tabm_BIN_TEXT_FAKE_JOB_POSTING_3","0.9671199483082706","3","ft","TabM Ⓜ️","2026-04-04T20:22:15.000Z","BIN_TEXT_FAKE_JOB_POSTING","6046","e5-large"
"tabm_BIN_TEXT_FAKE_JOB_POSTING_3","0.947236254699248","3","all","TabM Ⓜ️","2026-04-04T20:17:44.000Z","BIN_TEXT_FAKE_JOB_POSTING","1258","e5-large"
