"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabpfnv2_BIN_TEXT_KICKSTARTER_FUNDING_4","0.7523081341911765","4","ft","TabPFN-v2 🤯","2026-04-04T17:16:41.000Z","BIN_TEXT_KICKSTARTER_FUNDING","8834","e5-large"
"tabpfnv2_BIN_TEXT_KICKSTARTER_FUNDING_4","0.7189280790441177","4","all","TabPFN-v2 🤯","2026-04-04T17:15:28.000Z","BIN_TEXT_KICKSTARTER_FUNDING","2201","e5-large"
"tabpfnv2p5_BIN_TEXT_KICKSTARTER_FUNDING_4","0.7549287683823529","4","ft","TabPFN-v2p5 🇩🇪","2026-04-04T17:12:47.000Z","BIN_TEXT_KICKSTARTER_FUNDING","8809","e5-large"
"tabpfnv2p5_BIN_TEXT_KICKSTARTER_FUNDING_4","0.7374109604779411","4","all","TabPFN-v2p5 🇩🇪","2026-04-04T17:00:49.000Z","BIN_TEXT_KICKSTARTER_FUNDING","2184","e5-large"
"tabm_BIN_TEXT_KICKSTARTER_FUNDING_4","0.7598747702205884","4","ft","TabM Ⓜ️","2026-04-04T16:52:49.000Z","BIN_TEXT_KICKSTARTER_FUNDING","9022","e5-large"
"tabm_BIN_TEXT_KICKSTARTER_FUNDING_4","0.7497231158088234","4","all","TabM Ⓜ️","2026-04-04T16:51:09.000Z","BIN_TEXT_KICKSTARTER_FUNDING","2074","e5-large"
"cat_BIN_TEXT_KICKSTARTER_FUNDING_4","0.7524471507352941","4","ft","CatBoost 😸","2026-04-04T16:48:50.000Z","BIN_TEXT_KICKSTARTER_FUNDING","9012","e5-large"
"cat_BIN_TEXT_KICKSTARTER_FUNDING_4","0.7226355698529413","4","all","CatBoost 😸","2026-04-04T16:41:10.000Z","BIN_TEXT_KICKSTARTER_FUNDING","2125","e5-large"
"light_BIN_TEXT_KICKSTARTER_FUNDING_4","0.7508180147058823","4","ft","LightGBM 💡","2026-04-04T16:30:46.000Z","BIN_TEXT_KICKSTARTER_FUNDING","9038","e5-large"
"light_BIN_TEXT_KICKSTARTER_FUNDING_4","0.7217957261029412","4","all","LightGBM 💡","2026-04-04T16:26:16.000Z","BIN_TEXT_KICKSTARTER_FUNDING","2070","e5-large"
"tabpfnv2_BIN_TEXT_KICKSTARTER_FUNDING_3","0.7544100413602942","3","ft","TabPFN-v2 🤯","2026-04-04T16:22:26.000Z","BIN_TEXT_KICKSTARTER_FUNDING","8818","e5-large"
