"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabpfnv2_MUL_TEXT_DATA_SCIENTIST_SALARY_4","0.8394886833699008","4","ft","TabPFN-v2 🤯","2026-04-05T20:30:22.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","15378","e5-large"
"tabpfnv2_MUL_TEXT_DATA_SCIENTIST_SALARY_4","0.8364314349670989","4","all","TabPFN-v2 🤯","2026-04-05T20:22:15.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2148","e5-large"
"tabpfnv2p5_MUL_TEXT_DATA_SCIENTIST_SALARY_4","0.8476345829192174","4","ft","TabPFN-v2p5 🇩🇪","2026-04-05T20:14:25.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","15308","e5-large"
"tabpfnv2p5_MUL_TEXT_DATA_SCIENTIST_SALARY_4","0.843185393020943","4","all","TabPFN-v2p5 🇩🇪","2026-04-05T19:59:31.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2160","e5-large"
"tabm_MUL_TEXT_DATA_SCIENTIST_SALARY_4","0.8440619223720759","4","ft","TabM Ⓜ️","2026-04-05T19:58:48.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","12040","e5-large"
"tabm_MUL_TEXT_DATA_SCIENTIST_SALARY_4","0.8404426489831431","4","all","TabM Ⓜ️","2026-04-05T19:57:25.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2035","e5-large"
"cat_MUL_TEXT_DATA_SCIENTIST_SALARY_4","0.8361828729318038","4","ft","CatBoost 😸","2026-04-05T19:49:14.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","12044","e5-large"
"cat_MUL_TEXT_DATA_SCIENTIST_SALARY_4","0.8298903096767057","4","all","CatBoost 😸","2026-04-05T19:39:42.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2077","e5-large"
"light_MUL_TEXT_DATA_SCIENTIST_SALARY_4","0.8124428121897201","4","ft","LightGBM 💡","2026-04-05T19:25:29.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","12025","e5-large"
"light_MUL_TEXT_DATA_SCIENTIST_SALARY_4","0.8068678504811514","4","all","LightGBM 💡","2026-04-05T19:24:53.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2072","e5-large"
"tabpfnv2_MUL_TEXT_DATA_SCIENTIST_SALARY_3","0.8374222096820536","3","ft","TabPFN-v2 🤯","2026-04-05T19:22:58.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","18619","e5-large"
"tabpfnv2_MUL_TEXT_DATA_SCIENTIST_SALARY_3","0.8279963727617424","3","all","TabPFN-v2 🤯","2026-04-05T19:22:46.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2155","e5-large"
"tabpfnv2p5_MUL_TEXT_DATA_SCIENTIST_SALARY_3","0.8424016944757899","3","ft","TabPFN-v2p5 🇩🇪","2026-04-05T19:15:17.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","18597","e5-large"
"tabpfnv2p5_MUL_TEXT_DATA_SCIENTIST_SALARY_3","0.8372487511592152","3","all","TabPFN-v2p5 🇩🇪","2026-04-05T19:13:33.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2136","e5-large"
"tabm_MUL_TEXT_DATA_SCIENTIST_SALARY_3","0.8425724777885897","3","ft","TabM Ⓜ️","2026-04-05T19:06:25.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","12987","e5-large"
"tabm_MUL_TEXT_DATA_SCIENTIST_SALARY_3","0.834513807533237","3","all","TabM Ⓜ️","2026-04-05T18:49:26.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2033","e5-large"
"cat_MUL_TEXT_DATA_SCIENTIST_SALARY_3","0.8304161313856371","3","ft","CatBoost 😸","2026-04-05T18:40:21.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","13042","e5-large"
"cat_MUL_TEXT_DATA_SCIENTIST_SALARY_3","0.8176556076054124","3","all","CatBoost 😸","2026-04-05T18:38:50.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2079","e5-large"
"light_MUL_TEXT_DATA_SCIENTIST_SALARY_3","0.8071518584253085","3","ft","LightGBM 💡","2026-04-05T18:22:33.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","13009","e5-large"
"light_MUL_TEXT_DATA_SCIENTIST_SALARY_3","0.7943376895097418","3","all","LightGBM 💡","2026-04-05T18:15:29.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2031","e5-large"
"tabpfnv2_MUL_TEXT_DATA_SCIENTIST_SALARY_2","0.8398941178361667","2","ft","TabPFN-v2 🤯","2026-04-05T17:59:21.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","20850","e5-large"
"tabpfnv2_MUL_TEXT_DATA_SCIENTIST_SALARY_2","0.8357614015533278","2","all","TabPFN-v2 🤯","2026-04-05T17:39:27.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2154","e5-large"
"tabpfnv2p5_MUL_TEXT_DATA_SCIENTIST_SALARY_2","0.8447343986950419","2","ft","TabPFN-v2p5 🇩🇪","2026-04-05T17:28:33.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","20775","e5-large"
"tabpfnv2p5_MUL_TEXT_DATA_SCIENTIST_SALARY_2","0.8419346575897771","2","all","TabPFN-v2p5 🇩🇪","2026-04-05T17:03:40.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2140","e5-large"
"tabm_MUL_TEXT_DATA_SCIENTIST_SALARY_2","0.8439666041227977","2","ft","TabM Ⓜ️","2026-04-05T17:01:21.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","12047","e5-large"
"tabm_MUL_TEXT_DATA_SCIENTIST_SALARY_2","0.8381667941322917","2","all","TabM Ⓜ️","2026-04-05T16:54:15.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2053","e5-large"
"cat_MUL_TEXT_DATA_SCIENTIST_SALARY_2","0.8347839839329875","2","ft","CatBoost 😸","2026-04-05T16:36:25.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","12053","e5-large"
"cat_MUL_TEXT_DATA_SCIENTIST_SALARY_2","0.8219538526512634","2","all","CatBoost 😸","2026-04-05T16:28:51.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2083","e5-large"
"light_MUL_TEXT_DATA_SCIENTIST_SALARY_2","0.8120957860632309","2","ft","LightGBM 💡","2026-04-05T16:19:48.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","11987","e5-large"
"light_MUL_TEXT_DATA_SCIENTIST_SALARY_2","0.7956892911096741","2","all","LightGBM 💡","2026-04-05T16:18:59.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2029","e5-large"
"tabpfnv2_MUL_TEXT_DATA_SCIENTIST_SALARY_1","0.8302362355600295","1","ft","TabPFN-v2 🤯","2026-04-05T16:07:49.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","16519","e5-large"
"tabpfnv2_MUL_TEXT_DATA_SCIENTIST_SALARY_1","0.8259879688954989","1","all","TabPFN-v2 🤯","2026-04-05T16:00:27.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2155","e5-large"
"tabpfnv2p5_MUL_TEXT_DATA_SCIENTIST_SALARY_1","0.8363685379350477","1","ft","TabPFN-v2p5 🇩🇪","2026-04-05T15:55:37.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","16476","e5-large"
"tabpfnv2p5_MUL_TEXT_DATA_SCIENTIST_SALARY_1","0.8345413586060828","1","all","TabPFN-v2p5 🇩🇪","2026-04-05T15:53:07.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2139","e5-large"
"tabm_MUL_TEXT_DATA_SCIENTIST_SALARY_1","0.8265034337913629","1","ft","TabM Ⓜ️","2026-04-05T15:47:42.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","12974","e5-large"
"tabm_MUL_TEXT_DATA_SCIENTIST_SALARY_1","0.8321657946334713","1","all","TabM Ⓜ️","2026-04-05T15:45:56.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2028","e5-large"
"cat_MUL_TEXT_DATA_SCIENTIST_SALARY_1","0.8254511729746298","1","ft","CatBoost 😸","2026-04-05T15:45:34.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","13040","e5-large"
"cat_MUL_TEXT_DATA_SCIENTIST_SALARY_1","0.8166370406196163","1","all","CatBoost 😸","2026-04-05T15:44:08.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2084","e5-large"
"light_MUL_TEXT_DATA_SCIENTIST_SALARY_1","0.8119874057456881","1","ft","LightGBM 💡","2026-04-05T15:36:59.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","12999","e5-large"
"light_MUL_TEXT_DATA_SCIENTIST_SALARY_1","0.7961846537921584","1","all","LightGBM 💡","2026-04-05T15:33:48.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2038","e5-large"
"tabpfnv2_MUL_TEXT_DATA_SCIENTIST_SALARY_0","0.8337535392616514","0","ft","TabPFN-v2 🤯","2026-04-05T15:23:59.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","14319","e5-large"
"tabpfnv2_MUL_TEXT_DATA_SCIENTIST_SALARY_0","0.8315675425195003","0","all","TabPFN-v2 🤯","2026-04-05T15:09:47.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2164","e5-large"
"tabpfnv2p5_MUL_TEXT_DATA_SCIENTIST_SALARY_0","0.8400777341389651","0","ft","TabPFN-v2p5 🇩🇪","2026-04-05T15:09:20.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","14221","e5-large"
"tabpfnv2p5_MUL_TEXT_DATA_SCIENTIST_SALARY_0","0.8374757675106318","0","all","TabPFN-v2p5 🇩🇪","2026-04-05T15:08:27.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2138","e5-large"
"tabm_MUL_TEXT_DATA_SCIENTIST_SALARY_0","0.8374582891736718","0","ft","TabM Ⓜ️","2026-04-05T15:03:38.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","12996","e5-large"
"tabm_MUL_TEXT_DATA_SCIENTIST_SALARY_0","0.8369169123751353","0","all","TabM Ⓜ️","2026-04-05T15:03:02.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2032","e5-large"
"cat_MUL_TEXT_DATA_SCIENTIST_SALARY_0","0.8276158544122253","0","ft","CatBoost 😸","2026-04-05T15:01:11.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","13051","e5-large"
"cat_MUL_TEXT_DATA_SCIENTIST_SALARY_0","0.8196693848805725","0","all","CatBoost 😸","2026-04-05T14:47:37.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2094","e5-large"
"light_MUL_TEXT_DATA_SCIENTIST_SALARY_0","0.8041512874910826","0","ft","LightGBM 💡","2026-04-05T14:44:33.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","12994","e5-large"
"light_MUL_TEXT_DATA_SCIENTIST_SALARY_0","0.8011801159179908","0","all","LightGBM 💡","2026-04-05T14:35:23.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2030","e5-large"
