"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabpfnv2_MUL_TEXT_MICHELIN_RESTAURANTS_4","0.92391239893348","4","ft","TabPFN-v2 🤯","2026-04-05T07:37:34.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","14563","e5-large"
"tabpfnv2_MUL_TEXT_MICHELIN_RESTAURANTS_4","0.9171446490127017","4","all","TabPFN-v2 🤯","2026-04-05T07:28:40.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2626","e5-large"
"tabpfnv2p5_MUL_TEXT_MICHELIN_RESTAURANTS_4","0.9275089837639818","4","ft","TabPFN-v2p5 🇩🇪","2026-04-05T07:27:30.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","14476","e5-large"
"tabpfnv2p5_MUL_TEXT_MICHELIN_RESTAURANTS_4","0.9209110262053564","4","all","TabPFN-v2p5 🇩🇪","2026-04-05T07:23:10.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2625","e5-large"
"tabm_MUL_TEXT_MICHELIN_RESTAURANTS_4","0.9222888197414314","4","ft","TabM Ⓜ️","2026-04-05T07:06:26.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","15526","e5-large"
"tabm_MUL_TEXT_MICHELIN_RESTAURANTS_4","0.9143506341411516","4","all","TabM Ⓜ️","2026-04-05T06:57:31.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2481","e5-large"
"cat_MUL_TEXT_MICHELIN_RESTAURANTS_4","0.9179283327515624","4","ft","CatBoost 😸","2026-04-05T06:57:22.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","15602","e5-large"
"cat_MUL_TEXT_MICHELIN_RESTAURANTS_4","0.9045902293505558","4","all","CatBoost 😸","2026-04-05T06:54:39.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2568","e5-large"
"light_MUL_TEXT_MICHELIN_RESTAURANTS_4","0.9044991389739656","4","ft","LightGBM 💡","2026-04-05T06:51:51.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","15530","e5-large"
"light_MUL_TEXT_MICHELIN_RESTAURANTS_4","0.8887895868645737","4","all","LightGBM 💡","2026-04-05T06:47:09.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2486","e5-large"
"tabpfnv2_MUL_TEXT_MICHELIN_RESTAURANTS_3","0.9195661046189224","3","ft","TabPFN-v2 🤯","2026-04-05T06:46:54.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","18434","e5-large"
"tabpfnv2_MUL_TEXT_MICHELIN_RESTAURANTS_3","0.9105711085315514","3","all","TabPFN-v2 🤯","2026-04-05T06:43:42.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2623","e5-large"
"tabpfnv2p5_MUL_TEXT_MICHELIN_RESTAURANTS_3","0.9237410481996732","3","ft","TabPFN-v2p5 🇩🇪","2026-04-05T06:42:03.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","13264","e5-large"
"tabpfnv2p5_MUL_TEXT_MICHELIN_RESTAURANTS_3","0.9167582001087063","3","all","TabPFN-v2p5 🇩🇪","2026-04-05T06:39:38.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2608","e5-large"
"tabm_MUL_TEXT_MICHELIN_RESTAURANTS_3","0.9216310580881586","3","ft","TabM Ⓜ️","2026-04-05T06:26:05.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","15597","e5-large"
"tabm_MUL_TEXT_MICHELIN_RESTAURANTS_3","0.9155517342244376","3","all","TabM Ⓜ️","2026-04-05T06:15:29.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2509","e5-large"
"cat_MUL_TEXT_MICHELIN_RESTAURANTS_3","0.9179059874197506","3","ft","CatBoost 😸","2026-04-05T05:45:50.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","15633","e5-large"
"cat_MUL_TEXT_MICHELIN_RESTAURANTS_3","0.9068213090748498","3","all","CatBoost 😸","2026-04-05T05:43:05.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2578","e5-large"
"light_MUL_TEXT_MICHELIN_RESTAURANTS_3","0.90385527629229","3","ft","LightGBM 💡","2026-04-05T05:25:36.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","15537","e5-large"
"light_MUL_TEXT_MICHELIN_RESTAURANTS_3","0.891382381747994","3","all","LightGBM 💡","2026-04-05T04:44:15.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2478","e5-large"
"tabpfnv2_MUL_TEXT_MICHELIN_RESTAURANTS_2","0.928220223150178","2","ft","TabPFN-v2 🤯","2026-04-05T04:27:23.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","17234","e5-large"
"tabpfnv2_MUL_TEXT_MICHELIN_RESTAURANTS_2","0.9219651588339964","2","all","TabPFN-v2 🤯","2026-04-05T04:00:30.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2622","e5-large"
"tabpfnv2p5_MUL_TEXT_MICHELIN_RESTAURANTS_2","0.9329857666389711","2","ft","TabPFN-v2p5 🇩🇪","2026-04-05T03:46:18.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","17085","e5-large"
"tabpfnv2p5_MUL_TEXT_MICHELIN_RESTAURANTS_2","0.9279521100175474","2","all","TabPFN-v2p5 🇩🇪","2026-04-05T03:41:54.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2622","e5-large"
"tabm_MUL_TEXT_MICHELIN_RESTAURANTS_2","0.9304596653449764","2","ft","TabM Ⓜ️","2026-04-05T03:34:57.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","17881","e5-large"
"tabm_MUL_TEXT_MICHELIN_RESTAURANTS_2","0.9216209278392052","2","all","TabM Ⓜ️","2026-04-05T03:19:00.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2484","e5-large"
"cat_MUL_TEXT_MICHELIN_RESTAURANTS_2","0.92537579881838","2","ft","CatBoost 😸","2026-04-05T03:06:21.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","13240","e5-large"
"cat_MUL_TEXT_MICHELIN_RESTAURANTS_2","0.9112344360531316","2","all","CatBoost 😸","2026-04-05T03:03:51.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2543","e5-large"
"light_MUL_TEXT_MICHELIN_RESTAURANTS_2","0.9186981665742208","2","ft","LightGBM 💡","2026-04-05T03:02:20.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","13178","e5-large"
"light_MUL_TEXT_MICHELIN_RESTAURANTS_2","0.887931749561551","2","all","LightGBM 💡","2026-04-05T03:00:18.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2489","e5-large"
"tabpfnv2_MUL_TEXT_MICHELIN_RESTAURANTS_1","0.916344706759854","1","ft","TabPFN-v2 🤯","2026-04-05T02:55:32.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","14513","e5-large"
"tabpfnv2_MUL_TEXT_MICHELIN_RESTAURANTS_1","0.9069396130547612","1","all","TabPFN-v2 🤯","2026-04-05T02:51:13.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2617","e5-large"
"tabpfnv2p5_MUL_TEXT_MICHELIN_RESTAURANTS_1","0.9254776407790044","1","ft","TabPFN-v2p5 🇩🇪","2026-04-05T02:50:25.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","14478","e5-large"
"tabpfnv2p5_MUL_TEXT_MICHELIN_RESTAURANTS_1","0.9152706545435124","1","all","TabPFN-v2p5 🇩🇪","2026-04-05T02:35:24.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2610","e5-large"
"tabm_MUL_TEXT_MICHELIN_RESTAURANTS_1","0.9191938755476224","1","ft","TabM Ⓜ️","2026-04-05T02:28:22.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","15507","e5-large"
"tabm_MUL_TEXT_MICHELIN_RESTAURANTS_1","0.9155163265272316","1","all","TabM Ⓜ️","2026-04-05T02:24:50.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2484","e5-large"
"cat_MUL_TEXT_MICHELIN_RESTAURANTS_1","0.9169180637472129","1","ft","CatBoost 😸","2026-04-05T02:23:57.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","15581","e5-large"
"cat_MUL_TEXT_MICHELIN_RESTAURANTS_1","0.9083677162052016","1","all","CatBoost 😸","2026-04-05T02:21:17.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2549","e5-large"
"light_MUL_TEXT_MICHELIN_RESTAURANTS_1","0.9020841486268392","1","ft","LightGBM 💡","2026-04-05T02:20:39.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","15531","e5-large"
"light_MUL_TEXT_MICHELIN_RESTAURANTS_1","0.900292007835572","1","all","LightGBM 💡","2026-04-05T02:20:27.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2509","e5-large"
"tabpfnv2_MUL_TEXT_MICHELIN_RESTAURANTS_0","0.9215873545027132","0","ft","TabPFN-v2 🤯","2026-04-05T02:20:18.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","17159","e5-large"
"tabpfnv2_MUL_TEXT_MICHELIN_RESTAURANTS_0","0.9117596034374608","0","all","TabPFN-v2 🤯","2026-04-05T02:16:20.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2632","e5-large"
"tabpfnv2p5_MUL_TEXT_MICHELIN_RESTAURANTS_0","0.927483141375894","0","ft","TabPFN-v2p5 🇩🇪","2026-04-05T02:08:35.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","17158","e5-large"
"tabpfnv2p5_MUL_TEXT_MICHELIN_RESTAURANTS_0","0.9200516516363172","0","all","TabPFN-v2p5 🇩🇪","2026-04-05T02:07:22.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2625","e5-large"
"tabm_MUL_TEXT_MICHELIN_RESTAURANTS_0","0.9244236814970712","0","ft","TabM Ⓜ️","2026-04-05T01:54:53.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","15529","e5-large"
"tabm_MUL_TEXT_MICHELIN_RESTAURANTS_0","0.9137328492393428","0","all","TabM Ⓜ️","2026-04-05T01:53:59.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2479","e5-large"
"cat_MUL_TEXT_MICHELIN_RESTAURANTS_0","0.9227934535196088","0","ft","CatBoost 😸","2026-04-05T01:25:24.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","15620","e5-large"
"cat_MUL_TEXT_MICHELIN_RESTAURANTS_0","0.9093098546760444","0","all","CatBoost 😸","2026-04-05T01:23:18.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2546","e5-large"
"light_MUL_TEXT_MICHELIN_RESTAURANTS_0","0.918766099417561","0","ft","LightGBM 💡","2026-04-05T01:22:51.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","15610","e5-large"
"light_MUL_TEXT_MICHELIN_RESTAURANTS_0","0.8935549129467913","0","all","LightGBM 💡","2026-04-05T01:13:18.000Z","MUL_TEXT_MICHELIN_RESTAURANTS","2489","e5-large"
