"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model","metrics_dict.metrics.logloss"
"tabm_MUL_TEXT_SPOTIFY_GENRES_4","0.9685731506211164","4","ft","TabM Ⓜ️","2026-04-06T08:43:12.000Z","MUL_TEXT_SPOTIFY_GENRES","19205","e5-large","2.014672535610405"
"tabm_MUL_TEXT_SPOTIFY_GENRES_4","0.969089022339942","4","all","TabM Ⓜ️","2026-04-06T08:30:20.000Z","MUL_TEXT_SPOTIFY_GENRES","1291","e5-large","1.992572282317974"
"cat_MUL_TEXT_SPOTIFY_GENRES_4","0.9707922280946696","4","ft","CatBoost 😸","2026-04-06T08:23:07.000Z","MUL_TEXT_SPOTIFY_GENRES","20539","e5-large","1.9051116368737224"
"cat_MUL_TEXT_SPOTIFY_GENRES_4","0.968608655692384","4","all","CatBoost 😸","2026-04-06T08:12:46.000Z","MUL_TEXT_SPOTIFY_GENRES","3656","e5-large","1.9561026565730808"
"light_MUL_TEXT_SPOTIFY_GENRES_4","0.9071607714701132","4","ft","LightGBM 💡","2026-04-06T07:56:48.000Z","MUL_TEXT_SPOTIFY_GENRES","19237","e5-large","3.24586615469564"
"light_MUL_TEXT_SPOTIFY_GENRES_4","0.9088380111744716","4","all","LightGBM 💡","2026-04-06T07:51:00.000Z","MUL_TEXT_SPOTIFY_GENRES","1299","e5-large","3.1457879647141582"
"tabm_MUL_TEXT_SPOTIFY_GENRES_3","0.9691499285360397","3","ft","TabM Ⓜ️","2026-04-06T06:58:57.000Z","MUL_TEXT_SPOTIFY_GENRES","23269","e5-large","1.9919664744586856"
"tabm_MUL_TEXT_SPOTIFY_GENRES_3","0.9681834733403674","3","all","TabM Ⓜ️","2026-04-06T06:43:46.000Z","MUL_TEXT_SPOTIFY_GENRES","1263","e5-large","2.0164444914855624"
"cat_MUL_TEXT_SPOTIFY_GENRES_3","0.9697690815555028","3","ft","CatBoost 😸","2026-04-06T06:43:10.000Z","MUL_TEXT_SPOTIFY_GENRES","25145","e5-large","1.8912901109352471"
"cat_MUL_TEXT_SPOTIFY_GENRES_3","0.9680062906416302","3","all","CatBoost 😸","2026-04-06T06:33:45.000Z","MUL_TEXT_SPOTIFY_GENRES","3348","e5-large","1.964209193981031"
"light_MUL_TEXT_SPOTIFY_GENRES_3","0.9123650511678536","3","ft","LightGBM 💡","2026-04-06T04:08:17.000Z","MUL_TEXT_SPOTIFY_GENRES","23335","e5-large","3.1998097032310486"
"light_MUL_TEXT_SPOTIFY_GENRES_3","0.9062090524221248","3","all","LightGBM 💡","2026-04-06T03:46:14.000Z","MUL_TEXT_SPOTIFY_GENRES","1319","e5-large","3.207185899892519"
"tabm_MUL_TEXT_SPOTIFY_GENRES_2","0.9682048090275004","2","ft","TabM Ⓜ️","2026-04-06T03:00:05.000Z","MUL_TEXT_SPOTIFY_GENRES","20905","e5-large","2.0604931038521843"
"tabm_MUL_TEXT_SPOTIFY_GENRES_2","0.9680145911719223","2","all","TabM Ⓜ️","2026-04-06T02:57:49.000Z","MUL_TEXT_SPOTIFY_GENRES","1257","e5-large","2.0075417856500266"
"cat_MUL_TEXT_SPOTIFY_GENRES_2","0.9700779914966408","2","ft","CatBoost 😸","2026-04-06T02:46:03.000Z","MUL_TEXT_SPOTIFY_GENRES","22746","e5-large","1.8944350772394385"
"cat_MUL_TEXT_SPOTIFY_GENRES_2","0.9685048517732614","2","all","CatBoost 😸","2026-04-06T02:41:45.000Z","MUL_TEXT_SPOTIFY_GENRES","3336","e5-large","1.963312918688258"
"light_MUL_TEXT_SPOTIFY_GENRES_2","0.9088764723677444","2","ft","LightGBM 💡","2026-04-06T02:38:41.000Z","MUL_TEXT_SPOTIFY_GENRES","21016","e5-large","3.280097719785428"
"light_MUL_TEXT_SPOTIFY_GENRES_2","0.9058758953748804","2","all","LightGBM 💡","2026-04-06T02:37:59.000Z","MUL_TEXT_SPOTIFY_GENRES","1318","e5-large","3.227385098602838"
"tabm_MUL_TEXT_SPOTIFY_GENRES_1","0.9684000739604072","1","ft","TabM Ⓜ️","2026-04-06T02:16:10.000Z","MUL_TEXT_SPOTIFY_GENRES","20364","e5-large","2.01564918086221"
"tabm_MUL_TEXT_SPOTIFY_GENRES_1","0.9664513260922774","1","all","TabM Ⓜ️","2026-04-06T02:13:04.000Z","MUL_TEXT_SPOTIFY_GENRES","1255","e5-large","2.053597814118561"
"cat_MUL_TEXT_SPOTIFY_GENRES_1","0.9687458239042472","1","ft","CatBoost 😸","2026-04-06T02:12:48.000Z","MUL_TEXT_SPOTIFY_GENRES","22214","e5-large","1.9293658564634888"
"cat_MUL_TEXT_SPOTIFY_GENRES_1","0.96559309829342","1","all","CatBoost 😸","2026-04-06T02:05:20.000Z","MUL_TEXT_SPOTIFY_GENRES","3585","e5-large","1.9994910297735504"
