"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabm_MUL_TEXT_US_ACCIDENTS_1","0.9694437311274544","1","ft","TabM Ⓜ️","2026-04-07T18:32:01.000Z","MUL_TEXT_US_ACCIDENTS","30532","e5-large"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_0","0.9835185771517106","0","ft","TabPFN-v2p5 🇩🇪","2026-04-07T18:19:04.000Z","MUL_TEXT_US_ACCIDENTS","27618","e5-large"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_4","0.990654693451998","4","ft","TabPFN-v2p5 🇩🇪","2026-04-07T10:50:40.000Z","MUL_TEXT_US_ACCIDENTS","23515","e5-large"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_4","0.9855906479869292","4","all","TabPFN-v2p5 🇩🇪","2026-04-07T10:37:10.000Z","MUL_TEXT_US_ACCIDENTS","4048","e5-large"
"tabm_MUL_TEXT_US_ACCIDENTS_4","0.9830870316637248","4","ft","TabM Ⓜ️","2026-04-07T10:10:00.000Z","MUL_TEXT_US_ACCIDENTS","26902","e5-large"
"tabm_MUL_TEXT_US_ACCIDENTS_4","0.977562875145965","4","all","TabM Ⓜ️","2026-04-07T09:32:04.000Z","MUL_TEXT_US_ACCIDENTS","3901","e5-large"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_3","0.977307783883022","3","ft","TabPFN-v2 🤯","2026-04-07T09:32:02.000Z","MUL_TEXT_US_ACCIDENTS","23829","e5-large"
"cat_MUL_TEXT_US_ACCIDENTS_3","0.97435263627455","3","ft","CatBoost 😸","2026-04-07T09:31:29.000Z","MUL_TEXT_US_ACCIDENTS","30569","e5-large"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_1","0.9781697851845376","1","ft","TabPFN-v2p5 🇩🇪","2026-04-07T09:27:38.000Z","MUL_TEXT_US_ACCIDENTS","23515","e5-large"
"light_MUL_TEXT_US_ACCIDENTS_1","0.9669358298304878","1","ft","LightGBM 💡","2026-04-07T09:23:21.000Z","MUL_TEXT_US_ACCIDENTS","30503","e5-large"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_0","0.9785262861426748","0","ft","TabPFN-v2 🤯","2026-04-07T09:20:08.000Z","MUL_TEXT_US_ACCIDENTS","27564","e5-large"
"tabm_MUL_TEXT_US_ACCIDENTS_0","0.9769741943949168","0","ft","TabM Ⓜ️","2026-04-07T09:12:48.000Z","MUL_TEXT_US_ACCIDENTS","28729","e5-large"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_4","0.9890080399636216","4","ft","TabPFN-v2 🤯","2026-04-07T01:31:44.000Z","MUL_TEXT_US_ACCIDENTS","23538","e5-large"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_4","0.9827831851701316","4","all","TabPFN-v2 🤯","2026-04-07T01:31:39.000Z","MUL_TEXT_US_ACCIDENTS","3844","e5-large"
"cat_MUL_TEXT_US_ACCIDENTS_4","0.9849538623622572","4","ft","CatBoost 😸","2026-04-07T01:27:52.000Z","MUL_TEXT_US_ACCIDENTS","26882","e5-large"
"cat_MUL_TEXT_US_ACCIDENTS_4","0.9785627552188536","4","all","CatBoost 😸","2026-04-07T01:24:12.000Z","MUL_TEXT_US_ACCIDENTS","3935","e5-large"
"light_MUL_TEXT_US_ACCIDENTS_4","0.9849699367429352","4","ft","LightGBM 💡","2026-04-07T01:23:31.000Z","MUL_TEXT_US_ACCIDENTS","26887","e5-large"
"light_MUL_TEXT_US_ACCIDENTS_4","0.9758258423801852","4","all","LightGBM 💡","2026-04-07T01:13:16.000Z","MUL_TEXT_US_ACCIDENTS","3724","e5-large"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_3","0.9686106890598636","3","all","TabPFN-v2 🤯","2026-04-07T00:34:51.000Z","MUL_TEXT_US_ACCIDENTS","3942","e5-large"
