"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabm_MUL_TEXT_WINE_REVIEW_4","0.982831608345358","4","ft","TabM Ⓜ️","2026-04-05T13:18:35.000Z","MUL_TEXT_WINE_REVIEW","8816","e5-large"
"tabm_MUL_TEXT_WINE_REVIEW_4","0.981122893603412","4","all","TabM Ⓜ️","2026-04-05T13:06:42.000Z","MUL_TEXT_WINE_REVIEW","849","e5-large"
"cat_MUL_TEXT_WINE_REVIEW_4","0.9831326853386396","4","ft","CatBoost 😸","2026-04-05T13:01:27.000Z","MUL_TEXT_WINE_REVIEW","9136","e5-large"
"cat_MUL_TEXT_WINE_REVIEW_4","0.9779722798420204","4","all","CatBoost 😸","2026-04-05T12:37:13.000Z","MUL_TEXT_WINE_REVIEW","1448","e5-large"
"light_MUL_TEXT_WINE_REVIEW_4","0.97655104292404","4","ft","LightGBM 💡","2026-04-05T12:32:57.000Z","MUL_TEXT_WINE_REVIEW","8795","e5-large"
"light_MUL_TEXT_WINE_REVIEW_4","0.9673220121599478","4","all","LightGBM 💡","2026-04-05T12:22:51.000Z","MUL_TEXT_WINE_REVIEW","859","e5-large"
"tabm_MUL_TEXT_WINE_REVIEW_3","0.9847439687999664","3","ft","TabM Ⓜ️","2026-04-05T12:02:34.000Z","MUL_TEXT_WINE_REVIEW","11155","e5-large"
"tabm_MUL_TEXT_WINE_REVIEW_3","0.979169328838296","3","all","TabM Ⓜ️","2026-04-05T11:54:15.000Z","MUL_TEXT_WINE_REVIEW","852","e5-large"
"cat_MUL_TEXT_WINE_REVIEW_3","0.9822507869467704","3","ft","CatBoost 😸","2026-04-05T11:53:10.000Z","MUL_TEXT_WINE_REVIEW","11713","e5-large"
"cat_MUL_TEXT_WINE_REVIEW_3","0.9778823261446402","3","all","CatBoost 😸","2026-04-05T11:44:17.000Z","MUL_TEXT_WINE_REVIEW","1389","e5-large"
"light_MUL_TEXT_WINE_REVIEW_3","0.9783779417657076","3","ft","LightGBM 💡","2026-04-05T11:40:26.000Z","MUL_TEXT_WINE_REVIEW","11226","e5-large"
"light_MUL_TEXT_WINE_REVIEW_3","0.967775446434568","3","all","LightGBM 💡","2026-04-05T11:38:48.000Z","MUL_TEXT_WINE_REVIEW","856","e5-large"
"tabm_MUL_TEXT_WINE_REVIEW_2","0.984789491995698","2","ft","TabM Ⓜ️","2026-04-05T11:17:32.000Z","MUL_TEXT_WINE_REVIEW","13561","e5-large"
"tabm_MUL_TEXT_WINE_REVIEW_2","0.9812635630624562","2","all","TabM Ⓜ️","2026-04-05T11:14:15.000Z","MUL_TEXT_WINE_REVIEW","902","e5-large"
"cat_MUL_TEXT_WINE_REVIEW_2","0.9824704703733124","2","ft","CatBoost 😸","2026-04-05T11:10:49.000Z","MUL_TEXT_WINE_REVIEW","13928","e5-large"
"cat_MUL_TEXT_WINE_REVIEW_2","0.9783487426802376","2","all","CatBoost 😸","2026-04-05T11:07:39.000Z","MUL_TEXT_WINE_REVIEW","1415","e5-large"
"light_MUL_TEXT_WINE_REVIEW_2","0.9740584338178034","2","ft","LightGBM 💡","2026-04-05T10:58:20.000Z","MUL_TEXT_WINE_REVIEW","13569","e5-large"
"light_MUL_TEXT_WINE_REVIEW_2","0.9686067206574562","2","all","LightGBM 💡","2026-04-05T10:53:01.000Z","MUL_TEXT_WINE_REVIEW","875","e5-large"
