"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabpfnv2_MUL_TEXT_WOMEN_CLOTHING_REVIEW_4","0.915159509360987","4","ft","TabPFN-v2 🤯","2026-04-05T01:12:12.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","6195","e5-large"
"tabpfnv2_MUL_TEXT_WOMEN_CLOTHING_REVIEW_4","0.9112961191278984","4","all","TabPFN-v2 🤯","2026-04-05T01:08:25.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","889","e5-large"
"tabpfnv2p5_MUL_TEXT_WOMEN_CLOTHING_REVIEW_4","0.9160447873636016","4","ft","TabPFN-v2p5 🇩🇪","2026-04-05T01:07:01.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","6196","e5-large"
"tabpfnv2p5_MUL_TEXT_WOMEN_CLOTHING_REVIEW_4","0.9133484877062952","4","all","TabPFN-v2p5 🇩🇪","2026-04-05T01:06:15.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","893","e5-large"
"tabm_MUL_TEXT_WOMEN_CLOTHING_REVIEW_4","0.9143448809972888","4","ft","TabM Ⓜ️","2026-04-05T01:01:23.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","5214","e5-large"
"tabm_MUL_TEXT_WOMEN_CLOTHING_REVIEW_4","0.908796260578165","4","all","TabM Ⓜ️","2026-04-05T00:59:07.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","848","e5-large"
"cat_MUL_TEXT_WOMEN_CLOTHING_REVIEW_4","0.9130346220686798","4","ft","CatBoost 😸","2026-04-05T00:53:45.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","5248","e5-large"
"cat_MUL_TEXT_WOMEN_CLOTHING_REVIEW_4","0.9088987091575924","4","all","CatBoost 😸","2026-04-05T00:53:43.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","878","e5-large"
"light_MUL_TEXT_WOMEN_CLOTHING_REVIEW_4","0.9103956545984546","4","ft","LightGBM 💡","2026-04-05T00:52:46.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","5257","e5-large"
"light_MUL_TEXT_WOMEN_CLOTHING_REVIEW_4","0.9023344981378182","4","all","LightGBM 💡","2026-04-05T00:52:04.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","844","e5-large"
"tabpfnv2_MUL_TEXT_WOMEN_CLOTHING_REVIEW_3","0.9139748331772786","3","ft","TabPFN-v2 🤯","2026-04-05T00:47:55.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","5756","e5-large"
"tabpfnv2_MUL_TEXT_WOMEN_CLOTHING_REVIEW_3","0.9086666001526756","3","all","TabPFN-v2 🤯","2026-04-05T00:46:30.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","889","e5-large"
"tabpfnv2p5_MUL_TEXT_WOMEN_CLOTHING_REVIEW_3","0.913433579707986","3","ft","TabPFN-v2p5 🇩🇪","2026-04-05T00:44:30.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","5763","e5-large"
"tabpfnv2p5_MUL_TEXT_WOMEN_CLOTHING_REVIEW_3","0.909890299888332","3","all","TabPFN-v2p5 🇩🇪","2026-04-05T00:44:09.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","894","e5-large"
"tabm_MUL_TEXT_WOMEN_CLOTHING_REVIEW_3","0.9130570764844542","3","ft","TabM Ⓜ️","2026-04-05T00:44:06.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","6037","e5-large"
"tabm_MUL_TEXT_WOMEN_CLOTHING_REVIEW_3","0.9082969002109168","3","all","TabM Ⓜ️","2026-04-05T00:39:32.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","845","e5-large"
"cat_MUL_TEXT_WOMEN_CLOTHING_REVIEW_3","0.9093404137470416","3","ft","CatBoost 😸","2026-04-05T00:38:03.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","6051","e5-large"
"cat_MUL_TEXT_WOMEN_CLOTHING_REVIEW_3","0.9058339522916384","3","all","CatBoost 😸","2026-04-05T00:37:11.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","886","e5-large"
