"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_3","0.5903685952555219","3","ft","TabPFN-v2p5 🇩🇪","2026-04-07T11:36:09.000Z","REG_TEXT_BOOK_PRICE","7483","e5-large"
"tabm_REG_TEXT_BOOK_PRICE_3","0.574865618714022","3","ft","TabM Ⓜ️","2026-04-07T11:36:09.000Z","REG_TEXT_BOOK_PRICE","5789","e5-large"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_2","0.60699772621575","2","ft","TabPFN-v2p5 🇩🇪","2026-04-07T11:36:07.000Z","REG_TEXT_BOOK_PRICE","6473","e5-large"
"cat_REG_TEXT_BOOK_PRICE_3","0.5916384100638037","3","ft","CatBoost 😸","2026-04-07T11:36:07.000Z","REG_TEXT_BOOK_PRICE","5808","e5-large"
"tabpfnv2_REG_TEXT_BOOK_PRICE_4","0.5153742036084785","4","ft","TabPFN-v2 🤯","2026-04-07T02:03:38.000Z","REG_TEXT_BOOK_PRICE","6477","e5-large"
"tabpfnv2_REG_TEXT_BOOK_PRICE_4","0.5097423819665803","4","all","TabPFN-v2 🤯","2026-04-07T02:02:25.000Z","REG_TEXT_BOOK_PRICE","1987","e5-large"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_4","0.5626423864691737","4","ft","TabPFN-v2p5 🇩🇪","2026-04-07T02:02:09.000Z","REG_TEXT_BOOK_PRICE","6456","e5-large"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_4","0.5702533995535505","4","all","TabPFN-v2p5 🇩🇪","2026-04-07T02:01:34.000Z","REG_TEXT_BOOK_PRICE","931","e5-large"
"tabm_REG_TEXT_BOOK_PRICE_4","0.5423323367142857","4","ft","TabM Ⓜ️","2026-04-07T02:00:41.000Z","REG_TEXT_BOOK_PRICE","5346","e5-large"
"tabm_REG_TEXT_BOOK_PRICE_4","0.531788143075816","4","all","TabM Ⓜ️","2026-04-07T02:00:39.000Z","REG_TEXT_BOOK_PRICE","884","e5-large"
"cat_REG_TEXT_BOOK_PRICE_4","0.5529260969298988","4","ft","CatBoost 😸","2026-04-07T02:00:36.000Z","REG_TEXT_BOOK_PRICE","5362","e5-large"
"cat_REG_TEXT_BOOK_PRICE_4","0.537946504340672","4","all","CatBoost 😸","2026-04-07T02:00:29.000Z","REG_TEXT_BOOK_PRICE","894","e5-large"
"light_REG_TEXT_BOOK_PRICE_4","0.5241238017910819","4","ft","LightGBM 💡","2026-04-07T02:00:06.000Z","REG_TEXT_BOOK_PRICE","5361","e5-large"
"light_REG_TEXT_BOOK_PRICE_4","0.5009426928133933","4","all","LightGBM 💡","2026-04-07T01:59:14.000Z","REG_TEXT_BOOK_PRICE","879","e5-large"
"tabpfnv2_REG_TEXT_BOOK_PRICE_3","0.5630160051630062","3","ft","TabPFN-v2 🤯","2026-04-07T01:59:07.000Z","REG_TEXT_BOOK_PRICE","7461","e5-large"
"tabpfnv2_REG_TEXT_BOOK_PRICE_3","0.531003397907126","3","all","TabPFN-v2 🤯","2026-04-07T01:59:07.000Z","REG_TEXT_BOOK_PRICE","950","e5-large"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_3","0.5668758912496772","3","all","TabPFN-v2p5 🇩🇪","2026-04-07T01:58:19.000Z","REG_TEXT_BOOK_PRICE","942","e5-large"
"tabm_REG_TEXT_BOOK_PRICE_3","0.5677341076401371","3","all","TabM Ⓜ️","2026-04-07T01:58:12.000Z","REG_TEXT_BOOK_PRICE","897","e5-large"
"cat_REG_TEXT_BOOK_PRICE_3","0.5359700981260349","3","all","CatBoost 😸","2026-04-07T01:56:00.000Z","REG_TEXT_BOOK_PRICE","950","e5-large"
"light_REG_TEXT_BOOK_PRICE_3","0.5610445185769777","3","ft","LightGBM 💡","2026-04-07T01:51:34.000Z","REG_TEXT_BOOK_PRICE","5773","e5-large"
"light_REG_TEXT_BOOK_PRICE_3","0.5276316012735294","3","all","LightGBM 💡","2026-04-07T01:50:58.000Z","REG_TEXT_BOOK_PRICE","4671","e5-large"
"tabpfnv2_REG_TEXT_BOOK_PRICE_2","0.56754031343345","2","ft","TabPFN-v2 🤯","2026-04-07T01:50:11.000Z","REG_TEXT_BOOK_PRICE","6477","e5-large"
"tabpfnv2_REG_TEXT_BOOK_PRICE_2","0.5488225392422137","2","all","TabPFN-v2 🤯","2026-04-07T01:50:07.000Z","REG_TEXT_BOOK_PRICE","954","e5-large"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_2","0.5822969916999765","2","all","TabPFN-v2p5 🇩🇪","2026-04-07T01:50:05.000Z","REG_TEXT_BOOK_PRICE","1006","e5-large"
"tabm_REG_TEXT_BOOK_PRICE_2","0.5712027077377457","2","ft","TabM Ⓜ️","2026-04-07T01:50:04.000Z","REG_TEXT_BOOK_PRICE","5343","e5-large"
"tabm_REG_TEXT_BOOK_PRICE_2","0.5713510051821491","2","all","TabM Ⓜ️","2026-04-07T01:50:01.000Z","REG_TEXT_BOOK_PRICE","965","e5-large"
"cat_REG_TEXT_BOOK_PRICE_2","0.5870679461424422","2","ft","CatBoost 😸","2026-04-07T01:47:24.000Z","REG_TEXT_BOOK_PRICE","5346","e5-large"
"cat_REG_TEXT_BOOK_PRICE_2","0.5371207200274852","2","all","CatBoost 😸","2026-04-07T01:47:18.000Z","REG_TEXT_BOOK_PRICE","901","e5-large"
"light_REG_TEXT_BOOK_PRICE_2","0.5759613545365494","2","ft","LightGBM 💡","2026-04-07T01:47:03.000Z","REG_TEXT_BOOK_PRICE","5339","e5-large"
"light_REG_TEXT_BOOK_PRICE_2","0.5184531303939804","2","all","LightGBM 💡","2026-04-07T01:46:48.000Z","REG_TEXT_BOOK_PRICE","883","e5-large"
"tabpfnv2_REG_TEXT_BOOK_PRICE_1","0.5803969855139297","1","ft","TabPFN-v2 🤯","2026-04-07T01:46:48.000Z","REG_TEXT_BOOK_PRICE","7485","e5-large"
"tabpfnv2p5_REG_TEXT_BOOK_PRICE_1","0.6185441628868871","1","ft","TabPFN-v2p5 🇩🇪","2026-04-07T01:46:40.000Z","REG_TEXT_BOOK_PRICE","6963","e5-large"
