"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabpfnv2_REG_TEXT_BOOK_READABILITY_4","0.851305328075264","4","ft","TabPFN-v2 🤯","2026-04-08T15:02:37.000Z","REG_TEXT_BOOK_READABILITY","7896","e5-large"
"tabpfnv2_REG_TEXT_BOOK_READABILITY_4","0.8302652726284663","4","all","TabPFN-v2 🤯","2026-04-08T15:02:20.000Z","REG_TEXT_BOOK_READABILITY","1108","e5-large"
"tabpfnv2p5_REG_TEXT_BOOK_READABILITY_4","0.8548649402036048","4","ft","TabPFN-v2p5 🇩🇪","2026-04-08T14:56:13.000Z","REG_TEXT_BOOK_READABILITY","7856","e5-large"
"tabpfnv2p5_REG_TEXT_BOOK_READABILITY_4","0.8335938734078417","4","all","TabPFN-v2p5 🇩🇪","2026-04-08T14:54:48.000Z","REG_TEXT_BOOK_READABILITY","1093","e5-large"
"tabm_REG_TEXT_BOOK_READABILITY_4","0.8501491523215714","4","ft","TabM Ⓜ️","2026-04-08T14:54:19.000Z","REG_TEXT_BOOK_READABILITY","6651","e5-large"
"tabm_REG_TEXT_BOOK_READABILITY_4","0.8330997838208906","4","all","TabM Ⓜ️","2026-04-08T14:52:21.000Z","REG_TEXT_BOOK_READABILITY","1073","e5-large"
"cat_REG_TEXT_BOOK_READABILITY_4","0.8643063100576385","4","ft","CatBoost 😸","2026-04-08T14:51:49.000Z","REG_TEXT_BOOK_READABILITY","7694","e5-large"
"cat_REG_TEXT_BOOK_READABILITY_4","0.8450282223497264","4","all","CatBoost 😸","2026-04-08T14:44:20.000Z","REG_TEXT_BOOK_READABILITY","1074","e5-large"
"light_REG_TEXT_BOOK_READABILITY_4","0.850507178784419","4","ft","LightGBM 💡","2026-04-08T14:38:48.000Z","REG_TEXT_BOOK_READABILITY","7678","e5-large"
"light_REG_TEXT_BOOK_READABILITY_4","0.8394616290078564","4","all","LightGBM 💡","2026-04-08T14:37:39.000Z","REG_TEXT_BOOK_READABILITY","996","e5-large"
"tabpfnv2_REG_TEXT_BOOK_READABILITY_3","0.8357400883149015","3","ft","TabPFN-v2 🤯","2026-04-08T14:34:41.000Z","REG_TEXT_BOOK_READABILITY","7876","e5-large"
"tabpfnv2_REG_TEXT_BOOK_READABILITY_3","0.8276754693493308","3","all","TabPFN-v2 🤯","2026-04-08T14:31:24.000Z","REG_TEXT_BOOK_READABILITY","1253","e5-large"
"tabpfnv2p5_REG_TEXT_BOOK_READABILITY_3","0.8365471052892414","3","ft","TabPFN-v2p5 🇩🇪","2026-04-08T14:27:10.000Z","REG_TEXT_BOOK_READABILITY","7918","e5-large"
"tabpfnv2p5_REG_TEXT_BOOK_READABILITY_3","0.8463439624344956","3","all","TabPFN-v2p5 🇩🇪","2026-04-08T14:21:11.000Z","REG_TEXT_BOOK_READABILITY","1055","e5-large"
"tabm_REG_TEXT_BOOK_READABILITY_3","0.8355969305229707","3","ft","TabM Ⓜ️","2026-04-08T14:20:01.000Z","REG_TEXT_BOOK_READABILITY","6628","e5-large"
"tabm_REG_TEXT_BOOK_READABILITY_3","0.8451556292761128","3","all","TabM Ⓜ️","2026-04-08T14:17:24.000Z","REG_TEXT_BOOK_READABILITY","1034","e5-large"
