"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabpfnv2p5_REG_TEXT_MERCARI_MARKETPLACE_0","0.4790942842577044","0","ft","TabPFN-v2p5 🇩🇪","2026-04-07T18:33:46.000Z","REG_TEXT_MERCARI_MARKETPLACE","10587","e5-large"
"cat_REG_TEXT_MERCARI_MARKETPLACE_4","0.4960635126886894","4","ft","CatBoost 😸","2026-04-07T14:30:50.000Z","REG_TEXT_MERCARI_MARKETPLACE","15710","e5-large"
"light_REG_TEXT_MERCARI_MARKETPLACE_3","0.4268368133083856","3","ft","LightGBM 💡","2026-04-07T14:28:44.000Z","REG_TEXT_MERCARI_MARKETPLACE","10900","e5-large"
"tabm_REG_TEXT_MERCARI_MARKETPLACE_2","0.5244381655572441","2","ft","TabM Ⓜ️","2026-04-07T14:27:07.000Z","REG_TEXT_MERCARI_MARKETPLACE","10836","e5-large"
"tabm_REG_TEXT_MERCARI_MARKETPLACE_2","0.4813573615906085","2","all","TabM Ⓜ️","2026-04-07T14:21:44.000Z","REG_TEXT_MERCARI_MARKETPLACE","2431","e5-large"
"cat_REG_TEXT_MERCARI_MARKETPLACE_2","0.5069392349040658","2","ft","CatBoost 😸","2026-04-07T12:22:15.000Z","REG_TEXT_MERCARI_MARKETPLACE","10861","e5-large"
"tabpfnv2_REG_TEXT_MERCARI_MARKETPLACE_0","0.4404045239536344","0","ft","TabPFN-v2 🤯","2026-04-07T11:44:45.000Z","REG_TEXT_MERCARI_MARKETPLACE","10699","e5-large"
"tabpfnv2_REG_TEXT_MERCARI_MARKETPLACE_0","0.4228110930159814","0","all","TabPFN-v2 🤯","2026-04-07T11:44:12.000Z","REG_TEXT_MERCARI_MARKETPLACE","2575","e5-large"
"tabm_REG_TEXT_MERCARI_MARKETPLACE_0","0.48862046541679705","0","ft","TabM Ⓜ️","2026-04-07T11:38:42.000Z","REG_TEXT_MERCARI_MARKETPLACE","13280","e5-large"
"cat_REG_TEXT_MERCARI_MARKETPLACE_0","0.4659706642721262","0","ft","CatBoost 😸","2026-04-07T11:38:09.000Z","REG_TEXT_MERCARI_MARKETPLACE","13258","e5-large"
"tabpfnv2_REG_TEXT_MERCARI_MARKETPLACE_4","0.4834176940935475","4","ft","TabPFN-v2 🤯","2026-04-07T03:36:46.000Z","REG_TEXT_MERCARI_MARKETPLACE","14607","e5-large"
"tabpfnv2_REG_TEXT_MERCARI_MARKETPLACE_4","0.4650054755537778","4","all","TabPFN-v2 🤯","2026-04-07T03:33:13.000Z","REG_TEXT_MERCARI_MARKETPLACE","2563","e5-large"
"tabpfnv2p5_REG_TEXT_MERCARI_MARKETPLACE_4","0.51496792474734","4","ft","TabPFN-v2p5 🇩🇪","2026-04-07T03:32:55.000Z","REG_TEXT_MERCARI_MARKETPLACE","14600","e5-large"
"tabpfnv2p5_REG_TEXT_MERCARI_MARKETPLACE_4","0.5101183161057383","4","all","TabPFN-v2p5 🇩🇪","2026-04-07T03:30:42.000Z","REG_TEXT_MERCARI_MARKETPLACE","2616","e5-large"
