"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_2","0.9699403742944808","2","all","TabPFN-v2 🤯","2026-04-07T18:52:47.000Z","REG_TEXT_MONTGOMERY_SALARIES","1573","e5-large"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_1","0.9726396490159356","1","ft","TabPFN-v2p5 🇩🇪","2026-04-07T15:59:41.000Z","REG_TEXT_MONTGOMERY_SALARIES","12466","e5-large"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_0","0.9846824250599344","0","ft","TabPFN-v2 🤯","2026-04-07T15:53:02.000Z","REG_TEXT_MONTGOMERY_SALARIES","17501","e5-large"
"cat_REG_TEXT_MONTGOMERY_SALARIES_0","0.9826026860257844","0","ft","CatBoost 😸","2026-04-07T15:46:09.000Z","REG_TEXT_MONTGOMERY_SALARIES","14499","e5-large"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_4","0.9802873556182644","4","ft","TabPFN-v2 🤯","2026-04-07T09:04:54.000Z","REG_TEXT_MONTGOMERY_SALARIES","14693","e5-large"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_4","0.9737298631047994","4","all","TabPFN-v2 🤯","2026-04-07T09:02:09.000Z","REG_TEXT_MONTGOMERY_SALARIES","1372","e5-large"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_4","0.981606406980454","4","ft","TabPFN-v2p5 🇩🇪","2026-04-07T09:01:46.000Z","REG_TEXT_MONTGOMERY_SALARIES","14701","e5-large"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_4","0.9766635466901056","4","all","TabPFN-v2p5 🇩🇪","2026-04-07T09:00:36.000Z","REG_TEXT_MONTGOMERY_SALARIES","1359","e5-large"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_4","0.9728444307297788","4","ft","TabM Ⓜ️","2026-04-07T08:58:44.000Z","REG_TEXT_MONTGOMERY_SALARIES","12603","e5-large"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_4","0.9693134861481258","4","all","TabM Ⓜ️","2026-04-07T08:57:43.000Z","REG_TEXT_MONTGOMERY_SALARIES","1337","e5-large"
"cat_REG_TEXT_MONTGOMERY_SALARIES_4","0.9735508358993156","4","ft","CatBoost 😸","2026-04-07T08:56:00.000Z","REG_TEXT_MONTGOMERY_SALARIES","12627","e5-large"
"cat_REG_TEXT_MONTGOMERY_SALARIES_4","0.9701585488859998","4","all","CatBoost 😸","2026-04-07T08:55:02.000Z","REG_TEXT_MONTGOMERY_SALARIES","1306","e5-large"
"light_REG_TEXT_MONTGOMERY_SALARIES_4","0.9685625101093114","4","ft","LightGBM 💡","2026-04-07T08:51:45.000Z","REG_TEXT_MONTGOMERY_SALARIES","12624","e5-large"
"light_REG_TEXT_MONTGOMERY_SALARIES_4","0.9700363775691702","4","all","LightGBM 💡","2026-04-07T08:51:16.000Z","REG_TEXT_MONTGOMERY_SALARIES","1285","e5-large"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_3","0.9859974305069348","3","ft","TabPFN-v2 🤯","2026-04-07T08:43:32.000Z","REG_TEXT_MONTGOMERY_SALARIES","14690","e5-large"
