"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_3","0.5848476965303648","3","ft","TabPFN-v2p5 🇩🇪","2026-04-08T23:58:36.000Z","REG_TEXT_ROTTEN_TOMATOES","21919","e5-large"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_4","0.5253636980965413","4","ft","TabPFN-v2 🤯","2026-04-08T20:05:45.000Z","REG_TEXT_ROTTEN_TOMATOES","16448","e5-large"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_4","0.492141407884736","4","all","TabPFN-v2 🤯","2026-04-08T19:58:41.000Z","REG_TEXT_ROTTEN_TOMATOES","3576","e5-large"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_4","0.5474250572448713","4","ft","TabPFN-v2p5 🇩🇪","2026-04-08T19:58:37.000Z","REG_TEXT_ROTTEN_TOMATOES","16390","e5-large"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_4","0.5318855703325989","4","all","TabPFN-v2p5 🇩🇪","2026-04-08T19:48:43.000Z","REG_TEXT_ROTTEN_TOMATOES","3683","e5-large"
"tabm_REG_TEXT_ROTTEN_TOMATOES_4","0.5268522985598021","4","ft","TabM Ⓜ️","2026-04-08T19:48:30.000Z","REG_TEXT_ROTTEN_TOMATOES","13256","e5-large"
"tabm_REG_TEXT_ROTTEN_TOMATOES_4","0.47599150170131965","4","all","TabM Ⓜ️","2026-04-08T19:32:11.000Z","REG_TEXT_ROTTEN_TOMATOES","3225","e5-large"
"cat_REG_TEXT_ROTTEN_TOMATOES_4","0.5132215378936551","4","ft","CatBoost 😸","2026-04-08T19:05:21.000Z","REG_TEXT_ROTTEN_TOMATOES","13325","e5-large"
"cat_REG_TEXT_ROTTEN_TOMATOES_4","0.47885841428895715","4","all","CatBoost 😸","2026-04-08T18:54:16.000Z","REG_TEXT_ROTTEN_TOMATOES","3250","e5-large"
"light_REG_TEXT_ROTTEN_TOMATOES_4","0.4802493114390569","4","ft","LightGBM 💡","2026-04-08T18:46:43.000Z","REG_TEXT_ROTTEN_TOMATOES","13248","e5-large"
"light_REG_TEXT_ROTTEN_TOMATOES_4","0.4483578059624016","4","all","LightGBM 💡","2026-04-08T18:38:25.000Z","REG_TEXT_ROTTEN_TOMATOES","3223","e5-large"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_3","0.5682171917465582","3","ft","TabPFN-v2 🤯","2026-04-08T18:08:03.000Z","REG_TEXT_ROTTEN_TOMATOES","16448","e5-large"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_3","0.5397952673017766","3","all","TabPFN-v2 🤯","2026-04-08T18:06:21.000Z","REG_TEXT_ROTTEN_TOMATOES","3534","e5-large"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_3","0.5818655884634436","3","all","TabPFN-v2p5 🇩🇪","2026-04-08T17:57:35.000Z","REG_TEXT_ROTTEN_TOMATOES","3395","e5-large"
"tabm_REG_TEXT_ROTTEN_TOMATOES_3","0.5601379573631025","3","ft","TabM Ⓜ️","2026-04-08T17:57:17.000Z","REG_TEXT_ROTTEN_TOMATOES","16561","e5-large"
"tabm_REG_TEXT_ROTTEN_TOMATOES_3","0.5329781147389946","3","all","TabM Ⓜ️","2026-04-08T17:52:59.000Z","REG_TEXT_ROTTEN_TOMATOES","3218","e5-large"
"cat_REG_TEXT_ROTTEN_TOMATOES_3","0.5499277682584734","3","ft","CatBoost 😸","2026-04-08T17:48:41.000Z","REG_TEXT_ROTTEN_TOMATOES","16612","e5-large"
"cat_REG_TEXT_ROTTEN_TOMATOES_3","0.5272937255566401","3","all","CatBoost 😸","2026-04-08T17:44:03.000Z","REG_TEXT_ROTTEN_TOMATOES","3257","e5-large"
"light_REG_TEXT_ROTTEN_TOMATOES_3","0.5194246494616148","3","ft","LightGBM 💡","2026-04-08T17:36:15.000Z","REG_TEXT_ROTTEN_TOMATOES","16659","e5-large"
"light_REG_TEXT_ROTTEN_TOMATOES_3","0.5050086117448093","3","all","LightGBM 💡","2026-04-08T17:14:20.000Z","REG_TEXT_ROTTEN_TOMATOES","3218","e5-large"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_2","0.6001350058199479","2","ft","TabPFN-v2 🤯","2026-04-08T17:08:22.000Z","REG_TEXT_ROTTEN_TOMATOES","18354","e5-large"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_2","0.5768583572721323","2","all","TabPFN-v2 🤯","2026-04-08T17:07:18.000Z","REG_TEXT_ROTTEN_TOMATOES","3538","e5-large"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_2","0.6293841104016475","2","ft","TabPFN-v2p5 🇩🇪","2026-04-08T17:07:05.000Z","REG_TEXT_ROTTEN_TOMATOES","18193","e5-large"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_2","0.6174584039793142","2","all","TabPFN-v2p5 🇩🇪","2026-04-08T17:00:50.000Z","REG_TEXT_ROTTEN_TOMATOES","3399","e5-large"
"tabm_REG_TEXT_ROTTEN_TOMATOES_2","0.5906511387039122","2","ft","TabM Ⓜ️","2026-04-08T17:00:36.000Z","REG_TEXT_ROTTEN_TOMATOES","14896","e5-large"
"tabm_REG_TEXT_ROTTEN_TOMATOES_2","0.5636672211449669","2","all","TabM Ⓜ️","2026-04-08T17:00:10.000Z","REG_TEXT_ROTTEN_TOMATOES","3326","e5-large"
"cat_REG_TEXT_ROTTEN_TOMATOES_2","0.5808252543999061","2","ft","CatBoost 😸","2026-04-08T16:59:16.000Z","REG_TEXT_ROTTEN_TOMATOES","15010","e5-large"
"cat_REG_TEXT_ROTTEN_TOMATOES_2","0.5267031925050121","2","all","CatBoost 😸","2026-04-08T16:58:48.000Z","REG_TEXT_ROTTEN_TOMATOES","3247","e5-large"
"light_REG_TEXT_ROTTEN_TOMATOES_2","0.5814743120714226","2","ft","LightGBM 💡","2026-04-08T16:58:29.000Z","REG_TEXT_ROTTEN_TOMATOES","14939","e5-large"
"light_REG_TEXT_ROTTEN_TOMATOES_2","0.5022026693832099","2","all","LightGBM 💡","2026-04-08T16:55:02.000Z","REG_TEXT_ROTTEN_TOMATOES","3216","e5-large"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_1","0.6685509140169281","1","ft","TabPFN-v2 🤯","2026-04-08T16:50:16.000Z","REG_TEXT_ROTTEN_TOMATOES","16464","e5-large"
"tabpfnv2_REG_TEXT_ROTTEN_TOMATOES_1","0.6150591564131787","1","all","TabPFN-v2 🤯","2026-04-08T16:46:49.000Z","REG_TEXT_ROTTEN_TOMATOES","3428","e5-large"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_1","0.6800276555192393","1","ft","TabPFN-v2p5 🇩🇪","2026-04-08T16:46:02.000Z","REG_TEXT_ROTTEN_TOMATOES","16388","e5-large"
