"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"light_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8783643727235908","4","ft","LightGBM 💡","2026-04-08T13:26:27.000Z","REG_TEXT_SCIMAGOJR_IMPACT","23955","e5-large"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8566668708415199","3","ft","CatBoost 😸","2026-04-08T11:08:35.000Z","REG_TEXT_SCIMAGOJR_IMPACT","31796","e5-large"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_1","0.9066932797431946","1","ft","TabPFN-v2p5 🇩🇪","2026-04-08T11:05:15.000Z","REG_TEXT_SCIMAGOJR_IMPACT","33068","e5-large"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8729537725448608","4","ft","TabPFN-v2 🤯","2026-04-08T05:56:51.000Z","REG_TEXT_SCIMAGOJR_IMPACT","33062","e5-large"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8800870180130005","4","all","TabPFN-v2 🤯","2026-04-08T05:52:56.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4261","e5-large"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8930568695068359","4","ft","TabPFN-v2p5 🇩🇪","2026-04-08T05:49:10.000Z","REG_TEXT_SCIMAGOJR_IMPACT","32815","e5-large"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8979629278182983","4","all","TabPFN-v2p5 🇩🇪","2026-04-08T05:45:56.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4338","e5-large"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8888844847679138","4","ft","TabM Ⓜ️","2026-04-08T05:42:42.000Z","REG_TEXT_SCIMAGOJR_IMPACT","23968","e5-large"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8854672908782959","4","all","TabM Ⓜ️","2026-04-08T05:42:07.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4144","e5-large"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8779768469328444","4","ft","CatBoost 😸","2026-04-08T05:41:03.000Z","REG_TEXT_SCIMAGOJR_IMPACT","24018","e5-large"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8738289544796357","4","all","CatBoost 😸","2026-04-08T05:17:41.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4041","e5-large"
"light_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8611099014963256","4","all","LightGBM 💡","2026-04-08T05:06:16.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4014","e5-large"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8839349746704102","3","ft","TabPFN-v2 🤯","2026-04-08T04:53:55.000Z","REG_TEXT_SCIMAGOJR_IMPACT","32870","e5-large"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8803996443748474","3","all","TabPFN-v2 🤯","2026-04-08T04:45:48.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4255","e5-large"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8614504337310791","3","ft","TabPFN-v2p5 🇩🇪","2026-04-08T04:42:48.000Z","REG_TEXT_SCIMAGOJR_IMPACT","33050","e5-large"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8615602254867554","3","all","TabPFN-v2p5 🇩🇪","2026-04-08T04:36:19.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4362","e5-large"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_3","0.883165717124939","3","ft","TabM Ⓜ️","2026-04-08T04:34:26.000Z","REG_TEXT_SCIMAGOJR_IMPACT","31915","e5-large"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_3","0.885164201259613","3","all","TabM Ⓜ️","2026-04-08T04:33:58.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4019","e5-large"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8889357447624207","2","ft","TabPFN-v2p5 🇩🇪","2026-04-08T04:31:17.000Z","REG_TEXT_SCIMAGOJR_IMPACT","31730","e5-large"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8830830943792658","1","ft","CatBoost 😸","2026-04-08T04:29:30.000Z","REG_TEXT_SCIMAGOJR_IMPACT","26021","e5-large"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8894940872056376","0","ft","CatBoost 😸","2026-04-08T03:07:44.000Z","REG_TEXT_SCIMAGOJR_IMPACT","27171","e5-large"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_1","0.878467857837677","1","ft","TabPFN-v2 🤯","2026-04-08T00:21:06.000Z","REG_TEXT_SCIMAGOJR_IMPACT","32848","e5-large"
"light_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8703782158272668","1","ft","LightGBM 💡","2026-04-07T23:22:43.000Z","REG_TEXT_SCIMAGOJR_IMPACT","26045","e5-large"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8902983665466309","0","ft","TabM Ⓜ️","2026-04-07T22:57:16.000Z","REG_TEXT_SCIMAGOJR_IMPACT","26993","e5-large"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8569087616243439","3","all","CatBoost 😸","2026-04-07T21:02:30.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4191","e5-large"
"light_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8550223163790844","3","ft","LightGBM 💡","2026-04-07T20:57:20.000Z","REG_TEXT_SCIMAGOJR_IMPACT","31709","e5-large"
"light_REG_TEXT_SCIMAGOJR_IMPACT_3","0.852911580457623","3","all","LightGBM 💡","2026-04-07T20:55:25.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4106","e5-large"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8787010312080383","2","ft","TabPFN-v2 🤯","2026-04-07T20:53:49.000Z","REG_TEXT_SCIMAGOJR_IMPACT","31728","e5-large"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8810651898384094","2","all","TabPFN-v2 🤯","2026-04-07T20:49:41.000Z","REG_TEXT_SCIMAGOJR_IMPACT","3837","e5-large"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8959057331085205","2","all","TabPFN-v2p5 🇩🇪","2026-04-07T20:48:19.000Z","REG_TEXT_SCIMAGOJR_IMPACT","3813","e5-large"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_2","0.881051778793335","2","ft","TabM Ⓜ️","2026-04-07T20:48:10.000Z","REG_TEXT_SCIMAGOJR_IMPACT","23411","e5-large"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8732851147651672","2","all","TabM Ⓜ️","2026-04-07T20:45:45.000Z","REG_TEXT_SCIMAGOJR_IMPACT","3612","e5-large"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8670899251495743","2","ft","CatBoost 😸","2026-04-07T20:44:53.000Z","REG_TEXT_SCIMAGOJR_IMPACT","23316","e5-large"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_2","0.867037990579119","2","all","CatBoost 😸","2026-04-07T20:43:16.000Z","REG_TEXT_SCIMAGOJR_IMPACT","3771","e5-large"
"light_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8481613488421965","2","ft","LightGBM 💡","2026-04-07T20:41:44.000Z","REG_TEXT_SCIMAGOJR_IMPACT","23406","e5-large"
"light_REG_TEXT_SCIMAGOJR_IMPACT_2","0.855420367005598","2","all","LightGBM 💡","2026-04-07T20:39:27.000Z","REG_TEXT_SCIMAGOJR_IMPACT","3609","e5-large"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_1","0.880364179611206","1","all","TabPFN-v2 🤯","2026-04-07T19:38:37.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4261","e5-large"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_1","0.906874418258667","1","all","TabPFN-v2p5 🇩🇪","2026-04-07T19:19:06.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4625","e5-large"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8982546925544739","0","all","TabPFN-v2 🤯","2026-04-07T19:17:41.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4271","e5-large"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8972269892692566","0","all","TabPFN-v2p5 🇩🇪","2026-04-07T19:03:00.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4218","e5-large"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8903544545173645","1","ft","TabM Ⓜ️","2026-04-07T17:13:12.000Z","REG_TEXT_SCIMAGOJR_IMPACT","25871","e5-large"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8935449719429016","1","all","TabM Ⓜ️","2026-04-07T17:11:47.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4032","e5-large"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8916193921427016","1","all","CatBoost 😸","2026-04-07T17:10:21.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4045","e5-large"
"light_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8729231683241181","1","all","LightGBM 💡","2026-04-07T16:50:25.000Z","REG_TEXT_SCIMAGOJR_IMPACT","4014","e5-large"
"tabpfnv2_REG_TEXT_SCIMAGOJR_IMPACT_0","0.9038403630256652","0","ft","TabPFN-v2 🤯","2026-04-07T16:39:18.000Z","REG_TEXT_SCIMAGOJR_IMPACT","22008","e5-large"
"tabpfnv2p5_REG_TEXT_SCIMAGOJR_IMPACT_0","0.9012343287467957","0","ft","TabPFN-v2p5 🇩🇪","2026-04-07T16:31:09.000Z","REG_TEXT_SCIMAGOJR_IMPACT","21899","e5-large"
"tabm_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8903781175613403","0","all","TabM Ⓜ️","2026-04-07T16:27:00.000Z","REG_TEXT_SCIMAGOJR_IMPACT","3617","e5-large"
"cat_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8875405618939891","0","all","CatBoost 😸","2026-04-07T16:09:20.000Z","REG_TEXT_SCIMAGOJR_IMPACT","3826","e5-large"
"light_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8798680225586359","0","ft","LightGBM 💡","2026-04-07T09:09:16.000Z","REG_TEXT_SCIMAGOJR_IMPACT","26995","e5-large"
"light_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8720449002427003","0","all","LightGBM 💡","2026-04-07T09:07:57.000Z","REG_TEXT_SCIMAGOJR_IMPACT","3717","e5-large"
