"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_3","0.7705728349322102","3","ft","TabPFN-v2 🤯","2026-04-07T15:23:20.000Z","REG_TEXT_VANCOUVER_SALARIES","7975","e5-large"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_1","0.747333696871221","1","ft","TabPFN-v2 🤯","2026-04-07T15:20:06.000Z","REG_TEXT_VANCOUVER_SALARIES","6695","e5-large"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_4","0.7845641941961438","4","ft","TabPFN-v2 🤯","2026-04-07T07:32:56.000Z","REG_TEXT_VANCOUVER_SALARIES","5776","e5-large"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_4","0.7726587739726937","4","all","TabPFN-v2 🤯","2026-04-07T07:32:49.000Z","REG_TEXT_VANCOUVER_SALARIES","863","e5-large"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_4","0.8206478322842843","4","ft","TabPFN-v2p5 🇩🇪","2026-04-07T07:31:36.000Z","REG_TEXT_VANCOUVER_SALARIES","5775","e5-large"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_4","0.8115103630308954","4","all","TabPFN-v2p5 🇩🇪","2026-04-07T07:29:07.000Z","REG_TEXT_VANCOUVER_SALARIES","863","e5-large"
"tabm_REG_TEXT_VANCOUVER_SALARIES_4","0.7899258351697575","4","ft","TabM Ⓜ️","2026-04-07T07:27:58.000Z","REG_TEXT_VANCOUVER_SALARIES","5649","e5-large"
"tabm_REG_TEXT_VANCOUVER_SALARIES_4","0.7814926419564467","4","all","TabM Ⓜ️","2026-04-07T07:26:24.000Z","REG_TEXT_VANCOUVER_SALARIES","820","e5-large"
"cat_REG_TEXT_VANCOUVER_SALARIES_4","0.8026981413381169","4","ft","CatBoost 😸","2026-04-07T07:26:23.000Z","REG_TEXT_VANCOUVER_SALARIES","5647","e5-large"
"cat_REG_TEXT_VANCOUVER_SALARIES_4","0.7847556383173282","4","all","CatBoost 😸","2026-04-07T07:26:03.000Z","REG_TEXT_VANCOUVER_SALARIES","826","e5-large"
"light_REG_TEXT_VANCOUVER_SALARIES_4","0.7912583361731457","4","ft","LightGBM 💡","2026-04-07T07:25:13.000Z","REG_TEXT_VANCOUVER_SALARIES","5605","e5-large"
"light_REG_TEXT_VANCOUVER_SALARIES_4","0.766213976687625","4","all","LightGBM 💡","2026-04-07T07:19:20.000Z","REG_TEXT_VANCOUVER_SALARIES","811","e5-large"
"tabpfnv2_REG_TEXT_VANCOUVER_SALARIES_3","0.7458422060284429","3","all","TabPFN-v2 🤯","2026-04-07T07:16:32.000Z","REG_TEXT_VANCOUVER_SALARIES","899","e5-large"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_3","0.8033067178891815","3","ft","TabPFN-v2p5 🇩🇪","2026-04-07T07:14:04.000Z","REG_TEXT_VANCOUVER_SALARIES","8007","e5-large"
"tabpfnv2p5_REG_TEXT_VANCOUVER_SALARIES_3","0.8096459852605875","3","all","TabPFN-v2p5 🇩🇪","2026-04-07T07:11:59.000Z","REG_TEXT_VANCOUVER_SALARIES","859","e5-large"
"tabm_REG_TEXT_VANCOUVER_SALARIES_3","0.7919921242230424","3","ft","TabM Ⓜ️","2026-04-07T07:10:30.000Z","REG_TEXT_VANCOUVER_SALARIES","6041","e5-large"
"tabm_REG_TEXT_VANCOUVER_SALARIES_3","0.7705980440171002","3","all","TabM Ⓜ️","2026-04-07T07:00:19.000Z","REG_TEXT_VANCOUVER_SALARIES","819","e5-large"
