"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"cat_REG_TEXT_VIDEO_GAMES_SALES_2","0.3485657348449056","2","ft","CatBoost 😸","2026-04-08T23:55:00.000Z","REG_TEXT_VIDEO_GAMES_SALES","8431","e5-large"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_4","0.27010931657462345","4","ft","TabPFN-v2 🤯","2026-04-08T22:21:37.000Z","REG_TEXT_VIDEO_GAMES_SALES","4865","e5-large"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_4","0.2537683504646653","4","all","TabPFN-v2 🤯","2026-04-08T22:20:22.000Z","REG_TEXT_VIDEO_GAMES_SALES","852","e5-large"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_4","0.3842894898015934","4","ft","TabPFN-v2p5 🇩🇪","2026-04-08T22:19:38.000Z","REG_TEXT_VIDEO_GAMES_SALES","4883","e5-large"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_4","0.3548315796504695","4","all","TabPFN-v2p5 🇩🇪","2026-04-08T22:16:57.000Z","REG_TEXT_VIDEO_GAMES_SALES","844","e5-large"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_4","0.3343994330372292","4","ft","TabM Ⓜ️","2026-04-08T22:14:22.000Z","REG_TEXT_VIDEO_GAMES_SALES","5214","e5-large"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_4","0.3459357144889973","4","all","TabM Ⓜ️","2026-04-08T22:14:02.000Z","REG_TEXT_VIDEO_GAMES_SALES","814","e5-large"
"cat_REG_TEXT_VIDEO_GAMES_SALES_4","0.28673008611250184","4","ft","CatBoost 😸","2026-04-08T22:11:31.000Z","REG_TEXT_VIDEO_GAMES_SALES","5241","e5-large"
"cat_REG_TEXT_VIDEO_GAMES_SALES_4","0.27441393506890643","4","all","CatBoost 😸","2026-04-08T22:08:42.000Z","REG_TEXT_VIDEO_GAMES_SALES","813","e5-large"
"light_REG_TEXT_VIDEO_GAMES_SALES_4","0.27484784197682777","4","ft","LightGBM 💡","2026-04-08T22:08:08.000Z","REG_TEXT_VIDEO_GAMES_SALES","5226","e5-large"
"light_REG_TEXT_VIDEO_GAMES_SALES_4","0.2983216701132859","4","all","LightGBM 💡","2026-04-08T22:07:23.000Z","REG_TEXT_VIDEO_GAMES_SALES","846","e5-large"
