"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model","Hostname","pca_components"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_2","0.7712407597608821","2","ft","TabPFN-v2 🤯","2026-04-08T16:45:15.000Z","REG_TEXT_ZOMATO_RESTAURANTS","80154","e5-large","sweep-6uxdijsm-1775525505-6",""
"cat_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8319905143646232","1","ft","CatBoost 😸","2026-04-08T11:02:59.000Z","REG_TEXT_ZOMATO_RESTAURANTS","46435","e5-large","sweep-6uxdijsm-1775525500-1",""
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_0","0.7704798813200098","0","ft","TabPFN-v2 🤯","2026-04-08T11:02:02.000Z","REG_TEXT_ZOMATO_RESTAURANTS","80591","e5-large","sweep-6uxdijsm-1775525504-5",""
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_4","0.7745608094287457","4","ft","TabPFN-v2 🤯","2026-04-08T08:05:35.000Z","REG_TEXT_ZOMATO_RESTAURANTS","78850","e5-large","sweep-6uxdijsm-1775525501-2",""
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_1","0.850475973154726","1","ft","TabPFN-v2p5 🇩🇪","2026-04-08T08:02:31.000Z","REG_TEXT_ZOMATO_RESTAURANTS","64759","e5-large","n309",""
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_3","0.854215613672934","3","ft","TabM Ⓜ️","2026-04-08T04:29:04.000Z","REG_TEXT_ZOMATO_RESTAURANTS","60435","e5-large","sweep-6uxdijsm-1775525555-1",""
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8466742368879513","4","ft","TabPFN-v2p5 🇩🇪","2026-04-07T22:52:05.000Z","REG_TEXT_ZOMATO_RESTAURANTS","78566","e5-large","sweep-6uxdijsm-1775601092-3",""
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_3","0.774168720154878","3","ft","TabPFN-v2 🤯","2026-04-07T22:46:11.000Z","REG_TEXT_ZOMATO_RESTAURANTS","61639","e5-large","sweep-6uxdijsm-1775525506-7",""
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8563881071482934","0","ft","TabPFN-v2p5 🇩🇪","2026-04-07T22:41:10.000Z","REG_TEXT_ZOMATO_RESTAURANTS","80024","e5-large","n306",""
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8445422085309453","0","ft","TabM Ⓜ️","2026-04-07T22:39:01.000Z","REG_TEXT_ZOMATO_RESTAURANTS","69794","e5-large","n306",""
"cat_REG_TEXT_ZOMATO_RESTAURANTS_4","0.83466405021196","4","ft","CatBoost 😸","2026-04-07T18:39:18.000Z","REG_TEXT_ZOMATO_RESTAURANTS","59018","e5-large","sweep-6uxdijsm-1775525500-1",""
"cat_REG_TEXT_ZOMATO_RESTAURANTS_3","0.836265508809555","3","ft","CatBoost 😸","2026-04-07T18:39:17.000Z","REG_TEXT_ZOMATO_RESTAURANTS","59862","e5-large","n309",""
"light_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8072370895888579","1","ft","LightGBM 💡","2026-04-07T18:38:31.000Z","REG_TEXT_ZOMATO_RESTAURANTS","46558","e5-large","sweep-6uxdijsm-1775525502-3",""
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8538267611357812","3","ft","TabPFN-v2p5 🇩🇪","2026-04-07T15:02:22.000Z","REG_TEXT_ZOMATO_RESTAURANTS","61909","e5-large","sweep-6uxdijsm-1775558894-2",""
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_4","0.7231151423659414","4","all","TabPFN-v2 🤯","2026-04-07T05:54:47.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3460","e5-large","n305",""
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8733421272714883","4","all","TabPFN-v2p5 🇩🇪","2026-04-07T05:46:45.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3211","e5-large","sweep-6uxdijsm-1775526498-10",""
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8489520693300108","4","ft","TabM Ⓜ️","2026-04-07T05:41:20.000Z","REG_TEXT_ZOMATO_RESTAURANTS","59005","e5-large","sweep-6uxdijsm-1775525555-1",""
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8487792126094464","4","all","TabM Ⓜ️","2026-04-07T05:38:18.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3055","e5-large","sweep-6uxdijsm-1775525568-14",""
"cat_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8353048957730397","4","all","CatBoost 😸","2026-04-07T05:31:52.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3318","e5-large","n306",""
"light_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8085490456498078","4","ft","LightGBM 💡","2026-04-07T05:28:38.000Z","REG_TEXT_ZOMATO_RESTAURANTS","72964","e5-large","sweep-6uxdijsm-1775525556-2",""
"light_REG_TEXT_ZOMATO_RESTAURANTS_4","0.7936836009768676","4","all","LightGBM 💡","2026-04-07T05:28:21.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3048","e5-large","sweep-6uxdijsm-1775525569-15",""
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_3","0.7474183098116136","3","all","TabPFN-v2 🤯","2026-04-07T05:24:23.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3445","e5-large","n309",""
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8713490735738856","3","all","TabPFN-v2p5 🇩🇪","2026-04-07T05:20:54.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3229","e5-large","sweep-6uxdijsm-1775525512-12",""
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8558709471848958","3","all","TabM Ⓜ️","2026-04-07T05:20:21.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3076","e5-large","sweep-6uxdijsm-1775525500-1",""
"cat_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8345439033828888","3","all","CatBoost 😸","2026-04-07T05:11:38.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3296","e5-large","n309",""
"light_REG_TEXT_ZOMATO_RESTAURANTS_3","0.809958432139793","3","ft","LightGBM 💡","2026-04-07T05:03:48.000Z","REG_TEXT_ZOMATO_RESTAURANTS","60379","e5-large","sweep-6uxdijsm-1775525505-6",""
"light_REG_TEXT_ZOMATO_RESTAURANTS_3","0.7974938194962623","3","all","LightGBM 💡","2026-04-07T05:01:53.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3096","e5-large","sweep-6uxdijsm-1775525510-10",""
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_2","0.7398113400575728","2","all","TabPFN-v2 🤯","2026-04-07T04:57:51.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3457","e5-large","n306",""
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8449285901951991","2","ft","TabPFN-v2p5 🇩🇪","2026-04-07T04:53:36.000Z","REG_TEXT_ZOMATO_RESTAURANTS","69375","e5-large","n309",""
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8605217086790243","2","all","TabPFN-v2p5 🇩🇪","2026-04-07T04:47:39.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3215","e5-large","sweep-6uxdijsm-1775525555-1",""
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8437435032947052","2","ft","TabM Ⓜ️","2026-04-07T04:45:22.000Z","REG_TEXT_ZOMATO_RESTAURANTS","59107","e5-large","sweep-6uxdijsm-1775525559-5",""
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8482008510475594","2","all","TabM Ⓜ️","2026-04-07T04:42:51.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3051","e5-large","sweep-6uxdijsm-1775525455-12",""
"cat_REG_TEXT_ZOMATO_RESTAURANTS_2","0.823897749717815","2","ft","CatBoost 😸","2026-04-07T04:41:47.000Z","REG_TEXT_ZOMATO_RESTAURANTS","58835","e5-large","n306",""
"cat_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8316273180549689","2","all","CatBoost 😸","2026-04-07T04:36:25.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3320","e5-large","n306",""
"light_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8035169258200316","2","ft","LightGBM 💡","2026-04-07T04:34:01.000Z","REG_TEXT_ZOMATO_RESTAURANTS","33814","e5-large","sweep-6uxdijsm-1775525557-3",""
"light_REG_TEXT_ZOMATO_RESTAURANTS_2","0.7856845847192344","2","all","LightGBM 💡","2026-04-07T04:29:08.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3042","e5-large","sweep-6uxdijsm-1775526492-4",""
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_1","0.7703282729358794","1","ft","TabPFN-v2 🤯","2026-04-07T04:16:03.000Z","REG_TEXT_ZOMATO_RESTAURANTS","74356","e5-large","sweep-6uxdijsm-1775525504-5",""
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_1","0.7212081499746797","1","all","TabPFN-v2 🤯","2026-04-07T04:14:23.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3430","e5-large","n309",""
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8723110247711233","1","all","TabPFN-v2p5 🇩🇪","2026-04-07T04:10:22.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3200","e5-large","sweep-6uxdijsm-1775525505-6",""
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8437832551511906","1","ft","TabM Ⓜ️","2026-04-07T04:10:12.000Z","REG_TEXT_ZOMATO_RESTAURANTS","72868","e5-large","sweep-6uxdijsm-1775525508-9",""
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8553065137130582","1","all","TabM Ⓜ️","2026-04-07T04:09:55.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3114","e5-large","sweep-6uxdijsm-1775525510-10",""
"cat_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8360344510775348","1","all","CatBoost 😸","2026-04-07T04:03:02.000Z","REG_TEXT_ZOMATO_RESTAURANTS","3289","e5-large","n309",""
