"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_0",0.9054488295061486,0,"all","CatBoost 😸","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_1",0.8975613115929391,1,"all","CatBoost 😸","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_2",0.9100656696457642,2,"all","CatBoost 😸","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_3",0.8988508656884209,3,"all","CatBoost 😸","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_4",0.9140183203822142,4,"all","CatBoost 😸","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_0",0.8789060466709648,0,"all","TabDPT 6️⃣","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_1",0.8755912563005137,1,"all","TabDPT 6️⃣","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_2",0.8728761033187672,2,"all","TabDPT 6️⃣","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_3",0.8787417444377208,3,"all","TabDPT 6️⃣","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_4",0.8878972121370249,4,"all","TabDPT 6️⃣","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"light_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_0",0.8913060788408146,0,"all","LightGBM 💡","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"light_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_1",0.8846528566848887,1,"all","LightGBM 💡","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"light_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_2",0.8785463086711858,2,"all","LightGBM 💡","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"light_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_3",0.8853441825378481,3,"all","LightGBM 💡","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"light_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_4",0.8774741641553411,4,"all","LightGBM 💡","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"real_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_0",0.8969324396240819,0,"all","RealMLP 🕸","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"real_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_1",0.8944213658480241,1,"all","RealMLP 🕸","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"real_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_2",0.9003024277200689,2,"all","RealMLP 🕸","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"real_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_3",0.8883225184111623,3,"all","RealMLP 🕸","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"real_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_4",0.9001674907314292,4,"all","RealMLP 🕸","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"rf_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_0",0.8922192506331406,0,"all","RandomForest 🌳","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"rf_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_1",0.8644669953264599,1,"all","RandomForest 🌳","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"rf_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_2",0.8882440854705005,2,"all","RandomForest 🌳","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"rf_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_3",0.8823968167856182,3,"all","RandomForest 🌳","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"rf_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_4",0.8928674213228897,4,"all","RandomForest 🌳","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_0",0.9102986677307304,0,"all","TabICLv2 🗼","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_1",0.903052906376672,1,"all","TabICLv2 🗼","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_2",0.9115543416370911,2,"all","TabICLv2 🗼","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_3",0.9030088328875442,3,"all","TabICLv2 🗼","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_4",0.923347081812424,4,"all","TabICLv2 🗼","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_0",0.9079598833269,0,"all","TabM Ⓜ️","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_1",0.8852600118151942,1,"all","TabM Ⓜ️","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_2",0.8999976815075208,2,"all","TabM Ⓜ️","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_3",0.8840734414505935,3,"all","TabM Ⓜ️","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_4",0.9084971199571916,4,"all","TabM Ⓜ️","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_0",0.9092754270010532,0,"all","TabPFN-v2 🤯","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_1",0.9053321859420476,1,"all","TabPFN-v2 🤯","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_2",0.9069744991057648,2,"all","TabPFN-v2 🤯","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_3",0.90112996412608,3,"all","TabPFN-v2 🤯","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_4",0.913965189622662,4,"all","TabPFN-v2 🤯","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_0",0.9226490405720034,0,"all","TabPFN-v2p5 🇩🇪","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_1",0.9167544070998078,1,"all","TabPFN-v2p5 🇩🇪","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_2",0.9260071914532664,2,"all","TabPFN-v2p5 🇩🇪","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_3",0.915141841649419,3,"all","TabPFN-v2p5 🇩🇪","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_4",0.9278531031747148,4,"all","TabPFN-v2p5 🇩🇪","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_0",0.9033018488510564,0,"all","XGBoost 🌲","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_1",0.8961321623657976,1,"all","XGBoost 🌲","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_2",0.9075106326714092,2,"all","XGBoost 🌲","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_3",0.8969532886508592,3,"all","XGBoost 🌲","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_4",0.9113851000942336,4,"all","XGBoost 🌲","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_0",0.9083299611177689,0,"ft","CatBoost 😸","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_1",0.8931587685061313,1,"ft","CatBoost 😸","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_2",0.9014145049132223,2,"ft","CatBoost 😸","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_3",0.897738816805432,3,"ft","CatBoost 😸","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_4",0.9084502834544923,4,"ft","CatBoost 😸","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_0",0.8696212396983678,0,"ft","TabDPT 6️⃣","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_1",0.8769155037786008,1,"ft","TabDPT 6️⃣","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT_2",0.8721014352340343,2,"ft","TabDPT 6️⃣","","BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT","","nlp-srv2.iem.technion.ac.il","finished"
