"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_0",0.6027533737886062,0,"all","CatBoost 😸","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_1",0.5896748482927272,1,"all","CatBoost 😸","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_2",0.610832352142016,2,"all","CatBoost 😸","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_3",0.5834254143646409,3,"all","CatBoost 😸","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_4",0.6332397427769224,4,"all","CatBoost 😸","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_0",0.5951272529662168,0,"all","TabDPT 6️⃣","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_1",0.5825921565075627,1,"all","TabDPT 6️⃣","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_2",0.6101440086948646,2,"all","TabDPT 6️⃣","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_3",0.5792500679286297,3,"all","TabDPT 6️⃣","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_4",0.6350330585997646,4,"all","TabDPT 6️⃣","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"light_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_0",0.5898016484014129,0,"all","LightGBM 💡","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"light_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_1",0.5800018114301241,1,"all","LightGBM 💡","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"light_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_2",0.5832080427497509,2,"all","LightGBM 💡","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"light_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_3",0.617335386287474,3,"all","LightGBM 💡","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"light_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_4",0.60458291821393,4,"all","LightGBM 💡","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"real_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_0",0.5833348428584367,0,"all","RealMLP 🕸","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"real_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_1",0.5928267367086315,1,"all","RealMLP 🕸","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"real_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_2",0.5701476315551127,2,"all","RealMLP 🕸","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"real_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_3",0.5709627751109502,3,"all","RealMLP 🕸","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"real_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_4",0.5879177610723667,4,"all","RealMLP 🕸","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"rf_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_0",0.6120188388732904,0,"all","RandomForest 🌳","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"rf_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_1",0.6059414908069921,1,"all","RandomForest 🌳","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"rf_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_2",0.6133230685626302,2,"all","RandomForest 🌳","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"rf_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_3",0.5615614527669595,3,"all","RandomForest 🌳","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"rf_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_4",0.6410107780092382,4,"all","RandomForest 🌳","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_0",0.6211303323974278,0,"all","TabICLv2 🗼","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_1",0.6039670319717416,1,"all","TabICLv2 🗼","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_2",0.6101440086948646,2,"all","TabICLv2 🗼","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_3",0.5879630468254687,3,"all","TabICLv2 🗼","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_4",0.6535549316185129,4,"all","TabICLv2 🗼","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_0",0.5923014219726475,0,"all","TabM Ⓜ️","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_1",0.5835884430758084,1,"all","TabM Ⓜ️","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_2",0.5821574132777828,2,"all","TabM Ⓜ️","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_3",0.5751834073000635,3,"all","TabM Ⓜ️","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_4",0.6293813966126257,4,"all","TabM Ⓜ️","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_0",0.5955167104428947,0,"all","TabPFN-v2 🤯","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_1",0.5803640974549407,1,"all","TabPFN-v2 🤯","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_2",0.5997011140295263,2,"all","TabPFN-v2 🤯","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_3",0.585762159224708,3,"all","TabPFN-v2 🤯","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_4",0.62095824653564,4,"all","TabPFN-v2 🤯","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_0",0.6085771216375329,0,"all","TabPFN-v2p5 🇩🇪","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_1",0.5905624490535277,1,"all","TabPFN-v2p5 🇩🇪","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_2",0.6155511276152522,2,"all","TabPFN-v2p5 🇩🇪","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_3",0.6002988859704737,3,"all","TabPFN-v2p5 🇩🇪","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_4",0.6287655103704375,4,"all","TabPFN-v2p5 🇩🇪","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_0",0.5978262838511004,0,"all","XGBoost 🌲","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_1",0.6039398605198805,1,"all","XGBoost 🌲","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_2",0.5252785073815778,2,"all","XGBoost 🌲","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_3",0.577357123448963,3,"all","XGBoost 🌲","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_4",0.5735259487365275,4,"all","XGBoost 🌲","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_0",0.6089665791142106,0,"ft","CatBoost 😸","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_1",0.5896386196902454,1,"ft","CatBoost 😸","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA_2",0.5821392989765419,2,"ft","CatBoost 😸","","BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA","","nlp-srv2.iem.technion.ac.il","finished"
