"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_0",0.8357280104849147,0,"all","CatBoost 😸","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_1",0.8351412199069577,1,"all","CatBoost 😸","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_2",0.8365019458129508,2,"all","CatBoost 😸","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_3",0.845680608200752,3,"all","CatBoost 😸","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_4",0.8366848053287933,4,"all","CatBoost 😸","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_0",0.8236727758369332,0,"all","TabDPT 6️⃣","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_1",0.8184390878768328,1,"all","TabDPT 6️⃣","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_2",0.8285573226976952,2,"all","TabDPT 6️⃣","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_3",0.8283116504832565,3,"all","TabDPT 6️⃣","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_4",0.8209548775667816,4,"all","TabDPT 6️⃣","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_0",0.820610807858065,0,"all","LightGBM 💡","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_1",0.8232206932006056,1,"all","LightGBM 💡","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_2",0.8187620206432614,2,"all","LightGBM 💡","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_3",0.8235052043047533,3,"all","LightGBM 💡","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_4",0.8272940868078896,4,"all","LightGBM 💡","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"real_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_0",0.8161962072867299,0,"all","RealMLP 🕸","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"real_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_1",0.8199120453469101,1,"all","RealMLP 🕸","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"real_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_2",0.8189639511691926,2,"all","RealMLP 🕸","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"real_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_3",0.8279520795858932,3,"all","RealMLP 🕸","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"real_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_4",0.8226414908066995,4,"all","RealMLP 🕸","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"rf_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_0",0.8056969701942718,0,"all","RandomForest 🌳","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"rf_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_1",0.7937247492029637,1,"all","RandomForest 🌳","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"rf_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_2",0.8055416377683164,2,"all","RandomForest 🌳","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"rf_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_3",0.8114671168586268,3,"all","RandomForest 🌳","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"rf_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_4",0.8014413360334615,4,"all","RandomForest 🌳","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_0",0.8556282333180695,0,"all","TabICLv2 🗼","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_1",0.8553434501014564,1,"all","TabICLv2 🗼","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_2",0.8551680113633251,2,"all","TabICLv2 🗼","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_3",0.8633236464472513,3,"all","TabICLv2 🗼","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_4",0.8598927774010457,4,"all","TabICLv2 🗼","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_0",0.842574175532912,0,"all","TabM Ⓜ️","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_1",0.844775290724535,1,"all","TabM Ⓜ️","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_2",0.8420764881133775,2,"all","TabM Ⓜ️","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_MUL_TEXT_HOUSES_MELBOURNE_AIRBNB_3",0.8575292462624114,3,"all","TabM Ⓜ️","","MUL_TEXT_HOUSES_MELBOURNE_AIRBNB","","nlp-srv2.iem.technion.ac.il","finished"
