"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON_0",0.8169485499588964,0,"all","CatBoost 😸","","MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON_1",0.8179353149280729,1,"all","CatBoost 😸","","MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON_2",0.789515649337968,2,"all","CatBoost 😸","","MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON_3",0.8431648514895315,3,"all","CatBoost 😸","","MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON_4",0.8163539697557656,4,"all","CatBoost 😸","","MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON_0",0.7577598496369564,0,"all","TabDPT 6️⃣","","MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON_1",0.7148425670714755,1,"all","TabDPT 6️⃣","","MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON_2",0.7372608432820715,2,"all","TabDPT 6️⃣","","MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON_3",0.753658496996304,3,"all","TabDPT 6️⃣","","MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON_4",0.7403768162943238,4,"all","TabDPT 6️⃣","","MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON","","nlp-srv2.iem.technion.ac.il","finished"
