"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_0",0.9031323396886984,0,"all","CatBoost 😸","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_1",0.9133948986637752,1,"all","CatBoost 😸","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_2",0.8957715332858311,2,"all","CatBoost 😸","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_3",0.905829198249542,3,"all","CatBoost 😸","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_4",0.9215031600678746,4,"all","CatBoost 😸","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_0",0.8560417114672928,0,"all","TabDPT 6️⃣","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_1",0.8747150500965629,1,"all","TabDPT 6️⃣","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_2",0.8713714247171401,2,"all","TabDPT 6️⃣","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_3",0.8175718625094289,3,"all","TabDPT 6️⃣","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_4",0.8776973797489761,4,"all","TabDPT 6️⃣","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_0",0.8837695727613728,0,"all","LightGBM 💡","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_1",0.8930409742436314,1,"all","LightGBM 💡","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_2",0.8772903112150281,2,"all","LightGBM 💡","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_3",0.8758948958196502,3,"all","LightGBM 💡","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"light_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_4",0.9069270326139556,4,"all","LightGBM 💡","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"real_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_0",0.8659895655379817,0,"all","RealMLP 🕸","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"real_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_1",0.8858639161488618,1,"all","RealMLP 🕸","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
"real_MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT_2",0.8688720186075191,2,"all","RealMLP 🕸","","MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT","","nlp-srv2.iem.technion.ac.il","finished"
