"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_0",0.9716904563238934,0,"all","CatBoost 😸","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_1",0.9679334331289686,1,"all","CatBoost 😸","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_2",0.971564790423745,2,"all","CatBoost 😸","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_3",0.9691924421997438,3,"all","CatBoost 😸","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_4",0.969068995853148,4,"all","CatBoost 😸","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_0",0.9131673512084147,0,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_1",0.9179341903452327,1,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_2",0.9029474686427497,2,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_3",0.8791480139471047,3,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_4",0.9068458163041532,4,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_0",0.9689356007806744,0,"all","LightGBM 💡","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_1",0.9662286886416972,1,"all","LightGBM 💡","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_2",0.968224236713888,2,"all","LightGBM 💡","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_3",0.9671083643941866,3,"all","LightGBM 💡","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_4",0.9656019490266492,4,"all","LightGBM 💡","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_0",0.9666043605147331,0,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_1",0.962833538611806,1,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_2",0.9646271249142052,2,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_3",0.9628815417941904,3,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_4",0.964174773560709,4,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_0",0.9656239636465724,0,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_1",0.963436604281392,1,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_2",0.9672515601319024,2,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_3",0.9652509358352798,3,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_4",0.9639046853837796,4,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_0",0.962177932188892,0,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_1",0.9629746904007476,1,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_2",0.96488399106131,2,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_3",0.965848273403278,3,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_4",0.9638889135694708,4,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_0",0.9626896474087286,0,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_1",0.9613063419264066,1,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_2",0.96249257617784,2,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_3",0.9632695618753151,3,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_4",0.9619955226427769,4,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_0",0.9585702541497956,0,"all","TabPFN-v2 🤯","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_1",0.9568399942471112,1,"all","TabPFN-v2 🤯","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_2",0.9588947965368362,2,"all","TabPFN-v2 🤯","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_3",0.9604990959354576,3,"all","TabPFN-v2 🤯","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_4",0.9595939659534394,4,"all","TabPFN-v2 🤯","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_0",0.9705492913594264,0,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_1",0.969972717067606,1,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_2",0.9726329263413772,2,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_3",0.970495555140952,3,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_4",0.96820482483485,4,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_0",0.9684208541367916,0,"all","XGBoost 🌲","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_1",0.966229898633616,1,"all","XGBoost 🌲","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_2",0.9701746334436688,2,"all","XGBoost 🌲","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_3",0.9664673233337214,3,"all","XGBoost 🌲","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_4",0.967194686440956,4,"all","XGBoost 🌲","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_0",0.9706561569946476,0,"ft","CatBoost 😸","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_1",0.9690762320079406,1,"ft","CatBoost 😸","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_2",0.9716523660136924,2,"ft","CatBoost 😸","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_3",0.9697769786245657,3,"ft","CatBoost 😸","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_4",0.9692443834021279,4,"ft","CatBoost 😸","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_0",0.9670423148901313,0,"ft","TabDPT 6️⃣","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_1",0.9635942865539845,1,"ft","TabDPT 6️⃣","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_2",0.9682064734527244,2,"ft","TabDPT 6️⃣","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_3",0.9519833841200482,3,"ft","TabDPT 6️⃣","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_4",0.9645046914227323,4,"ft","TabDPT 6️⃣","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_0",0.9689653489922214,0,"ft","LightGBM 💡","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_1",0.9656855127339508,1,"ft","LightGBM 💡","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_2",0.9679489958367327,2,"ft","LightGBM 💡","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES_3",0.9684875093259956,3,"ft","LightGBM 💡","","REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
