"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_0",0.8383680855007257,0,"all","CatBoost 😸","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_1",0.4388593647250841,1,"all","CatBoost 😸","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_2",0.672415345991993,2,"all","CatBoost 😸","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_3",0.9855851397738704,3,"all","CatBoost 😸","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_4",0.9784457006051052,4,"all","CatBoost 😸","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_0",0.7163095048587491,0,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_1",0.7125053436968835,1,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_2",0.8441170695049917,2,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_3",0.8655105797435217,3,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_4",0.9173392314325567,4,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_0",0.8677157524003193,0,"all","LightGBM 💡","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_1",0.6505859456493699,1,"all","LightGBM 💡","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_2",0.7123508738903552,2,"all","LightGBM 💡","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_3",0.9809442019353874,3,"all","LightGBM 💡","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_4",0.4877277832507242,4,"all","LightGBM 💡","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_0",0.8198652908154803,0,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_1",0.22808608986787204,1,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_2",0.6503008048725046,2,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_3",0.9798801772222706,3,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_4",-1.088010513158407,4,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_0",0.9092577232833674,0,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_1",0.9654557833465272,1,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_2",0.9961693709021308,2,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_3",0.9976000962314714,3,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_4",0.9984396158591892,4,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_0",0.8931403804968646,0,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_1",0.9845782231977884,1,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_2",0.978697463933316,2,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_3",0.9867506622150088,3,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_4",0.998092145452139,4,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_0",0.9089916297435744,0,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_1",0.7074094167815836,1,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_2",0.7115875094479395,2,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_3",0.9719805816748844,3,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO_4",0.9222323469448781,4,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO","","nlp-srv2.iem.technion.ac.il","finished"
