"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_0",0.7320896652321229,0,"all","CatBoost 😸","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_1",0.6704054195569296,1,"all","CatBoost 😸","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_2",0.4686578393764485,2,"all","CatBoost 😸","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_3",0.6293913817694228,3,"all","CatBoost 😸","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_4",0.7277032018682608,4,"all","CatBoost 😸","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_0",0.49463674540763347,0,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_1",0.4519264660071608,1,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_2",0.41985774273326015,2,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_3",0.37424479468347205,3,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_4",0.507339474864813,4,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_0",0.7716193041787308,0,"all","LightGBM 💡","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_1",0.7498210109504755,1,"all","LightGBM 💡","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_2",0.4666311029630409,2,"all","LightGBM 💡","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_3",0.6180430364832175,3,"all","LightGBM 💡","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_4",0.7852969610410832,4,"all","LightGBM 💡","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_0",0.4590061373166934,0,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_1",0.7719111965431366,1,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_2",0.36938792762706807,2,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_3",0.6749142921305524,3,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_4",0.5852492651374175,4,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_0",0.7046443916548075,0,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_1",0.7063568939845831,1,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_2",0.507004512478512,2,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_3",0.656970473874247,3,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_4",0.771881305149424,4,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_0",0.7413244557993943,0,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_1",0.7605542773145342,1,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_2",0.5623589613191404,2,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_3",0.4743599967564181,3,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_4",0.8282966657439121,4,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_0",0.7619886059816057,0,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_1",0.7882587500081999,1,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_2",0.42381326381516704,2,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_3",0.6588179647009025,3,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_4",0.7423260778769629,4,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_0",0.2833141063501486,0,"all","TabPFN-v2 🤯","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_1",0.2627325351121139,1,"all","TabPFN-v2 🤯","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_2",0.2318574686167881,2,"all","TabPFN-v2 🤯","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_3",0.2122095546281565,3,"all","TabPFN-v2 🤯","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_4",0.3133168959808836,4,"all","TabPFN-v2 🤯","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_0",0.6523130749316204,0,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_1",0.640394202029434,1,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_2",0.4917965221905555,2,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE_3",0.5450154321897513,3,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE","","nlp-srv2.iem.technion.ac.il","finished"
