"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_0",0.8821340515780461,0,"all","CatBoost 😸","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_1",0.9165558860959808,1,"all","CatBoost 😸","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_2",0.808406028145895,2,"all","CatBoost 😸","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_3",0.9447413609141172,3,"all","CatBoost 😸","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_4",0.9523758466416176,4,"all","CatBoost 😸","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_0",0.8752669490965281,0,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_1",0.8559529990367236,1,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_2",0.7896836787837057,2,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_3",0.9026685030555474,3,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_4",0.9135744894518539,4,"all","TabDPT 6️⃣","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_0",0.8564624409192545,0,"all","LightGBM 💡","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_1",0.8815953086842202,1,"all","LightGBM 💡","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_2",0.785050917688534,2,"all","LightGBM 💡","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_3",0.9004144935700543,3,"all","LightGBM 💡","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_4",0.9248128129321156,4,"all","LightGBM 💡","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_0",0.9319113712435142,0,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_1",0.9290368256904906,1,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_2",0.8502179927065474,2,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_3",0.9210836130531842,3,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_4",0.9322086249237063,4,"all","RealMLP 🕸","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_0",0.7604311460777218,0,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_1",0.8425005419441375,1,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_2",0.7832276382578676,2,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_3",0.8823475167405114,3,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_4",0.8913543175687609,4,"all","RandomForest 🌳","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_0",0.9285863000654044,0,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_1",0.9181714741830552,1,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_2",0.8772983875907997,2,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_3",0.9528868404177429,3,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_4",0.9527271776968907,4,"all","TabICLv2 🗼","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_0",0.9145784713834659,0,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_1",0.894923551065966,1,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_2",0.840043555127453,2,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_3",0.9183651642675287,3,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_4",0.9302722498982775,4,"all","TabM Ⓜ️","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_0",0.916265644443377,0,"all","TabPFN-v2 🤯","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_1",0.9620879416469196,1,"all","TabPFN-v2 🤯","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_2",0.8581884051172622,2,"all","TabPFN-v2 🤯","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_3",0.956932889646298,3,"all","TabPFN-v2 🤯","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_4",0.9561638314068358,4,"all","TabPFN-v2 🤯","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_0",0.9563559979124794,0,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_1",0.9673275834798372,1,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_2",0.8826580550704739,2,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_3",0.9554321792007598,3,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_4",0.9525456291760536,4,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_0",0.7578934469027829,0,"all","XGBoost 🌲","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES_1",0.8586263006202322,1,"all","XGBoost 🌲","","REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
