"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES_0",0.4658582882307865,0,"all","CatBoost 😸","","REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES_1",0.1889450417682808,1,"all","CatBoost 😸","","REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES_2",0.2256007627753617,2,"all","CatBoost 😸","","REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES_3",0.4175777368617841,3,"all","CatBoost 😸","","REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES_4",0.1358548476399708,4,"all","CatBoost 😸","","REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES_0",0.1212240970358962,0,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES_1",0.27635631059324806,1,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES_2",0.14258710651173578,2,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES_3",0.19752457103983945,3,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES_4",0.24334401770531622,4,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES_0",0.4751461643017611,0,"all","LightGBM 💡","","REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES_1",0.1703365702199097,1,"all","LightGBM 💡","","REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
