"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_FOOD_BEER_RATINGS_0",0.9008164031733976,0,"all","CatBoost 😸","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_BEER_RATINGS_1",0.9443020536968294,1,"all","CatBoost 😸","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_BEER_RATINGS_2",0.946235672833012,2,"all","CatBoost 😸","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_BEER_RATINGS_3",0.9021798882989956,3,"all","CatBoost 😸","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_BEER_RATINGS_4",0.92441947157741,4,"all","CatBoost 😸","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_BEER_RATINGS_0",0.8625251038703767,0,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_BEER_RATINGS_1",0.9084167236879697,1,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_BEER_RATINGS_2",0.8877744743617503,2,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_BEER_RATINGS_3",0.8588886584410074,3,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_BEER_RATINGS_4",0.8809174382011463,4,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_BEER_RATINGS_0",0.9012678638643652,0,"all","LightGBM 💡","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_BEER_RATINGS_1",0.939617847341366,1,"all","LightGBM 💡","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_BEER_RATINGS_2",0.9347420270972993,2,"all","LightGBM 💡","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_BEER_RATINGS_3",0.8917430505151993,3,"all","LightGBM 💡","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_BEER_RATINGS_4",0.9287295954205214,4,"all","LightGBM 💡","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_BEER_RATINGS_0",0.906236639758151,0,"all","RealMLP 🕸","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_BEER_RATINGS_1",0.9305940184115757,1,"all","RealMLP 🕸","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_BEER_RATINGS_2",0.9399189129515986,2,"all","RealMLP 🕸","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_BEER_RATINGS_3",0.8886509186003522,3,"all","RealMLP 🕸","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_BEER_RATINGS_4",0.9127533330126623,4,"all","RealMLP 🕸","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_BEER_RATINGS_0",0.8888333173769059,0,"all","RandomForest 🌳","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_BEER_RATINGS_1",0.9441646192155222,1,"all","RandomForest 🌳","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_BEER_RATINGS_2",0.9301860739250274,2,"all","RandomForest 🌳","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_BEER_RATINGS_3",0.8939535365836332,3,"all","RandomForest 🌳","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_BEER_RATINGS_4",0.920566823667318,4,"all","RandomForest 🌳","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabfm_REG_TEXT_FOOD_BEER_RATINGS_0",0.92039551358321,0,"all","TabFM 🇬","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv3.dds.technion.ac.il","finished"
"tabfm_REG_TEXT_FOOD_BEER_RATINGS_1",0.9561205114050694,1,"all","TabFM 🇬","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv3.dds.technion.ac.il","finished"
"tabfm_REG_TEXT_FOOD_BEER_RATINGS_2",0.9532057651065148,2,"all","TabFM 🇬","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv3.dds.technion.ac.il","finished"
"tabfm_REG_TEXT_FOOD_BEER_RATINGS_3",0.9172785652921835,3,"all","TabFM 🇬","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv3.dds.technion.ac.il","finished"
"tabfm_REG_TEXT_FOOD_BEER_RATINGS_4",0.935203122780295,4,"all","TabFM 🇬","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv3.dds.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_BEER_RATINGS_0",0.9160236859296048,0,"all","TabICLv2 🗼","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_BEER_RATINGS_1",0.952715229968956,1,"all","TabICLv2 🗼","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_BEER_RATINGS_2",0.9491633864580374,2,"all","TabICLv2 🗼","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_BEER_RATINGS_3",0.911278765297668,3,"all","TabICLv2 🗼","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_BEER_RATINGS_4",0.9350427159320588,4,"all","TabICLv2 🗼","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_BEER_RATINGS_0",0.9070523021822401,0,"all","TabM Ⓜ️","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_BEER_RATINGS_1",0.936126032769467,1,"all","TabM Ⓜ️","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_BEER_RATINGS_2",0.9384883044217754,2,"all","TabM Ⓜ️","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_BEER_RATINGS_3",0.8991757090164051,3,"all","TabM Ⓜ️","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_BEER_RATINGS_4",0.9245983471441009,4,"all","TabM Ⓜ️","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_BEER_RATINGS_0",0.9159221751773806,0,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_BEER_RATINGS_1",0.9550631332521836,1,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_BEER_RATINGS_2",0.9524240892542446,2,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_BEER_RATINGS_3",0.9127650470431888,3,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_BEER_RATINGS_4",0.93361576252587,4,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_BEER_RATINGS_0",0.92273013928269,0,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_BEER_RATINGS_1",0.9531685476383244,1,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_BEER_RATINGS_2",0.9502784650782304,2,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_BEER_RATINGS_3",0.9177082617476712,3,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_BEER_RATINGS_4",0.9275908124648576,4,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_REG_TEXT_FOOD_BEER_RATINGS_0",0.9090461584726134,0,"all","TabPFN-v3 🆕","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_REG_TEXT_FOOD_BEER_RATINGS_1",0.9523393591721858,1,"all","TabPFN-v3 🆕","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_REG_TEXT_FOOD_BEER_RATINGS_2",0.9510758568027228,2,"all","TabPFN-v3 🆕","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_REG_TEXT_FOOD_BEER_RATINGS_3",0.91037549052623,3,"all","TabPFN-v3 🆕","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_REG_TEXT_FOOD_BEER_RATINGS_4",0.934359883468028,4,"all","TabPFN-v3 🆕","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_FOOD_BEER_RATINGS_0",0.891342435185697,0,"all","XGBoost 🌲","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_FOOD_BEER_RATINGS_1",0.9335821286472546,1,"all","XGBoost 🌲","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_FOOD_BEER_RATINGS_2",0.9324891272203696,2,"all","XGBoost 🌲","","REG_TEXT_FOOD_BEER_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
