"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS_0",0.2291478407962327,0,"all","CatBoost 😸","","REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS_1",0.2695459575831677,1,"all","CatBoost 😸","","REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS_2",0.1674385849177346,2,"all","CatBoost 😸","","REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS_3",0.2040137958522503,3,"all","CatBoost 😸","","REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS_4",0.2900792328339211,4,"all","CatBoost 😸","","REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS_0",0.27624502198920553,0,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS_1",0.3089766020822329,1,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS_2",0.25050545425708515,2,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS_3",0.20615414409643218,3,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS_4",0.2688215013010491,4,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS_0",0.2594362406702551,0,"all","LightGBM 💡","","REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS_1",0.2288421864186518,1,"all","LightGBM 💡","","REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS_2",0.0993628135290164,2,"all","LightGBM 💡","","REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS_3",0.1584730644183944,3,"all","LightGBM 💡","","REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS_4",0.2420141600377603,4,"all","LightGBM 💡","","REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS_0",0.26015447068127173,0,"all","RealMLP 🕸","","REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS","","nlp-srv2.iem.technion.ac.il","finished"
