"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_FOOD_COFFEE_REVIEW_0",0.9862276374664726,0,"all","CatBoost 😸","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_COFFEE_REVIEW_1",0.9854804230949348,1,"all","CatBoost 😸","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_COFFEE_REVIEW_2",0.9927806823860802,2,"all","CatBoost 😸","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_COFFEE_REVIEW_3",0.998239521829844,3,"all","CatBoost 😸","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_COFFEE_REVIEW_4",0.9827644323490052,4,"all","CatBoost 😸","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_COFFEE_REVIEW_0",0.8875573873519897,0,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_COFFEE_REVIEW_1",0.8912768363952637,1,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_COFFEE_REVIEW_2",0.9051365852355957,2,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_COFFEE_REVIEW_3",0.8862153887748718,3,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_COFFEE_REVIEW_4",0.8925472497940063,4,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_COFFEE_REVIEW_0",0.9749909802344636,0,"all","LightGBM 💡","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_COFFEE_REVIEW_1",0.9762999416441124,1,"all","LightGBM 💡","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_COFFEE_REVIEW_2",0.9748421527099574,2,"all","LightGBM 💡","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_COFFEE_REVIEW_3",0.992423627631154,3,"all","LightGBM 💡","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_COFFEE_REVIEW_4",0.9397002357527984,4,"all","LightGBM 💡","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_COFFEE_REVIEW_0",0.9888224005699158,0,"all","RealMLP 🕸","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_COFFEE_REVIEW_1",0.9925088286399841,1,"all","RealMLP 🕸","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_COFFEE_REVIEW_2",0.9947793483734131,2,"all","RealMLP 🕸","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_COFFEE_REVIEW_3",0.9982153177261353,3,"all","RealMLP 🕸","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_COFFEE_REVIEW_4",0.9926082491874695,4,"all","RealMLP 🕸","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_COFFEE_REVIEW_0",0.968021102429697,0,"all","RandomForest 🌳","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_COFFEE_REVIEW_1",0.9591708688932196,1,"all","RandomForest 🌳","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_COFFEE_REVIEW_2",0.9855645451595826,2,"all","RandomForest 🌳","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_COFFEE_REVIEW_3",0.9814110739161396,3,"all","RandomForest 🌳","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_COFFEE_REVIEW_4",0.9569318968020832,4,"all","RandomForest 🌳","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_COFFEE_REVIEW_0",0.9896699786186218,0,"all","TabICLv2 🗼","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_COFFEE_REVIEW_1",0.9949743747711182,1,"all","TabICLv2 🗼","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_COFFEE_REVIEW_2",0.9938356280326844,2,"all","TabICLv2 🗼","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_COFFEE_REVIEW_3",0.999349057674408,3,"all","TabICLv2 🗼","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_COFFEE_REVIEW_4",0.9958860874176024,4,"all","TabICLv2 🗼","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_COFFEE_REVIEW_0",0.9867285490036011,0,"all","TabM Ⓜ️","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_COFFEE_REVIEW_1",0.9911383390426636,1,"all","TabM Ⓜ️","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_COFFEE_REVIEW_2",0.9936642646789551,2,"all","TabM Ⓜ️","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_COFFEE_REVIEW_3",0.9975879788398743,3,"all","TabM Ⓜ️","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_COFFEE_REVIEW_4",0.9927968382835388,4,"all","TabM Ⓜ️","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_COFFEE_REVIEW_0",0.990045726299286,0,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_COFFEE_REVIEW_1",0.9806401133537292,1,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_COFFEE_REVIEW_2",0.9750568270683287,2,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_COFFEE_REVIEW_3",0.9782705903053284,3,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_COFFEE_REVIEW_4",0.953330934047699,4,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_COFFEE_REVIEW_0",0.990790843963623,0,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_COFFEE_REVIEW_1",0.9963874816894532,1,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_COFFEE_REVIEW_2",0.9979987740516664,2,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_COFFEE_REVIEW","","nlp-srv2.iem.technion.ac.il","finished"
