"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_FOOD_RAMEN_RATINGS_2022_0",0.0875548693622882,0,"all","CatBoost 😸","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_RAMEN_RATINGS_2022_1",0.2262357727470167,1,"all","CatBoost 😸","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_RAMEN_RATINGS_2022_2",0.1134510608563015,2,"all","CatBoost 😸","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_RAMEN_RATINGS_2022_3",0.1690268261981273,3,"all","CatBoost 😸","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_RAMEN_RATINGS_2022_4",0.222088473810825,4,"all","CatBoost 😸","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_RAMEN_RATINGS_2022_0",0.19903274669806004,0,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_RAMEN_RATINGS_2022_1",0.27340938366191037,1,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_RAMEN_RATINGS_2022_2",0.1658873939887976,2,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_RAMEN_RATINGS_2022_3",0.20973837036267484,3,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_RAMEN_RATINGS_2022_4",0.2763350229366601,4,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_RAMEN_RATINGS_2022_0",0.103383283162017,0,"all","LightGBM 💡","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_RAMEN_RATINGS_2022_1",0.1998933342925986,1,"all","LightGBM 💡","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_RAMEN_RATINGS_2022_2",0.0962598605989364,2,"all","LightGBM 💡","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_RAMEN_RATINGS_2022_3",0.2031029810294489,3,"all","LightGBM 💡","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_RAMEN_RATINGS_2022_4",0.2204507268586836,4,"all","LightGBM 💡","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_RAMEN_RATINGS_2022_0",0.0211985691319021,0,"all","RealMLP 🕸","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_RAMEN_RATINGS_2022_1",0.12978056735928778,1,"all","RealMLP 🕸","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_RAMEN_RATINGS_2022_2",0.06379043962723441,2,"all","RealMLP 🕸","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_RAMEN_RATINGS_2022_3",0.17939374681979658,3,"all","RealMLP 🕸","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_RAMEN_RATINGS_2022_4",0.07234023639638831,4,"all","RealMLP 🕸","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_RAMEN_RATINGS_2022_0",0.1484249654528741,0,"all","RandomForest 🌳","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_RAMEN_RATINGS_2022_1",0.2159841262176931,1,"all","RandomForest 🌳","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_RAMEN_RATINGS_2022_2",0.1316088657401573,2,"all","RandomForest 🌳","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_RAMEN_RATINGS_2022_3",0.1980311327099713,3,"all","RandomForest 🌳","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_RAMEN_RATINGS_2022_4",0.2610756586511601,4,"all","RandomForest 🌳","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_RAMEN_RATINGS_2022_0",0.1519996166426015,0,"all","TabICLv2 🗼","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_RAMEN_RATINGS_2022_1",0.2721952276918334,1,"all","TabICLv2 🗼","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_RAMEN_RATINGS_2022_2",0.1435599993496763,2,"all","TabICLv2 🗼","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_RAMEN_RATINGS_2022_3",0.2483370963793065,3,"all","TabICLv2 🗼","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_RAMEN_RATINGS_2022_4",0.2933377607186892,4,"all","TabICLv2 🗼","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_RAMEN_RATINGS_2022_0",0.11815875773798712,0,"all","TabM Ⓜ️","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_RAMEN_RATINGS_2022_1",0.22972056860028967,1,"all","TabM Ⓜ️","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_RAMEN_RATINGS_2022_2",0.10701792427026835,2,"all","TabM Ⓜ️","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_RAMEN_RATINGS_2022_3",0.21655910456550453,3,"all","TabM Ⓜ️","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_RAMEN_RATINGS_2022_4",0.25611922974299517,4,"all","TabM Ⓜ️","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_RAMEN_RATINGS_2022_0",0.1116880394178322,0,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_RAMEN_RATINGS_2022_1",0.1490358924401011,1,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_RAMEN_RATINGS_2022_2",0.10223710323273,2,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_RAMEN_RATINGS_2022_3",0.1373511847862936,3,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_RAMEN_RATINGS_2022_4",0.2231063148324281,4,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_RAMEN_RATINGS_2022_0",0.1728799534860997,0,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_RAMEN_RATINGS_2022_1",0.2601669898672794,1,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_RAMEN_RATINGS_2022_2",0.1704711124889936,2,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_RAMEN_RATINGS_2022_3",0.1958596716416223,3,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_RAMEN_RATINGS_2022_4",0.2988620170288246,4,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_FOOD_RAMEN_RATINGS_2022_0",-0.0443741421311623,0,"all","XGBoost 🌲","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_FOOD_RAMEN_RATINGS_2022_1",0.1932550609458347,1,"all","XGBoost 🌲","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_FOOD_RAMEN_RATINGS_2022_2",0.0449264997900565,2,"all","XGBoost 🌲","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_FOOD_RAMEN_RATINGS_2022_3",0.070745139371111,3,"all","XGBoost 🌲","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_FOOD_RAMEN_RATINGS_2022_4",0.1903446982479028,4,"all","XGBoost 🌲","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_RAMEN_RATINGS_2022_0",0.12121261089154634,0,"ft","CatBoost 😸","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_RAMEN_RATINGS_2022_1",0.25971780108085185,1,"ft","CatBoost 😸","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_RAMEN_RATINGS_2022_2",0.16170945419240834,2,"ft","CatBoost 😸","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_RAMEN_RATINGS_2022_3",0.14030231074387822,3,"ft","CatBoost 😸","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_RAMEN_RATINGS_2022_4",0.20542698785505564,4,"ft","CatBoost 😸","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_RAMEN_RATINGS_2022_0",0.17266219077761535,0,"ft","TabDPT 6️⃣","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_RAMEN_RATINGS_2022_1",0.26840530295004694,1,"ft","TabDPT 6️⃣","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_RAMEN_RATINGS_2022_2",0.15115658543335786,2,"ft","TabDPT 6️⃣","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_RAMEN_RATINGS_2022_3",0.19198272174999886,3,"ft","TabDPT 6️⃣","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_RAMEN_RATINGS_2022_4",0.26851265499119825,4,"ft","TabDPT 6️⃣","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_RAMEN_RATINGS_2022_0",0.12531275191850322,0,"ft","LightGBM 💡","","REG_TEXT_FOOD_RAMEN_RATINGS_2022","","nlp-srv2.iem.technion.ac.il","finished"
