"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_0",0.522428768055263,0,"all","CatBoost 😸","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_1",0.667467991490932,1,"all","CatBoost 😸","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_2",0.7388909561289287,2,"all","CatBoost 😸","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_3",0.4309972770766649,3,"all","CatBoost 😸","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_4",0.4028530226957825,4,"all","CatBoost 😸","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_0",0.20005508117688509,0,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_1",0.559492552890708,1,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_2",0.36322357904517233,2,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_3",0.3493585229965319,3,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_4",0.33786712072497005,4,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_0",0.4404312089306603,0,"all","LightGBM 💡","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_1",0.5889482295218648,1,"all","LightGBM 💡","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_2",0.8253891717841293,2,"all","LightGBM 💡","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_3",0.4337808961933929,3,"all","LightGBM 💡","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_4",0.1807072266096164,4,"all","LightGBM 💡","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_0",0.30869560304240196,0,"all","RealMLP 🕸","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_1",0.6718413630800022,1,"all","RealMLP 🕸","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_2",0.739071569141134,2,"all","RealMLP 🕸","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_3",0.6617614090865279,3,"all","RealMLP 🕸","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_4",0.2554731214429491,4,"all","RealMLP 🕸","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_0",0.5359218419181817,0,"all","RandomForest 🌳","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_1",0.5579896258581483,1,"all","RandomForest 🌳","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_2",0.657634302368095,2,"all","RandomForest 🌳","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_3",0.3186201258938834,3,"all","RandomForest 🌳","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_4",0.2452386715466961,4,"all","RandomForest 🌳","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_0",0.4756310208460519,0,"all","TabICLv2 🗼","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_1",0.5924326115290888,1,"all","TabICLv2 🗼","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_2",0.8651568019163139,2,"all","TabICLv2 🗼","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_3",0.8353513032319276,3,"all","TabICLv2 🗼","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_4",0.6719788902390845,4,"all","TabICLv2 🗼","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_0",0.7502319365000726,0,"all","TabM Ⓜ️","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_1",0.5967143228635025,1,"all","TabM Ⓜ️","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_2",0.6425650461473542,2,"all","TabM Ⓜ️","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_3",0.19844253593877226,3,"all","TabM Ⓜ️","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_4",0.1784259720492254,4,"all","TabM Ⓜ️","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_0",0.3975922552705005,0,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_1",0.7416282849746505,1,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_2",0.4296646833167518,2,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_3",0.4803075867064529,3,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_4",0.410183061790405,4,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_0",0.5607166053359491,0,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_1",0.7064898864408895,1,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_2",0.8687307607799136,2,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_3",0.6719249172017194,3,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_4",0.5213478261016715,4,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_0",0.4144752687595135,0,"all","XGBoost 🌲","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
"xgb_REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES_1",0.4897433262786789,1,"all","XGBoost 🌲","","REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES","","nlp-srv2.iem.technion.ac.il","finished"
