"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_0",0.8516521406354509,0,"all","CatBoost 😸","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_1",0.8146714969632737,1,"all","CatBoost 😸","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_2",0.8314655171298762,2,"all","CatBoost 😸","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_3",0.8188394230484386,3,"all","CatBoost 😸","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_4",0.8537741599461466,4,"all","CatBoost 😸","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_0",0.8537339452394487,0,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_1",0.8099825567704266,1,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_2",0.8272385508442228,2,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_3",0.8110404706164005,3,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_4",0.8488830669426174,4,"all","TabDPT 6️⃣","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_0",0.8381991470524912,0,"all","LightGBM 💡","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_1",0.8035139578605055,1,"all","LightGBM 💡","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_2",0.8275427440260703,2,"all","LightGBM 💡","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_3",0.8098420471476553,3,"all","LightGBM 💡","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_4",0.8380594107176631,4,"all","LightGBM 💡","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_0",0.8140873320791612,0,"all","RealMLP 🕸","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_1",0.7964738336253379,1,"all","RealMLP 🕸","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_2",0.8089393759812021,2,"all","RealMLP 🕸","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_3",0.7858674479149972,3,"all","RealMLP 🕸","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_4",0.8194844294509255,4,"all","RealMLP 🕸","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_0",0.8476167182514907,0,"all","RandomForest 🌳","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_1",0.8018271873430833,1,"all","RandomForest 🌳","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_2",0.8241234045625097,2,"all","RandomForest 🌳","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_3",0.8139991113640562,3,"all","RandomForest 🌳","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_4",0.8521087618883839,4,"all","RandomForest 🌳","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabfm_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_0",0.868401899301381,0,"all","TabFM 🇬","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv3.dds.technion.ac.il","finished"
"tabfm_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_1",0.8181713104399323,1,"all","TabFM 🇬","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv3.dds.technion.ac.il","finished"
"tabfm_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_2",0.8321597434797229,2,"all","TabFM 🇬","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv3.dds.technion.ac.il","finished"
"tabfm_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_3",0.8291628138674113,3,"all","TabFM 🇬","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv3.dds.technion.ac.il","finished"
"tabfm_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_4",0.8568308721752816,4,"all","TabFM 🇬","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv3.dds.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_0",0.8563029620470077,0,"all","TabICLv2 🗼","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_1",0.8148248321170726,1,"all","TabICLv2 🗼","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_2",0.8277305403741191,2,"all","TabICLv2 🗼","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_3",0.8276510876919927,3,"all","TabICLv2 🗼","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_4",0.8494340108658844,4,"all","TabICLv2 🗼","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_0",0.8449076110446958,0,"all","TabM Ⓜ️","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_1",0.7925053871164998,1,"all","TabM Ⓜ️","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_2",0.828474560223437,2,"all","TabM Ⓜ️","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_3",0.8017014600964468,3,"all","TabM Ⓜ️","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_4",0.8494178240581475,4,"all","TabM Ⓜ️","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_0",0.8289096861456065,0,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_1",0.7957699408624932,1,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_2",0.8064953891335535,2,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_3",0.7991432329497126,3,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_4",0.8584670465445545,4,"all","TabPFN-v2 🤯","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_0",0.8539203426446574,0,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_1",0.8077299260308076,1,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_2",0.82847586832333,2,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_3",0.8140759027936959,3,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2p5_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_4",0.8638281215237653,4,"all","TabPFN-v2p5 🇩🇪","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_0",0.860180047228605,0,"all","TabPFN-v3 🆕","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_REG_TEXT_FOOD_WINE_VIVINO_SPAIN_1",0.8075556206257817,1,"all","TabPFN-v3 🆕","","REG_TEXT_FOOD_WINE_VIVINO_SPAIN","","nlp-srv2.iem.technion.ac.il","finished"
