"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_HOUSES_AIRBNB_SEATTLE_0",0.7233999701360021,0,"all","CatBoost 😸","","REG_TEXT_HOUSES_AIRBNB_SEATTLE","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_HOUSES_AIRBNB_SEATTLE_1",0.677993572473551,1,"all","CatBoost 😸","","REG_TEXT_HOUSES_AIRBNB_SEATTLE","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_HOUSES_AIRBNB_SEATTLE_2",0.6165297439200679,2,"all","CatBoost 😸","","REG_TEXT_HOUSES_AIRBNB_SEATTLE","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_HOUSES_AIRBNB_SEATTLE_3",0.7016218024096705,3,"all","CatBoost 😸","","REG_TEXT_HOUSES_AIRBNB_SEATTLE","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_HOUSES_AIRBNB_SEATTLE_4",0.5578999960747253,4,"all","CatBoost 😸","","REG_TEXT_HOUSES_AIRBNB_SEATTLE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_HOUSES_AIRBNB_SEATTLE_0",0.700271959521682,0,"all","TabDPT 6️⃣","","REG_TEXT_HOUSES_AIRBNB_SEATTLE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_HOUSES_AIRBNB_SEATTLE_1",0.6549318225243508,1,"all","TabDPT 6️⃣","","REG_TEXT_HOUSES_AIRBNB_SEATTLE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_HOUSES_AIRBNB_SEATTLE_2",0.6478989365020396,2,"all","TabDPT 6️⃣","","REG_TEXT_HOUSES_AIRBNB_SEATTLE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_HOUSES_AIRBNB_SEATTLE_3",0.6580602131940241,3,"all","TabDPT 6️⃣","","REG_TEXT_HOUSES_AIRBNB_SEATTLE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_HOUSES_AIRBNB_SEATTLE_4",0.5267717558752836,4,"all","TabDPT 6️⃣","","REG_TEXT_HOUSES_AIRBNB_SEATTLE","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_HOUSES_AIRBNB_SEATTLE_0",0.6960124411918476,0,"all","LightGBM 💡","","REG_TEXT_HOUSES_AIRBNB_SEATTLE","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_HOUSES_AIRBNB_SEATTLE_1",0.66541531907151,1,"all","LightGBM 💡","","REG_TEXT_HOUSES_AIRBNB_SEATTLE","","nlp-srv2.iem.technion.ac.il","finished"
