"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020_0",0.9346478350812516,0,"all","CatBoost 😸","","REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020_1",0.9354034858910478,1,"all","CatBoost 😸","","REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020_2",0.9384955025291848,2,"all","CatBoost 😸","","REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020_3",0.9189417848731312,3,"all","CatBoost 😸","","REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020_4",0.9500256010123423,4,"all","CatBoost 😸","","REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020_0",0.8236963034661406,0,"all","TabDPT 6️⃣","","REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020_1",0.8060262535771114,1,"all","TabDPT 6️⃣","","REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020_2",0.8105054434776174,2,"all","TabDPT 6️⃣","","REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020_3",0.7989776614528422,3,"all","TabDPT 6️⃣","","REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020_4",0.8363548785078139,4,"all","TabDPT 6️⃣","","REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020_0",0.935212311704444,0,"all","LightGBM 💡","","REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020_1",0.9352595808605112,1,"all","LightGBM 💡","","REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020_2",0.9351874283342916,2,"all","LightGBM 💡","","REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020_3",0.9178885867326269,3,"all","LightGBM 💡","","REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020_4",0.9510465966714744,4,"all","LightGBM 💡","","REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020_0",0.931371741746461,0,"all","RealMLP 🕸","","REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020","","nlp-srv2.iem.technion.ac.il","finished"
