"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_0",0.5808317212152071,0,"all","CatBoost 😸","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_1",0.5642442317704497,1,"all","CatBoost 😸","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_2",0.5664947437069072,2,"all","CatBoost 😸","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_3",0.5031294974653419,3,"all","CatBoost 😸","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_4",0.5376388910938401,4,"all","CatBoost 😸","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_0",0.576450675379753,0,"all","TabDPT 6️⃣","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_1",0.5500005687304577,1,"all","TabDPT 6️⃣","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_2",0.5619745130735505,2,"all","TabDPT 6️⃣","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_3",0.5294629614327419,3,"all","TabDPT 6️⃣","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_4",0.5387980422897543,4,"all","TabDPT 6️⃣","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_0",0.5476258541918806,0,"all","LightGBM 💡","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_1",0.5487309604058503,1,"all","LightGBM 💡","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_2",0.5399385103364223,2,"all","LightGBM 💡","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_3",0.5007600784301027,3,"all","LightGBM 💡","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_4",0.5053536242686434,4,"all","LightGBM 💡","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_0",0.4985823198037628,0,"all","RealMLP 🕸","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_1",0.527004608999619,1,"all","RealMLP 🕸","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_2",0.5408530428242249,2,"all","RealMLP 🕸","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_3",0.44720512652555455,3,"all","RealMLP 🕸","","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","","nlp-srv2.iem.technion.ac.il","finished"
