"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE_0",4.6190475085250426e-05,0,"all","CatBoost 😸","","REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE_1",-0.0004426301937789,1,"all","CatBoost 😸","","REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE_2",-0.0005298564176321,2,"all","CatBoost 😸","","REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE_3",-0.0137228441037791,3,"all","CatBoost 😸","","REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE_4",-0.4886392144845985,4,"all","CatBoost 😸","","REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE_0",-0.014565110206604004,0,"all","TabDPT 6️⃣","","REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE_1",0.0065427422523498535,1,"all","TabDPT 6️⃣","","REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE_2",-0.00042569637298583984,2,"all","TabDPT 6️⃣","","REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE_3",-0.0037317276000976562,3,"all","TabDPT 6️⃣","","REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE_4",-0.0027403831481933594,4,"all","TabDPT 6️⃣","","REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE","","nlp-srv2.iem.technion.ac.il","finished"
