"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_SOCIAL_BOOKS_GOODREADS_0",0.8478397447561014,0,"all","CatBoost 😸","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_BOOKS_GOODREADS_1",0.8608113480202428,1,"all","CatBoost 😸","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_BOOKS_GOODREADS_2",0.8130690352285059,2,"all","CatBoost 😸","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_BOOKS_GOODREADS_3",0.8364620675547182,3,"all","CatBoost 😸","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_BOOKS_GOODREADS_4",0.8931069285284552,4,"all","CatBoost 😸","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_BOOKS_GOODREADS_0",0.3820542362330215,0,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_BOOKS_GOODREADS_1",0.34360103935437636,1,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_BOOKS_GOODREADS_2",0.3958810810931209,2,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_BOOKS_GOODREADS_3",0.25453682347497364,3,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_BOOKS_GOODREADS_4",0.3671221340960953,4,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_BOOKS_GOODREADS_0",0.8494068551226555,0,"all","LightGBM 💡","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_BOOKS_GOODREADS_1",0.8569014168230518,1,"all","LightGBM 💡","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_BOOKS_GOODREADS_2",0.8042838335703822,2,"all","LightGBM 💡","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_BOOKS_GOODREADS_3",0.8324272646602522,3,"all","LightGBM 💡","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_BOOKS_GOODREADS_4",0.8962916430281005,4,"all","LightGBM 💡","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_BOOKS_GOODREADS_0",0.8288937742781153,0,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_BOOKS_GOODREADS_1",0.8228545226855175,1,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_BOOKS_GOODREADS_2",0.7981699534277222,2,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_BOOKS_GOODREADS_3",0.8399064388221026,3,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_BOOKS_GOODREADS_4",0.8686350232818388,4,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_BOOKS_GOODREADS_0",0.8508591540774413,0,"all","RandomForest 🌳","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_BOOKS_GOODREADS_1",0.8630401889233087,1,"all","RandomForest 🌳","","REG_TEXT_SOCIAL_BOOKS_GOODREADS","","nlp-srv2.iem.technion.ac.il","finished"
