"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_0",0.7926149925863428,0,"all","CatBoost 😸","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_1",0.8315582120688867,1,"all","CatBoost 😸","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_2",0.8061743813447088,2,"all","CatBoost 😸","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_3",0.837902294146263,3,"all","CatBoost 😸","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_4",0.7853112188814032,4,"all","CatBoost 😸","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_0",0.4866409026026751,0,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_1",0.4809194700997179,1,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_2",0.44570663521223053,2,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_3",0.5089393165825671,3,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_4",0.4354345377047242,4,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_0",0.7910640341458218,0,"all","LightGBM 💡","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_1",0.8409686092524322,1,"all","LightGBM 💡","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_2",0.8175651604913026,2,"all","LightGBM 💡","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_3",0.8177714288249358,3,"all","LightGBM 💡","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_4",0.7486188739688215,4,"all","LightGBM 💡","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_0",0.6759500846044673,0,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_1",0.7961631217182171,1,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_2",0.736235800430411,2,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_3",0.7531303300031211,3,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_4",0.6210993511034113,4,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_0",0.7822366834579817,0,"all","RandomForest 🌳","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_1",0.8298490057920671,1,"all","RandomForest 🌳","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_2",0.7925012840251145,2,"all","RandomForest 🌳","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_3",0.821458454227085,3,"all","RandomForest 🌳","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_4",0.7652350338733843,4,"all","RandomForest 🌳","","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","","nlp-srv2.iem.technion.ac.il","finished"
