"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_0",0.8853922287394462,0,"all","CatBoost 😸","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_1",0.8848763940357781,1,"all","CatBoost 😸","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_2",0.5075180626199336,2,"all","CatBoost 😸","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_3",0.8526683939462105,3,"all","CatBoost 😸","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_4",0.946879792261629,4,"all","CatBoost 😸","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_0",0.04228223155656308,0,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_1",0.02126734895341109,1,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_2",0.030417381099808738,2,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_3",0.034514133171883454,3,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_4",0.028565526043766276,4,"all","TabDPT 6️⃣","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_0",0.793071056194822,0,"all","LightGBM 💡","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_1",0.8598889100506563,1,"all","LightGBM 💡","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_2",0.8822667987734911,2,"all","LightGBM 💡","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_3",0.7924709359656286,3,"all","LightGBM 💡","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_4",0.9105679747478016,4,"all","LightGBM 💡","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_0",0.922916411949669,0,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_1",0.8393324139559089,1,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_2",0.8796261992455002,2,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_3",0.833061291048899,3,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_4",0.9170516276360193,4,"all","RealMLP 🕸","","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","","nlp-srv2.iem.technion.ac.il","finished"
