"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_0",0.9939991021850652,0,"all","CatBoost 😸","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_1",0.9485051714830364,1,"all","CatBoost 😸","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_2",0.860764695585445,2,"all","CatBoost 😸","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_3",0.9734052770576774,3,"all","CatBoost 😸","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_4",0.9801965483280984,4,"all","CatBoost 😸","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_0",0.8746856685151743,0,"all","TabDPT 6️⃣","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_1",0.7357965100100529,1,"all","TabDPT 6️⃣","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_2",0.6082018186112131,2,"all","TabDPT 6️⃣","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_3",0.8006354725654043,3,"all","TabDPT 6️⃣","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_4",0.9014886960646803,4,"all","TabDPT 6️⃣","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_0",0.9897298371253992,0,"all","LightGBM 💡","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_1",0.9329537998719866,1,"all","LightGBM 💡","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_2",0.8427657797763564,2,"all","LightGBM 💡","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_3",0.9732142890840306,3,"all","LightGBM 💡","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_4",0.9750415868813758,4,"all","LightGBM 💡","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_0",0.9902058334772234,0,"all","RealMLP 🕸","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_1",0.9924496563111,1,"all","RealMLP 🕸","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_2",0.9434840794379008,2,"all","RealMLP 🕸","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_3",0.988901746808892,3,"all","RealMLP 🕸","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_4",0.930832435982097,4,"all","RealMLP 🕸","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_0",0.9915533061827366,0,"all","RandomForest 🌳","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_1",0.978399612189766,1,"all","RandomForest 🌳","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_2",0.8939383182700494,2,"all","RandomForest 🌳","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_3",0.9857434334997472,3,"all","RandomForest 🌳","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_4",0.980858658925734,4,"all","RandomForest 🌳","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"tabfm_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_0",0.999670384302916,0,"all","TabFM 🇬","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv3.dds.technion.ac.il","finished"
"tabfm_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_1",0.9995002387242133,1,"all","TabFM 🇬","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv3.dds.technion.ac.il","finished"
"tabfm_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_2",0.9985877952249639,2,"all","TabFM 🇬","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv3.dds.technion.ac.il","finished"
"tabfm_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_3",0.9996583767538821,3,"all","TabFM 🇬","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv3.dds.technion.ac.il","finished"
"tabfm_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_4",0.9996671131046192,4,"all","TabFM 🇬","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv3.dds.technion.ac.il","finished"
"tabicl_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_0",0.9993823887562124,0,"all","TabICLv2 🗼","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_1",0.9972639147294502,1,"all","TabICLv2 🗼","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_2",0.9596448314897722,2,"all","TabICLv2 🗼","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_3",0.9982982088293004,3,"all","TabICLv2 🗼","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"tabicl_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_4",0.9994045978345536,4,"all","TabICLv2 🗼","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_0",0.9790637593145552,0,"all","TabM Ⓜ️","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_1",0.9256464695111843,1,"all","TabM Ⓜ️","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_2",0.9664592335060916,2,"all","TabM Ⓜ️","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_3",0.9299570880870499,3,"all","TabM Ⓜ️","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"tabm_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_4",0.9487382507919876,4,"all","TabM Ⓜ️","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv2_REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT_0",0.9582139014364752,0,"all","TabPFN-v2 🤯","","REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT","","nlp-srv2.iem.technion.ac.il","finished"
