"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY_0",-1.06728825323288,0,"all","CatBoost 😸","","REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY_1",0.93646561079723,1,"all","CatBoost 😸","","REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY_2",0.8803454217791451,2,"all","CatBoost 😸","","REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY_3",-1.967259404032617,3,"all","CatBoost 😸","","REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY_4",0.922929720299884,4,"all","CatBoost 😸","","REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY_0",-85.05154418945312,0,"all","TabDPT 6️⃣","","REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY_1",0.7810547351837158,1,"all","TabDPT 6️⃣","","REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY_2",-58.200862884521484,2,"all","TabDPT 6️⃣","","REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY_3",-162.34075927734375,3,"all","TabDPT 6️⃣","","REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY_4",0.7736490368843079,4,"all","TabDPT 6️⃣","","REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY","","nlp-srv2.iem.technion.ac.il","finished"
