"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_0",0.8652601374554073,0,"all","CatBoost 😸","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_1",0.9736500688500124,1,"all","CatBoost 😸","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_2",0.9502724628047384,2,"all","CatBoost 😸","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_3",0.9486080736592056,3,"all","CatBoost 😸","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_4",0.9490539267172312,4,"all","CatBoost 😸","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_0",0.5822367639717819,0,"all","TabDPT 6️⃣","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_1",0.6718912908878822,1,"all","TabDPT 6️⃣","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_2",0.6200618802797406,2,"all","TabDPT 6️⃣","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_3",0.6568346795033729,3,"all","TabDPT 6️⃣","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_4",0.6482986643847126,4,"all","TabDPT 6️⃣","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_0",0.846357288016996,0,"all","LightGBM 💡","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_1",0.9637719351675192,1,"all","LightGBM 💡","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_2",0.9267307297879512,2,"all","LightGBM 💡","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_3",0.9302220310238328,3,"all","LightGBM 💡","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_4",0.94279440309428,4,"all","LightGBM 💡","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_0",0.902239455679041,0,"all","RealMLP 🕸","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_1",0.9713370106212127,1,"all","RealMLP 🕸","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_2",0.9676284025845304,2,"all","RealMLP 🕸","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_3",0.9621563660093371,3,"all","RealMLP 🕸","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"real_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_4",0.9537691658030689,4,"all","RealMLP 🕸","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
"rf_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_0",0.8674473346898541,0,"all","RandomForest 🌳","","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","","nlp-srv2.iem.technion.ac.il","finished"
