"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"cat_REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA_0",0.8894253614290004,0,"all","CatBoost 😸","","REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA_1",0.930361703754573,1,"all","CatBoost 😸","","REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA_2",0.91049490035152,2,"all","CatBoost 😸","","REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA_3",0.875541417554515,3,"all","CatBoost 😸","","REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA","","nlp-srv2.iem.technion.ac.il","finished"
"cat_REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA_4",0.8837132699627834,4,"all","CatBoost 😸","","REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA_0",0.8178679943084717,0,"all","TabDPT 6️⃣","","REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA_1",0.8703468441963196,1,"all","TabDPT 6️⃣","","REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA_2",0.9026358723640442,2,"all","TabDPT 6️⃣","","REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA_3",0.8302139043807983,3,"all","TabDPT 6️⃣","","REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA","","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA_4",0.8419340252876282,4,"all","TabDPT 6️⃣","","REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA_0",0.875145868451561,0,"all","LightGBM 💡","","REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA_1",0.915175538545116,1,"all","LightGBM 💡","","REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA_2",0.9116415643619457,2,"all","LightGBM 💡","","REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA","","nlp-srv2.iem.technion.ac.il","finished"
"light_REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA_3",0.8503411037077975,3,"all","LightGBM 💡","","REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA","","nlp-srv2.iem.technion.ac.il","finished"
