state,score,secs,epochs,dataset,model,fold
no_text,0.8015875069053524,1.0,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,0
text_only,0.43728461706051125,36.3,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,0
all,0.8358573750117086,32.0,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,0
ft,0.839282757053782,283.0,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,light,0
no_text,0.805257254075737,6.0,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,0
text_only,0.44682783340362675,57.3,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,0
all,0.8393713354040226,68.8,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,0
ft,0.841155825132567,76.0,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,0
no_text,0.7991601228713989,15.5,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,0
text_only,0.4308096170425415,54.6,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,0
all,0.8413647413253784,59.8,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,0
ft,0.8423212766647339,62.0,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,tabm,0
no_text,0.8103175163269043,14.5,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,0
text_only,0.4502527713775635,143.0,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,0
all,0.8467855453491211,148.7,,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,0
ft,0.8427306413650513,424.5,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,tabpfnv2,0
no_text,0.8482071389290894,1.0,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,1
text_only,0.45440870372830366,33.3,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,1
all,0.8709008606764281,33.9,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,1
ft,0.8672759518412358,284.9,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,light,1
no_text,0.8509647666167961,6.5,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,1
text_only,0.4479772595216799,50.9,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,1
all,0.8762682942727501,66.8,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,1
