state,score,secs,epochs,dataset,model,fold
no_text,0.5840176711206982,1.1,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,0
text_only,0.4995714833399908,47.9,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,0
all,0.6189163444205946,44.1,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,0
ft,0.6352252920111479,405.0,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,light,0
no_text,0.5916333184316025,3.5,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,0
text_only,0.5149730130489858,60.8,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,0
all,0.6283587874919698,56.6,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,0
ft,0.635781944241127,74.5,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,0
no_text,0.584108279085402,18.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,0
text_only,0.5264616863253311,59.2,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,0
all,0.6304843282651875,71.2,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,0
ft,0.6356634020860723,70.5,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,0
no_text,0.6000425693255411,15.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,0
text_only,0.5268708050241611,136.6,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,0
all,0.651945885901843,146.6,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,0
ft,0.6528996641885452,546.4,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,0
no_text,0.557725774374678,1.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,1
text_only,0.4810270529205225,45.9,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,1
all,0.6107501772391188,45.6,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,1
ft,0.615267739645976,407.0,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,light,1
no_text,0.5666993072199467,3.5,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,1
text_only,0.49034688818426675,58.3,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,1
all,0.6193146745565381,68.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,1
ft,0.6207747168550585,74.2,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,1
no_text,0.5695375638693336,15.5,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,1
text_only,0.49825480324188,59.6,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,1
all,0.6210367549189304,63.2,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,1
ft,0.6279659225652146,71.1,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,1
no_text,0.5726437645496592,13.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,1
text_only,0.5029549718154658,137.1,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,1
all,0.6316803147567465,146.9,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,1
ft,0.6304300524584758,546.0,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,1
no_text,0.5755963593574548,1.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,2
text_only,0.47617237973945814,44.4,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,2
all,0.6276883216917062,44.3,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,2
ft,0.6152759054697137,405.1,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,light,2
no_text,0.5808109831313867,3.5,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,2
text_only,0.4873147430846839,59.3,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,2
all,0.6338382629884859,67.1,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,2
ft,0.6273627652236882,65.1,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,2
no_text,0.5792508470470817,14.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,2
text_only,0.4995009165959369,62.3,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,2
all,0.6279790347414953,57.7,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,2
ft,0.6241566227812039,66.0,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,2
no_text,0.5845557992101278,13.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,2
text_only,0.4965102120011442,135.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,2
all,0.6426737955373371,145.7,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,2
ft,0.6395372841394333,544.8,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,2
no_text,0.568757029119288,1.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,3
text_only,0.4585388951286379,44.8,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,3
all,0.6212268999194432,44.8,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,3
ft,0.6179425166458445,405.3,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,light,3
no_text,0.5735940728374079,3.5,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,3
text_only,0.4786974955589789,51.9,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,3
all,0.62246398601042,58.3,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,3
ft,0.6251957990999448,75.2,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,3
no_text,0.5819493230850163,14.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,3
text_only,0.49621004681626224,57.1,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,3
all,0.6304316859816272,59.8,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,3
ft,0.6288310198641045,67.2,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,3
no_text,0.584791797618769,13.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,3
text_only,0.4972303785495441,136.3,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,3
all,0.6410899477793718,146.1,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,3
ft,0.6381109596549788,545.8,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,3
no_text,0.5571451275298569,1.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,4
text_only,0.4692492169509427,49.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,4
all,0.6036660010643035,48.4,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,4
ft,0.6091618312086162,451.0,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,light,4
no_text,0.5667389034755032,3.5,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,4
text_only,0.4795135438928865,62.6,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,4
all,0.6123897548984412,64.8,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,4
ft,0.6058273192230184,68.8,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,4
no_text,0.5660799852223852,16.5,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,4
text_only,0.5016542168615897,64.1,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,4
all,0.6290922962792969,63.8,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,4
ft,0.6272415998063006,71.8,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,tabm,4
no_text,0.5827975587432037,13.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,4
text_only,0.49721374317862177,140.6,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,4
all,0.6338221456888794,150.5,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,4
ft,0.6328432422161865,595.2,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2,4
