state,score,secs,epochs,dataset,model,fold
no_text,0.5993782974704387,13.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,0
text_only,0.5361589879373105,108.9,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,0
all,0.6531971252199178,113.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,0
ft,0.6595791586115543,551.8,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,0
no_text,0.5735364492619426,9.5,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,1
text_only,0.5089078294540186,108.5,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,1
all,0.6358136689566527,113.4,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,1
ft,0.6354521800156101,552.7,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,1
no_text,0.5883044472702397,9.5,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,2
text_only,0.5097116257903804,106.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,2
all,0.6528355366325196,111.5,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,2
ft,0.6498807051937476,547.3,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,2
no_text,0.5869548583366813,9.5,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,3
text_only,0.5037315050773412,107.7,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,3
all,0.6441916157645529,112.5,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,3
ft,0.6424317035058844,551.2,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,3
no_text,0.5802351238278354,9.5,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,4
text_only,0.5096026867954021,113.3,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,4
all,0.6407441851980369,118.8,,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,4
ft,0.6401231534452805,612.9,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,tabpfnv2p5,4
