ResponseName,ReleaseDate,Metacritic,RecommendationCount,IsFree,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial
Counter-Strike,Nov 1 2000,88,68991,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Day of Defeat,May 1 2003,79,2319,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99
Half-Life,Nov 8 1998,96,12486,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Counter-Strike: Condition Zero,Mar 1 2004,65,7067,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Counter-Strike: Condition Zero,Mar 1 2004,65,7067,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Half-Life: Blue Shift,Jun 1 2001,71,2219,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99
Half-Life 2,Nov 16 2004,96,35792,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Counter-Strike: Source,Nov 1 2004,88,53931,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
Day of Defeat: Source,Jul 12 2010,80,7185,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Half-Life 2: Episode One,Jun 1 2006,87,4437,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7.99
Portal,Oct 10 2007,90,27535,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Half-Life 2: Episode Two,Oct 10 2007,90,6104,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7.99
Team Fortress 2,Oct 10 2007,92,383949,True,False,False,True,False,False,False,False,False,False,True,False,False,False,0.0
Left 4 Dead,Nov 17 2008,89,9980,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
Left 4 Dead 2,Nov 16 2009,89,140726,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
Dota 2,Jul 9 2013,90,590480,True,False,False,True,False,False,True,False,False,False,True,False,False,False,0.0
Portal 2,Apr 18 2011,95,73128,False,False,False,True,True,False,False,False,False,False,False,False,False,False,19.99
Alien Swarm,Jul 19 2010,77,14625,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0
Portal 2,Apr 18 2011,95,73128,False,False,False,True,True,False,False,False,False,False,False,False,False,False,19.99
Counter-Strike: Global Offensive,Aug 21 2012,83,1427633,False,False,False,True,False,False,False,False,False,False,False,False,False,False,14.99
Rag Doll Kung Fu,Oct 12 2005,69,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,9.99
Red Orchestra: Ostfront 41-45,Mar 14 2006,81,1220,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Killing Floor,May 14 2009,72,44364,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99
SiN Episodes: Emergence,May 10 2006,75,385,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
SiN Episodes: Emergence,May 10 2006,75,385,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
SiN Episodes: Emergence,May 10 2006,75,385,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99
Darwinia,Jul 14 2005,84,444,False,False,True,False,False,False,True,False,False,False,False,False,False,False,9.99
Uplink,Aug 23 2006,75,1240,False,False,True,False,False,False,True,False,False,False,False,False,False,False,9.99
DEFCON,Sep 29 2006,84,1655,False,False,True,False,False,False,True,False,False,False,False,False,False,False,9.99
Multiwinia,Sep 19 2008,76,340,False,False,True,False,False,False,False,False,False,False,False,False,False,False,9.99
Dangerous Waters,Feb 7 2006,82,112,False,False,False,False,False,False,True,False,False,False,False,False,False,False,14.99
Space Empires IV Deluxe,Feb 7 2006,79,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99
Disciples II: Rise of the Elves,Jul 6 2006,80,299,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.49
Disciples II: Galleans Return,Jul 6 2006,84,400,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.49
Iron Warriors: T - 72 Tank Command,Jul 26 2006,56,210,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
Space Empires V,Oct 16 2006,68,204,False,False,False,False,False,False,True,False,False,False,False,False,False,False,14.99
Arx Fatalis,Apr 3 2007,77,389,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4.99
Earth 2160,Apr 1 2006,73,412,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99
Two Worlds Epic Edition,Apr 30 2009,65,2399,False,False,False,False,False,False,False,True,False,False,False,False,False,False,9.99
Dark Messiah of Might & Magic,Oct 25 2006,72,2776,False,False,False,True,False,False,False,True,False,False,False,False,False,False,9.99
Dark Messiah of Might & Magic,Oct 25 2006,72,2776,False,False,False,True,False,False,False,True,False,False,False,False,False,False,9.99
Quake IV,Aug 4 2011,81,509,False,False,False,True,False,False,False,False,False,False,False,False,False,False,14.99
DOOM II,Aug 3 2007,83,1279,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99
QUAKE,Aug 3 2007,94,1266,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99
QUAKE III: Team Arena,Aug 3 2007,69,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,14.99
The Ship: Murder Party,Jul 11 2006,76,5026,True,False,True,True,False,False,False,True,False,False,False,False,False,False,9.99
Bloody Good Time,Oct 29 2010,73,716,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99
Shadowgrounds,May 8 2006,74,973,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99
