model,dataset,fold,multimodal_state,test_score,runtime,n_train,n_test,m_features,task_type,tune_e5
LightGBM 💡,REG_TEXT_GAMES_MTG_CARD_PRICES,0,no_text,0.5203157111927742,14.100890636444092,10000,2000,7,REG,False
CatBoost 😸,REG_TEXT_GAMES_MTG_CARD_PRICES,0,no_text,0.5310213166773394,222.5970458984375,10000,2000,7,REG,False
TabM Ⓜ️,REG_TEXT_GAMES_MTG_CARD_PRICES,0,no_text,0.5095478309346241,1002.0389759540558,10000,2000,7,REG,False
TabPFN-v2 🤯,REG_TEXT_GAMES_MTG_CARD_PRICES,0,no_text,0.5328297335955903,674.6773221492767,10000,2000,7,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_GAMES_MTG_CARD_PRICES,0,no_text,0.535026282175292,392.20160007476807,10000,2000,7,REG,False
LightGBM 💡,REG_TEXT_GAMES_MTG_CARD_PRICES,1,no_text,0.5260331476700906,2.014230728149414,10000,2000,7,REG,False
CatBoost 😸,REG_TEXT_GAMES_MTG_CARD_PRICES,1,no_text,0.5307972148626906,93.08737564086914,10000,2000,7,REG,False
TabM Ⓜ️,REG_TEXT_GAMES_MTG_CARD_PRICES,1,no_text,0.5104099120509742,197.23992681503296,10000,2000,7,REG,False
TabPFN-v2 🤯,REG_TEXT_GAMES_MTG_CARD_PRICES,1,no_text,0.5195050376353503,485.36329412460327,10000,2000,7,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_GAMES_MTG_CARD_PRICES,1,no_text,0.524645155190735,194.84693455696103,10000,2000,7,REG,False
LightGBM 💡,REG_TEXT_GAMES_MTG_CARD_PRICES,2,no_text,0.5227449514894593,1.007115602493286,10000,2000,7,REG,False
CatBoost 😸,REG_TEXT_GAMES_MTG_CARD_PRICES,2,no_text,0.5246255645721685,82.57382082939148,10000,2000,7,REG,False
TabM Ⓜ️,REG_TEXT_GAMES_MTG_CARD_PRICES,2,no_text,0.5030834095093839,187.7342655658722,10000,2000,7,REG,False
TabPFN-v2 🤯,REG_TEXT_GAMES_MTG_CARD_PRICES,2,no_text,0.5172819008642962,283.52159333229065,10000,2000,7,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_GAMES_MTG_CARD_PRICES,2,no_text,0.5164087454540396,195.3583025932312,10000,2000,7,REG,False
LightGBM 💡,REG_TEXT_GAMES_MTG_CARD_PRICES,3,no_text,0.5225982451343818,1.0083329677581787,10000,2000,7,REG,False
CatBoost 😸,REG_TEXT_GAMES_MTG_CARD_PRICES,3,no_text,0.5275401431752758,62.55744981765747,10000,2000,7,REG,False
TabM Ⓜ️,REG_TEXT_GAMES_MTG_CARD_PRICES,3,no_text,0.5131509577828476,173.20437049865723,10000,2000,7,REG,False
TabPFN-v2 🤯,REG_TEXT_GAMES_MTG_CARD_PRICES,3,no_text,0.5258494044694557,516.947080373764,10000,2000,7,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_GAMES_MTG_CARD_PRICES,3,no_text,0.5237568611487698,195.85418152809143,10000,2000,7,REG,False
LightGBM 💡,REG_TEXT_GAMES_MTG_CARD_PRICES,4,no_text,0.4998877867771742,1.0082037448883057,10000,2000,7,REG,False
CatBoost 😸,REG_TEXT_GAMES_MTG_CARD_PRICES,4,no_text,0.5100967727759811,95.58336567878725,10000,2000,7,REG,False
TabM Ⓜ️,REG_TEXT_GAMES_MTG_CARD_PRICES,4,no_text,0.4892924332728471,159.2128942012787,10000,2000,7,REG,False
TabPFN-v2 🤯,REG_TEXT_GAMES_MTG_CARD_PRICES,4,no_text,0.5078546595984272,501.8875830173493,10000,2000,7,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_GAMES_MTG_CARD_PRICES,4,no_text,0.5135295121380812,195.31738901138303,10000,2000,7,REG,False
LightGBM 💡,REG_TEXT_GAMES_MTG_CARD_PRICES,0,text_only,0.2539560252127999,5.663537502288818,10000,2000,2,REG,False
CatBoost 😸,REG_TEXT_GAMES_MTG_CARD_PRICES,0,text_only,0.2759865708687637,16.04747176170349,10000,2000,2,REG,False
TabM Ⓜ️,REG_TEXT_GAMES_MTG_CARD_PRICES,0,text_only,0.2951124761097703,330.48116302490234,10000,2000,2,REG,False
TabPFN-v2 🤯,REG_TEXT_GAMES_MTG_CARD_PRICES,0,text_only,0.2761603610700863,1930.48769402504,10000,2000,2,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_GAMES_MTG_CARD_PRICES,0,text_only,0.3092511938374204,1346.4294517040253,10000,2000,2,REG,False
