model,dataset,fold,multimodal_state,test_score,runtime,n_train,n_test,m_features,task_type,tune_e5
LightGBM 💡,REG_TEXT_MEDIA_METACRITIC_SCORED,0,no_text,0.07420704486136054,2.0067968368530273,2041,226,15,REG,False
CatBoost 😸,REG_TEXT_MEDIA_METACRITIC_SCORED,0,no_text,0.13876605131804076,1.5063376426696777,2041,226,15,REG,False
TabM Ⓜ️,REG_TEXT_MEDIA_METACRITIC_SCORED,0,no_text,0.15294098854064941,41.05370259284973,2041,226,15,REG,False
TabPFN-v2 🤯,REG_TEXT_MEDIA_METACRITIC_SCORED,0,no_text,0.16483420133590698,27.579134464263916,2041,226,15,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_MEDIA_METACRITIC_SCORED,0,no_text,0.16529160737991333,33.58551836013794,2041,226,15,REG,False
LightGBM 💡,REG_TEXT_MEDIA_METACRITIC_SCORED,1,no_text,0.09004439531052544,1.5047073364257812,2041,226,15,REG,False
CatBoost 😸,REG_TEXT_MEDIA_METACRITIC_SCORED,1,no_text,0.1556611858506024,2.007150173187256,2041,226,15,REG,False
TabM Ⓜ️,REG_TEXT_MEDIA_METACRITIC_SCORED,1,no_text,0.15237104892730713,48.60627818107605,2041,226,15,REG,False
TabPFN-v2 🤯,REG_TEXT_MEDIA_METACRITIC_SCORED,1,no_text,0.1636102795600891,31.086362600326538,2041,226,15,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_MEDIA_METACRITIC_SCORED,1,no_text,0.1556950807571411,36.10355854034424,2041,226,15,REG,False
LightGBM 💡,REG_TEXT_MEDIA_METACRITIC_SCORED,2,no_text,0.24848525834303925,1.5070724487304688,2041,226,15,REG,False
CatBoost 😸,REG_TEXT_MEDIA_METACRITIC_SCORED,2,no_text,0.2788959246313355,2.0100719928741455,2041,226,15,REG,False
TabM Ⓜ️,REG_TEXT_MEDIA_METACRITIC_SCORED,2,no_text,0.2427954077720642,56.61462998390198,2041,226,15,REG,False
TabPFN-v2 🤯,REG_TEXT_MEDIA_METACRITIC_SCORED,2,no_text,0.24562692642211914,32.602641105651855,2041,226,15,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_MEDIA_METACRITIC_SCORED,2,no_text,0.2480979561805725,41.141539335250854,2041,226,15,REG,False
LightGBM 💡,REG_TEXT_MEDIA_METACRITIC_SCORED,3,no_text,0.0385607637790526,3.518083333969116,2041,226,15,REG,False
CatBoost 😸,REG_TEXT_MEDIA_METACRITIC_SCORED,3,no_text,0.11780337482573289,3.5149054527282715,2041,226,15,REG,False
TabM Ⓜ️,REG_TEXT_MEDIA_METACRITIC_SCORED,3,no_text,0.12822812795639038,155.15703773498535,2041,226,15,REG,False
TabPFN-v2 🤯,REG_TEXT_MEDIA_METACRITIC_SCORED,3,no_text,0.12911564111709595,50.79712390899658,2041,226,15,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_MEDIA_METACRITIC_SCORED,3,no_text,0.1311059594154358,60.817514419555664,2041,226,15,REG,False
LightGBM 💡,REG_TEXT_MEDIA_METACRITIC_SCORED,4,no_text,0.12387780623626776,3.5187582969665527,2041,226,15,REG,False
