model,dataset,fold,multimodal_state,test_score,runtime,n_train,n_test,m_features,task_type,tune_e5
LightGBM 💡,MUL_TEXT_PRODUCT_SENTIMENT,0,no_text,0.83454303717305,2.5133864879608154,4582,509,1,MUL,False
LightGBM 💡,MUL_TEXT_PRODUCT_SENTIMENT,1,no_text,0.8143176841487073,2.5142195224761963,4582,509,1,MUL,False
LightGBM 💡,MUL_TEXT_PRODUCT_SENTIMENT,2,no_text,0.8092344253160765,2.008878707885742,4582,509,1,MUL,False
LightGBM 💡,MUL_TEXT_PRODUCT_SENTIMENT,3,no_text,0.84341142866266,2.0079476833343506,4582,509,1,MUL,False
LightGBM 💡,MUL_TEXT_PRODUCT_SENTIMENT,4,no_text,0.8307008642579329,2.0094833374023438,4582,509,1,MUL,False
LightGBM 💡,MUL_TEXT_PRODUCT_SENTIMENT,0,text_only,0.7658517388790819,4.511484622955322,4582,509,1,MUL,False
LightGBM 💡,MUL_TEXT_PRODUCT_SENTIMENT,1,text_only,0.7488591025808103,4.518774032592773,4582,509,1,MUL,False
LightGBM 💡,MUL_TEXT_PRODUCT_SENTIMENT,2,text_only,0.7810910992581687,4.510814666748047,4582,509,1,MUL,False
LightGBM 💡,MUL_TEXT_PRODUCT_SENTIMENT,3,text_only,0.7506758659325107,4.5102033615112305,4582,509,1,MUL,False
LightGBM 💡,MUL_TEXT_PRODUCT_SENTIMENT,4,text_only,0.7762851668632779,4.510796070098877,4582,509,1,MUL,False
LightGBM 💡,MUL_TEXT_PRODUCT_SENTIMENT,0,all,0.8618478948517495,4.515065670013428,4582,509,2,MUL,False
LightGBM 💡,MUL_TEXT_PRODUCT_SENTIMENT,1,all,0.9051938635677591,4.518196105957031,4582,509,2,MUL,False
LightGBM 💡,MUL_TEXT_PRODUCT_SENTIMENT,2,all,0.8937703600268081,4.521636247634888,4582,509,2,MUL,False
LightGBM 💡,MUL_TEXT_PRODUCT_SENTIMENT,3,all,0.8859438408903819,4.518284320831299,4582,509,2,MUL,False
LightGBM 💡,MUL_TEXT_PRODUCT_SENTIMENT,4,all,0.870916103035239,4.512150287628174,4582,509,2,MUL,False
CatBoost 😸,MUL_TEXT_PRODUCT_SENTIMENT,0,no_text,0.8344916001979384,2.010117769241333,4582,509,1,MUL,False
CatBoost 😸,MUL_TEXT_PRODUCT_SENTIMENT,1,no_text,0.8169282360433049,2.5114173889160156,4582,509,1,MUL,False
CatBoost 😸,MUL_TEXT_PRODUCT_SENTIMENT,2,no_text,0.809756216133349,2.012260675430298,4582,509,1,MUL,False
CatBoost 😸,MUL_TEXT_PRODUCT_SENTIMENT,3,no_text,0.8435699910305247,2.5146384239196777,4582,509,1,MUL,False
CatBoost 😸,MUL_TEXT_PRODUCT_SENTIMENT,4,no_text,0.8307296453832611,4.0153772830963135,4582,509,1,MUL,False
CatBoost 😸,MUL_TEXT_PRODUCT_SENTIMENT,0,text_only,0.7628413898483332,11.027626991271973,4582,509,1,MUL,False
CatBoost 😸,MUL_TEXT_PRODUCT_SENTIMENT,1,text_only,0.7581965468999481,21.034696578979492,4582,509,1,MUL,False
CatBoost 😸,MUL_TEXT_PRODUCT_SENTIMENT,2,text_only,0.7907371262829329,23.56349802017212,4582,509,1,MUL,False
CatBoost 😸,MUL_TEXT_PRODUCT_SENTIMENT,3,text_only,0.763354838095238,10.02549147605896,4582,509,1,MUL,False
CatBoost 😸,MUL_TEXT_PRODUCT_SENTIMENT,4,text_only,0.790687083007167,35.54442501068115,4582,509,1,MUL,False
CatBoost 😸,MUL_TEXT_PRODUCT_SENTIMENT,0,all,0.8853777320294585,12.539732217788696,4582,509,2,MUL,False
CatBoost 😸,MUL_TEXT_PRODUCT_SENTIMENT,1,all,0.8967840793284086,11.525972127914429,4582,509,2,MUL,False
CatBoost 😸,MUL_TEXT_PRODUCT_SENTIMENT,2,all,0.9233721656161537,15.187760353088379,4582,509,2,MUL,False
CatBoost 😸,MUL_TEXT_PRODUCT_SENTIMENT,3,all,0.9051185396192422,12.022043228149414,4582,509,2,MUL,False
CatBoost 😸,MUL_TEXT_PRODUCT_SENTIMENT,4,all,0.9011089095814591,11.034265756607056,4582,509,2,MUL,False
TabM Ⓜ️,MUL_TEXT_PRODUCT_SENTIMENT,0,no_text,0.8165508512942514,78.32058334350586,4582,509,1,MUL,False
TabM Ⓜ️,MUL_TEXT_PRODUCT_SENTIMENT,0,text_only,0.7509186307010957,89.8437569141388,4582,509,1,MUL,False
TabM Ⓜ️,MUL_TEXT_PRODUCT_SENTIMENT,0,all,0.9022194506746569,98.37993741035461,4582,509,2,MUL,False
TabPFN-v2 🤯,MUL_TEXT_PRODUCT_SENTIMENT,0,no_text,0.8337871980150887,26.63146185874939,4582,509,1,MUL,False
TabPFN-v2 🤯,MUL_TEXT_PRODUCT_SENTIMENT,0,text_only,0.8026107225331665,227.4428231716156,4582,509,1,MUL,False
TabPFN-v2 🤯,MUL_TEXT_PRODUCT_SENTIMENT,0,all,0.9104905112040836,230.3511152267456,4582,509,2,MUL,False
