model,dataset,fold,multimodal_state,test_score,runtime,n_train,n_test,m_features,task_type,tune_e5
LightGBM 💡,REG_TEXT_EDU_UDEMY_ACADEMY,0,no_text,0.29565601848272804,3.010474443435669,2700,299,7,REG,False
CatBoost 😸,REG_TEXT_EDU_UDEMY_ACADEMY,0,no_text,0.33122499622809476,59.15193271636963,2700,299,7,REG,False
TabM Ⓜ️,REG_TEXT_EDU_UDEMY_ACADEMY,0,no_text,0.34670889233148494,133.08061623573303,2700,299,7,REG,False
TabPFN-v2 🤯,REG_TEXT_EDU_UDEMY_ACADEMY,0,no_text,0.3283043748193081,45.14749789237976,2700,299,7,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_EDU_UDEMY_ACADEMY,0,no_text,0.32969832675178223,39.13156032562256,2700,299,7,REG,False
LightGBM 💡,REG_TEXT_EDU_UDEMY_ACADEMY,1,no_text,0.2995528384738657,1.5123887062072754,2700,299,7,REG,False
CatBoost 😸,REG_TEXT_EDU_UDEMY_ACADEMY,1,no_text,0.322588654277549,68.71037006378174,2700,299,7,REG,False
TabM Ⓜ️,REG_TEXT_EDU_UDEMY_ACADEMY,1,no_text,0.31384126101815957,109.94116377830505,2700,299,7,REG,False
TabPFN-v2 🤯,REG_TEXT_EDU_UDEMY_ACADEMY,1,no_text,0.29958756948402,42.65435719490051,2700,299,7,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_EDU_UDEMY_ACADEMY,1,no_text,0.3277471744851007,32.6175434589386,2700,299,7,REG,False
LightGBM 💡,REG_TEXT_EDU_UDEMY_ACADEMY,2,no_text,0.239643319463407,2.5169694423675537,2700,299,7,REG,False
CatBoost 😸,REG_TEXT_EDU_UDEMY_ACADEMY,2,no_text,0.32655388665647944,23.54351830482483,2700,299,7,REG,False
TabM Ⓜ️,REG_TEXT_EDU_UDEMY_ACADEMY,2,no_text,0.2920721282548169,92.4088339805603,2700,299,7,REG,False
TabPFN-v2 🤯,REG_TEXT_EDU_UDEMY_ACADEMY,2,no_text,0.31949081793512135,54.845919370651245,2700,299,7,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_EDU_UDEMY_ACADEMY,2,no_text,0.33407204488996345,32.118109703063965,2700,299,7,REG,False
